Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
636093185,37.43161166666667,126.574435,199,196.8,12.9,2024-06-28T00:41:16.344Z
636093185,37.432125,126.57462833333334,198,196.4,12.9,2024-06-28T00:41:16.308Z
636093185,37.432755,126.57487,197,197,12.8,2024-06-28T00:41:05.375Z
636093185,37.43321,126.57504833333333,197,197.4,12.8,2024-06-28T00:40:55.093Z
636093185,37.433778333333336,126.57526833333333,197,196.7,12.7,2024-06-28T00:40:44.884Z
636093185,37.434351666666664,126.57547666666666,197,196.8,12.7,2024-06-28T00:40:34.637Z
636093185,37.434915,126.57568,197,196.8,12.6,2024-06-28T00:40:24.508Z
636093185,37.435543333333335,126.575915,197,196.2,12.6,2024-06-28T00:40:13.442Z
636093185,37.43617666666667,126.57615333333334,197,194.5,12.6,2024-06-28T00:40:03.179Z
636093185,37.43777333333333,126.57667166666667,195,195.2,12.5,2024-06-28T00:39:32.047Z
636093185,37.43834,126.57686166666667,195,194.8,12.5,2024-06-28T00:39:21.783Z
636093185,37.438963333333334,126.577055,195,194.3,12.5,2024-06-28T00:39:11.562Z
636093185,37.43957833333333,126.57724666666667,195,195.2,12.4,2024-06-28T00:39:01.314Z
636093185,37.440131666666666,126.57745166666666,195,195,12.4,2024-06-28T00:38:50.996Z
636093185,37.440576666666665,126.57760166666667,195,194.4,12.4,2024-06-28T00:38:40.458Z
636093185,37.441131666666664,126.57778166666667,195,194.2,12.3,2024-06-28T00:38:30.198Z
636093185,37.44169,126.57795,195,194.5,12.3,2024-06-28T00:38:19.908Z
636093185,37.4423,126.57814333333333,195,195.1,12.2,2024-06-28T00:38:09.283Z
636093185,37.442905,126.578345,195,194.4,12.2,2024-06-28T00:37:58.977Z
636093185,37.44345666666667,126.57852833333334,195,194,12.2,2024-06-28T00:37:48.702Z
636093185,37.44389666666667,126.578665,195,194.3,12.1,2024-06-28T00:37:38.017Z
636093185,37.444498333333335,126.57886,195,194.6,12,2024-06-28T00:37:27.824Z
