Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
636020905,37.39096333333333,126.548995,213,211.1,14.5,2024-06-17T00:41:25.743Z
636020905,37.39131166666667,126.54925666666666,212,211.1,14.5,2024-06-17T00:41:25.715Z
636020905,37.391711666666666,126.54955833333334,212,210.9,14.5,2024-06-17T00:41:15.475Z
636020905,37.392,126.54977166666667,212,211.3,14.4,2024-06-17T00:41:15.453Z
636020905,37.392345,126.55003166666667,213,211.4,14.4,2024-06-17T00:41:05.181Z
636020905,37.39268833333333,126.55029833333333,213,211.3,14.4,2024-06-17T00:40:54.956Z
636020905,37.39309,126.55060833333333,213,211.4,14.3,2024-06-17T00:40:54.925Z
636020905,37.39371,126.55108333333334,213,211.3,14.3,2024-06-17T00:40:44.628Z
636020905,37.39405166666667,126.55134333333334,213,211.5,14.3,2024-06-17T00:40:34.277Z
636020905,37.39439,126.55160833333333,213,211.2,14.3,2024-06-17T00:40:34.255Z
636020905,37.394733333333335,126.55186833333333,213,210.9,14.2,2024-06-17T00:40:24.053Z
636020905,37.395131666666664,126.55216166666666,212,211.1,14.2,2024-06-17T00:40:13.775Z
636020905,37.39575833333333,126.55262833333333,213,210.6,14.2,2024-06-17T00:40:03.421Z
636020905,37.396495,126.55317,212,210.6,14.2,2024-06-17T00:39:53.116Z
636020905,37.39678,126.55338166666667,212,210.3,14.2,2024-06-17T00:39:53.095Z
636020905,37.39700666666667,126.55354833333334,212,210.1,14.2,2024-06-17T00:39:42.872Z
636020905,37.39712166666666,126.55363166666666,212,210.1,14.2,2024-06-17T00:39:42.867Z
636020905,37.397575,126.55396,212,210.2,14.1,2024-06-17T00:39:32.673Z
636020905,37.397801666666666,126.55412833333334,212,210.1,14.1,2024-06-17T00:39:32.659Z
636020905,37.39814,126.55437833333333,212,210.3,14,2024-06-17T00:39:22.378Z
636020905,37.39814,126.55437833333333,212,210.3,14,2024-06-17T00:39:22.376Z
636020905,37.398536666666665,126.55466833333334,212,210.3,14,2024-06-17T00:39:22.347Z
636020905,37.398705,126.55479333333334,212,210.2,14,2024-06-17T00:39:12.095Z
636020905,37.39915166666667,126.555125,211,210.1,14,2024-06-17T00:39:01.649Z
636020905,37.39926333333333,126.55520833333334,211,210.1,14,2024-06-17T00:39:01.643Z
