Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538009492,37.46749333333333,126.6085,217,296.4,0,2024-06-17T08:17:08.451Z
538009492,37.46748,126.608505,217,296.4,0,2024-06-17T08:14:13.067Z
538009492,37.46752,126.60851666666667,217,296.4,0,2024-06-17T08:08:12.912Z
538009492,37.46747,126.60849333333333,217,296.4,0,2024-06-17T08:05:08.623Z
538009492,37.46746666666667,126.60853166666666,217,296.4,0,2024-06-17T07:59:08.682Z
538009492,37.467468333333336,126.60853666666667,217,296.4,0,2024-06-17T07:56:13.026Z
538009492,37.467488333333336,126.60850833333333,217,296.4,0,2024-06-17T07:50:12.756Z
538009492,37.467515,126.60850166666667,217,296.4,0,2024-06-17T07:47:18.351Z
538009492,37.467505,126.60851666666667,217,296.4,0,2024-06-17T07:44:13.027Z
538009492,37.467508333333335,126.60849,217,296.4,0,2024-06-17T07:41:08.434Z
538009492,37.467505,126.60850166666667,217,296.4,0,2024-06-17T07:38:12.800Z
538009492,37.46749,126.60850166666667,217,296.4,0,2024-06-17T07:32:12.538Z
538009492,37.467495,126.60851166666667,217,296.4,0,2024-06-17T07:26:12.530Z
538009492,37.46748,126.608495,217,296.4,0,2024-06-17T07:23:07.964Z
538009492,37.46745666666666,126.60849333333333,217,296.4,0,2024-06-17T07:20:12.574Z
538009492,37.467465,126.60851,217,296.4,0,2024-06-17T07:17:07.941Z
538009492,37.46749833333333,126.60851666666667,217,296.4,0,2024-06-17T07:11:08.282Z
538009492,37.467481666666664,126.60849166666667,217,296.4,0,2024-06-17T07:08:12.874Z
538009492,37.467501666666664,126.6085,217,296.4,0,2024-06-17T07:05:08.121Z
538009492,37.467483333333334,126.60848833333333,217,296.4,0,2024-06-17T07:02:12.759Z
538009492,37.467483333333334,126.608505,217,296.4,0,2024-06-17T06:59:08.175Z
538009492,37.46749833333333,126.608535,215,99.7,0,2024-06-17T06:56:12.521Z
538009492,37.46735666666667,126.608435,217,39.8,0.5,2024-06-17T06:48:09.925Z
538009492,37.46728,126.60834333333334,217,41.9,0.5,2024-06-17T06:47:18.581Z
