Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
311921000,37.438718333333334,126.57573166666667,193,193.2,11.9,2024-06-26T18:14:36.203Z
311921000,37.43931,126.57590666666667,193,192.2,11.9,2024-06-26T18:14:25.925Z
311921000,37.439796666666666,126.57603666666667,193,193,11.9,2024-06-26T18:14:15.646Z
311921000,37.44092666666667,126.57635333333333,193,192.7,11.9,2024-06-26T18:13:55.065Z
311921000,37.441408333333335,126.57648833333333,193,192.6,11.8,2024-06-26T18:13:44.784Z
311921000,37.441945,126.57663833333334,193,192.5,11.8,2024-06-26T18:13:34.513Z
311921000,37.44301333333333,126.57694333333333,193,192.6,11.8,2024-06-26T18:13:13.162Z
311921000,37.444131666666664,126.577265,193,192.9,11.7,2024-06-26T18:12:52.436Z
311921000,37.44514,126.57755833333333,193,192.3,11.7,2024-06-26T18:12:31.084Z
311921000,37.445725,126.57771833333334,193,192.7,11.7,2024-06-26T18:12:20.836Z
311921000,37.44620166666667,126.577855,193,192.3,11.7,2024-06-26T18:12:10.650Z
311921000,37.44667833333333,126.57798666666666,193,191.9,11.7,2024-06-26T18:12:10.614Z
311921000,37.447315,126.57815166666667,193,193.1,11.6,2024-06-26T18:11:59.698Z
311921000,37.44831166666667,126.57844,193,193.3,11.5,2024-06-26T18:11:36.401Z
311921000,37.448885,126.57860666666667,193,193.6,11.5,2024-06-26T18:11:26.109Z
311921000,37.449351666666665,126.57875,193,193.5,11.5,2024-06-26T18:11:15.884Z
311921000,37.449866666666665,126.57891,193,193.1,11.4,2024-06-26T18:11:05.519Z
311921000,37.450435,126.579075,193,193.3,11.4,2024-06-26T18:10:55.158Z
311921000,37.450896666666665,126.57921166666667,193,193.1,11.3,2024-06-26T18:10:44.938Z
311921000,37.45140833333333,126.57935833333333,193,193.2,11.3,2024-06-26T18:10:34.610Z
311921000,37.45196833333333,126.579525,193,192.6,11.2,2024-06-26T18:10:23.037Z
311921000,37.45242666666667,126.57965,193,193.4,11.1,2024-06-26T18:10:12.707Z
311921000,37.45292833333333,126.5798,193,192.7,11,2024-06-26T18:10:02.249Z
311921000,37.45347666666667,126.57995333333334,193,192.5,11,2024-06-26T18:09:51.682Z
311921000,37.453923333333336,126.58007666666667,193,193.5,10.9,2024-06-26T18:09:41.108Z
311921000,37.45446333333334,126.58024333333333,193,192.2,10.8,2024-06-26T18:09:30.834Z
311921000,37.454955,126.58037166666666,193,193.5,10.7,2024-06-26T18:09:20.448Z
311921000,37.45534,126.580495,193,193,10.7,2024-06-26T18:09:20.385Z
311921000,37.45587166666667,126.58064833333333,194,193.9,10.6,2024-06-26T18:09:10.104Z
311921000,37.45639833333333,126.58080833333334,194,194,10.5,2024-06-26T18:08:59.018Z
311921000,37.456825,126.58094,194,194.7,10.4,2024-06-26T18:08:48.801Z
311921000,37.45734,126.58111,195,194.8,10.3,2024-06-26T18:08:38.454Z
311921000,37.45780333333333,126.58126333333334,195,194.5,10.2,2024-06-26T18:08:28.141Z
311921000,37.45817,126.58138333333333,195,194,10.1,2024-06-26T18:08:17.975Z
311921000,37.45867333333333,126.58154166666667,195,194.9,10,2024-06-26T18:08:07.623Z
311921000,37.459165,126.58170666666666,195,193.8,9.8,2024-06-26T18:07:57.414Z
311921000,37.459565,126.58182666666667,195,194.1,9.7,2024-06-26T18:07:47.210Z
311921000,37.46004333333333,126.58198166666666,195,194.6,9.5,2024-06-26T18:07:36.855Z
311921000,37.46047166666666,126.58212166666667,195,193.7,9.4,2024-06-26T18:07:26.588Z
311921000,37.460811666666665,126.58222166666667,195,194.1,9.2,2024-06-26T18:07:16.253Z
311921000,37.46126666666667,126.58237,195,193.2,9,2024-06-26T18:07:05.655Z
311921000,37.46207,126.58261333333333,195,192.7,8.7,2024-06-26T18:06:45.070Z
311921000,37.46250333333333,126.582735,195,193.5,8.5,2024-06-26T18:06:34.652Z
311921000,37.46288666666667,126.58284666666667,195,192.6,8.2,2024-06-26T18:06:24.208Z
