Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
256936000,37.43790333333333,126.57453333333333,194,193.8,12.8,2024-06-28T15:37:04.999Z
256936000,37.438991666666666,126.57486833333333,194,193.9,12.9,2024-06-28T15:36:44.530Z
256936000,37.439676666666664,126.57508166666666,194,193.8,12.9,2024-06-28T15:36:44.485Z
256936000,37.441873333333334,126.57576,194,193.9,13.1,2024-06-28T15:36:09.048Z
256936000,37.44246166666667,126.57594,194,193.9,13.2,2024-06-28T15:35:53.749Z
256936000,37.44317,126.57615666666666,194,193.8,13.3,2024-06-28T15:35:38.006Z
256936000,37.443705,126.57632166666667,194,194,13.3,2024-06-28T15:35:22.744Z
256936000,37.44430333333333,126.57651,194,193.9,13.4,2024-06-28T15:35:12.430Z
256936000,37.44484333333333,126.57668166666667,194,193.7,13.5,2024-06-28T15:35:12.387Z
256936000,37.446056666666664,126.57705333333334,194,194.1,13.4,2024-06-28T15:35:02.114Z
256936000,37.447266666666664,126.57743666666667,194,193.8,13.4,2024-06-28T15:34:26.889Z
256936000,37.44793166666667,126.57764166666666,194,193.8,13.3,2024-06-28T15:34:26.849Z
256936000,37.44847166666667,126.57780666666666,194,194.1,13.3,2024-06-28T15:34:11.690Z
256936000,37.449665,126.57818,194,193.9,13.2,2024-06-28T15:33:56.358Z
256936000,37.450316666666666,126.578385,194,194.1,13.1,2024-06-28T15:33:41.148Z
256936000,37.45084833333333,126.57855333333333,194,194,13,2024-06-28T15:33:25.842Z
256936000,37.45149333333333,126.578755,194,194,12.9,2024-06-28T15:33:15.610Z
256936000,37.45196166666667,126.57890166666667,194,194.1,12.9,2024-06-28T15:33:05.337Z
256936000,37.45430666666667,126.57964166666666,194,194,12.4,2024-06-28T15:32:30.100Z
256936000,37.454921666666664,126.57983166666666,194,193.9,12.3,2024-06-28T15:32:14.976Z
256936000,37.45542,126.57998666666667,194,193.9,12.2,2024-06-28T15:32:14.796Z
256936000,37.45657,126.58034833333333,194,194,11.9,2024-06-28T15:31:44.332Z
256936000,37.45758333333333,126.58066833333334,194,194.3,11.6,2024-06-28T15:31:34.037Z
256936000,37.45815833333333,126.58085166666666,194,194.7,11.4,2024-06-28T15:31:08.621Z
256936000,37.458621666666666,126.58100333333333,194,195.2,11.2,2024-06-28T15:31:08.584Z
256936000,37.459678333333336,126.58136333333333,194,196.9,10.9,2024-06-28T15:30:48.457Z
256936000,37.46012,126.58152666666666,195,197.5,10.7,2024-06-28T15:30:48.366Z
256936000,37.46060333333333,126.5817,195,199.6,10.6,2024-06-28T15:30:33.119Z
