Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
431718000,37.05554333333333,126.11169166666667,205,206,14.7,2024-06-25T22:34:02.738Z
431718000,37.05584833333333,126.11188,205,205.9,14.7,2024-06-25T22:33:52.530Z
431718000,37.05731166666666,126.11278166666666,204,205.9,14.7,2024-06-25T22:33:32.110Z
431718000,37.12575666666667,126.15396166666666,206,203.6,14.8,2024-06-25T22:15:09.212Z
431718000,37.13287166666667,126.157935,205,203,14.7,2024-06-25T22:13:12.695Z
431718000,37.13399833333333,126.15853833333334,205,202.9,14.7,2024-06-25T22:12:52.187Z
431718000,37.13699833333333,126.16013833333334,204,203.2,14.7,2024-06-25T22:12:09.516Z
431718000,37.137683333333335,126.16051166666666,204,203.6,14.7,2024-06-25T22:11:59.108Z
431718000,37.139178333333334,126.16134166666667,205,203.9,14.7,2024-06-25T22:11:27.502Z
431718000,37.140795,126.16226166666667,206,205.6,14.7,2024-06-25T22:11:06.660Z
431718000,37.14723,126.16634333333333,208,206.3,14.7,2024-06-25T22:09:21.028Z
431718000,37.14796166666667,126.166805,208,205.8,14.8,2024-06-25T22:09:10.768Z
431718000,37.15502166666667,126.17128833333334,209,207.2,15,2024-06-25T22:07:15.607Z
431718000,37.15533166666667,126.17148666666667,209,207.4,15,2024-06-25T22:07:05.401Z
431718000,37.15804833333333,126.17327166666666,209,207.7,15.1,2024-06-25T22:06:23.056Z
431718000,37.15841833333333,126.17352,209,207.5,15.2,2024-06-25T22:06:23.028Z
431718000,37.16067833333334,126.17497666666667,208,206.7,15.4,2024-06-25T22:05:41.572Z
431718000,37.16252166666666,126.17614833333333,208,207.9,15.5,2024-06-25T22:05:10.013Z
431718000,37.16328333333333,126.17665333333333,209,208.2,15.6,2024-06-25T22:04:59.670Z
431718000,37.164045,126.17717,209,208.8,15.7,2024-06-25T22:04:49.349Z
431718000,37.167135,126.17925333333334,208,207.5,16,2024-06-25T22:03:57.841Z
431718000,37.1691,126.180555,208,208.7,16.1,2024-06-25T22:03:26.672Z
431718000,37.17383,126.18385666666667,208,205.5,16.4,2024-06-25T22:02:13.977Z
431718000,37.17424,126.18410666666666,207,205.1,16.4,2024-06-25T22:02:13.893Z
431718000,37.175065,126.18459833333333,207,204.8,16.4,2024-06-25T22:02:03.558Z
431718000,37.17630833333333,126.18532333333333,205,204.1,16.4,2024-06-25T22:01:42.620Z
431718000,37.180855,126.187945,205,205,16.2,2024-06-25T22:00:39.873Z
431718000,37.18686666666667,126.19162833333333,204,205.1,15.9,2024-06-25T21:59:05.535Z
431718000,37.187268333333336,126.19185833333333,204,205.6,15.8,2024-06-25T21:58:55.273Z
431718000,37.188,126.19229166666666,206,207.5,15.7,2024-06-25T21:58:45.073Z
431718000,37.19462,126.19761166666666,212,214.7,15.5,2024-06-25T21:56:57.839Z
431718000,37.19497166666667,126.19793,211,213.8,15.5,2024-06-25T21:56:57.812Z
431718000,37.19526666666667,126.19818833333333,211,213.2,15.5,2024-06-25T21:56:47.485Z
431718000,37.195625,126.19849166666667,211,212.5,15.5,2024-06-25T21:56:47.433Z
431718000,37.197565,126.20002333333333,209,210.1,15.3,2024-06-25T21:56:16.690Z
431718000,37.198298333333334,126.20056333333333,208,209.8,15.2,2024-06-25T21:55:56.269Z
431718000,37.199335,126.20131,209,210.6,15,2024-06-25T21:55:45.818Z
431718000,37.20028833333333,126.20202333333333,209,211,14.8,2024-06-25T21:55:24.216Z
431718000,37.200698333333335,126.20233833333333,209,211,14.7,2024-06-25T21:55:13.998Z
431718000,37.20110666666667,126.20265166666667,209,210.7,14.6,2024-06-25T21:55:13.955Z
431718000,37.201456666666665,126.20291333333333,209,210.9,14.5,2024-06-25T21:55:03.438Z
431718000,37.20180333333333,126.203175,209,210.9,14.4,2024-06-25T21:55:03.407Z
431718000,37.20203333333333,126.20335166666666,209,210.8,14.4,2024-06-25T21:54:52.472Z
431718000,37.202148333333334,126.20343833333334,209,210.7,14.3,2024-06-25T21:54:52.462Z
431718000,37.20254833333333,126.20373666666667,209,210.8,14.2,2024-06-25T21:54:52.434Z
431718000,37.202776666666665,126.20390833333333,209,210.9,14.2,2024-06-25T21:54:42.222Z
431718000,37.20317,126.20421166666667,209,210.6,14.1,2024-06-25T21:54:31.903Z
431718000,37.20373333333333,126.204635,209,210.4,13.9,2024-06-25T21:54:21.667Z
431718000,37.20423666666667,126.20501333333333,209,210.4,13.8,2024-06-25T21:54:21.628Z
431718000,37.20484666666667,126.20546666666667,209,210.4,13.7,2024-06-25T21:54:11.343Z
431718000,37.20647666666667,126.20666666666666,209,209.8,13.4,2024-06-25T21:53:40.431Z
431718000,37.20695833333333,126.20701333333334,209,209.6,13.3,2024-06-25T21:53:29.542Z
431718000,37.20860666666667,126.208185,209,208.5,13,2024-06-25T21:52:58.808Z
431718000,37.20908333333333,126.208515,209,208.4,12.9,2024-06-25T21:52:48.355Z
431718000,37.20966333333333,126.20891333333333,209,207.7,12.9,2024-06-25T21:52:38.100Z
431718000,37.21013833333333,126.20923166666667,208,207.8,12.8,2024-06-25T21:52:27.845Z
431718000,37.212185,126.21059333333334,209,207.5,12.7,2024-06-25T21:51:46.780Z
431718000,37.21436666666666,126.21201166666667,208,206.4,12.6,2024-06-25T21:51:04.607Z
431718000,37.21696166666667,126.21367166666667,209,206.8,12.5,2024-06-25T21:50:22.197Z
431718000,37.22053833333333,126.21594833333333,209,206.5,12.5,2024-06-25T21:49:08.358Z
431718000,37.22370333333333,126.21792833333333,207,205.4,12.5,2024-06-25T21:48:06.677Z
431718000,37.226308333333336,126.219535,209,205.9,12.5,2024-06-25T21:47:14.153Z
431718000,37.228345,126.22079833333333,209,205.5,12.6,2024-06-25T21:46:43.147Z
431718000,37.229393333333334,126.221435,209,205.3,12.6,2024-06-25T21:46:21.043Z
431718000,37.231548333333336,126.22272666666667,208,204.9,12.6,2024-06-25T21:45:39.820Z
431718000,37.23260833333333,126.22334833333333,209,205.6,12.6,2024-06-25T21:45:19.284Z
431718000,37.23360666666667,126.22395,210,205.8,12.6,2024-06-25T21:44:58.881Z
431718000,37.23470666666667,126.224615,210,205.7,12.6,2024-06-25T21:44:38.055Z
431718000,37.235231666666664,126.22493666666666,210,205.5,12.6,2024-06-25T21:44:27.823Z
431718000,37.236756666666665,126.22586,209,204.3,12.7,2024-06-25T21:43:56.188Z
431718000,37.23728833333333,126.22617166666667,207,203.2,12.7,2024-06-25T21:43:45.961Z
431718000,37.23788166666667,126.2265,206,202.5,12.7,2024-06-25T21:43:35.564Z
431718000,37.23897,126.22707333333334,205,202,12.7,2024-06-25T21:43:22.698Z
431718000,37.24001166666667,126.22760833333334,205,202,12.7,2024-06-25T21:43:01.778Z
431718000,37.241708333333335,126.228485,206,202.9,12.7,2024-06-25T21:42:30.012Z
431718000,37.243295,126.22934833333333,207,203.5,12.8,2024-06-25T21:41:57.886Z
431718000,37.244431666666664,126.22997666666667,206,203.1,12.8,2024-06-25T21:41:37.174Z
431718000,37.24492,126.23024166666667,205,203,12.8,2024-06-25T21:41:27.032Z
431718000,37.24655,126.231115,206,204,12.8,2024-06-25T21:40:56.206Z
431718000,37.24773,126.23178833333333,206,204.5,12.7,2024-06-25T21:40:34.445Z
431718000,37.248266666666666,126.23209666666666,206,204.4,12.7,2024-06-25T21:40:22.920Z
431718000,37.24874666666667,126.23237166666667,206,204.5,12.7,2024-06-25T21:40:12.573Z
431718000,37.25087333333333,126.23359666666667,206,204.8,12.6,2024-06-25T21:39:31.486Z
431718000,37.251401666666666,126.233905,206,204.9,12.6,2024-06-25T21:39:21.291Z
431718000,37.25192833333333,126.23421333333333,206,204.8,12.6,2024-06-25T21:39:21.255Z
431718000,37.254088333333335,126.23547666666667,205,205.2,12.5,2024-06-25T21:38:39.547Z
431718000,37.25461333333333,126.23578333333333,206,206,12.5,2024-06-25T21:38:29.149Z
431718000,37.256115,126.23672166666667,208,207.8,12.4,2024-06-25T21:37:58.151Z
431718000,37.25815166666667,126.23809333333334,209,208.4,12.4,2024-06-25T21:37:17.007Z
431718000,37.25966666666667,126.23913166666667,209,208.5,12.4,2024-06-25T21:36:45.383Z
431718000,37.261685,126.24052666666667,208,209.3,12.5,2024-06-25T21:36:03.323Z
431718000,37.262193333333336,126.24088166666667,209,210.1,12.5,2024-06-25T21:35:52.997Z
431718000,37.26517333333334,126.24321,216,214,12.6,2024-06-25T21:35:00.128Z
431718000,37.265658333333334,126.24362333333333,216,214.1,12.6,2024-06-25T21:34:49.690Z
431718000,37.26711,126.24486166666667,215,213.5,12.6,2024-06-25T21:34:18.356Z
431718000,37.26803666666667,126.24563333333333,215,213.8,12.6,2024-06-25T21:33:57.040Z
431718000,37.27048166666667,126.24778666666667,218,217.4,12.6,2024-06-25T21:33:04.710Z
431718000,37.27141,126.24868166666667,220,218.8,12.5,2024-06-25T21:32:43.428Z
431718000,37.27281166666667,126.25012166666667,221,219.7,12.5,2024-06-25T21:32:12.654Z
431718000,37.273215,126.25054,221,219.9,12.4,2024-06-25T21:32:02.391Z
