Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
355297000,37.46523666666667,126.60335166666667,282,282.4,1.5,2024-06-17T19:29:28.660Z
355297000,37.46521,126.60353333333333,282,285.3,1.4,2024-06-17T19:29:08.157Z
355297000,37.46519166666667,126.60360666666666,282,285.3,1.4,2024-06-17T19:28:57.952Z
355297000,37.465165,126.60367666666667,282,282.4,1.4,2024-06-17T19:28:57.923Z
355297000,37.46514666666667,126.60376166666667,282,281.2,1.4,2024-06-17T19:28:47.675Z
355297000,37.46512166666667,126.60384833333333,282,282,1.4,2024-06-17T19:28:27.199Z
355297000,37.46510166666667,126.60404,282,282.4,1.3,2024-06-17T19:28:16.895Z
355297000,37.46509,126.604115,282,283.3,1.4,2024-06-17T19:28:06.636Z
355297000,37.465075,126.604345,282,287.9,1.4,2024-06-17T19:27:34.924Z
355297000,37.46502666666667,126.60450666666667,281,288.1,1.2,2024-06-17T19:27:14.496Z
355297000,37.46500833333333,126.604575,281,276.9,1.1,2024-06-17T19:27:04.206Z
355297000,37.465,126.60462833333334,280,273.8,1.1,2024-06-17T19:26:53.960Z
355297000,37.46499,126.60478333333333,282,282.4,1.2,2024-06-17T19:26:33.332Z
355297000,37.46494666666667,126.60503833333334,282,286.4,0.9,2024-06-17T19:25:52.395Z
355297000,37.46494166666667,126.60509833333333,282,290.2,0.8,2024-06-17T19:25:42.214Z
355297000,37.464925,126.60514666666667,282,285.8,0.8,2024-06-17T19:25:31.950Z
355297000,37.464911666666666,126.60519,282,283.3,0.9,2024-06-17T19:25:21.723Z
355297000,37.464893333333336,126.60524833333334,281,281.7,0.9,2024-06-17T19:25:11.391Z
355297000,37.46487833333333,126.60530166666666,281,281.4,0.9,2024-06-17T19:25:01.105Z
355297000,37.46485,126.60539333333334,281,279,0.7,2024-06-17T19:24:40.656Z
355297000,37.464845,126.60544166666666,282,287.9,0.5,2024-06-17T19:24:30.311Z
355297000,37.46484,126.60547833333334,282,290.2,0.5,2024-06-17T19:24:20.043Z
355297000,37.46483166666667,126.60551333333333,281,284.1,0.5,2024-06-17T19:24:09.829Z
355297000,37.464821666666666,126.60558,280,268.8,0.5,2024-06-17T19:23:49.270Z
355297000,37.46484,126.60568333333333,280,256.6,0.4,2024-06-17T19:23:18.607Z
355297000,37.464855,126.60571166666666,281,264.3,0.4,2024-06-17T19:23:08.231Z
355297000,37.464865,126.605735,282,288.4,0.4,2024-06-17T19:22:57.948Z
355297000,37.464866666666666,126.60576,282,301.8,0.3,2024-06-17T19:22:47.741Z
355297000,37.464845,126.60580166666666,280,289.7,0.4,2024-06-17T19:22:37.367Z
355297000,37.464821666666666,126.60586166666667,279,274.2,0.6,2024-06-17T19:22:16.766Z
355297000,37.464821666666666,126.605895,278,265.7,0.6,2024-06-17T19:22:06.553Z
355297000,37.464823333333335,126.605935,279,272.6,0.7,2024-06-17T19:21:56.318Z
355297000,37.46482,126.60600166666667,280,289.9,0.7,2024-06-17T19:21:35.338Z
