Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002310,37.412128333333335,126.56327666666667,218,207.7,11.4,2024-06-20T15:33:35.597Z
440002310,37.41354666666667,126.56419833333334,215,206.2,11.3,2024-06-20T15:33:04.910Z
440002310,37.41397,126.564475,215,207.4,11.4,2024-06-20T15:32:54.630Z
440002310,37.41444333333333,126.56476666666667,216,206.2,11.5,2024-06-20T15:32:44.445Z
440002310,37.41491666666667,126.56505666666666,216,207.8,11.3,2024-06-20T15:32:34.104Z
440002310,37.416351666666664,126.56584,212,202.2,11.2,2024-06-20T15:32:03.371Z
440002310,37.416826666666665,126.56608333333334,213,203.8,11.2,2024-06-20T15:31:53.082Z
440002310,37.417768333333335,126.56665333333333,215,207.5,11.2,2024-06-20T15:31:32.648Z
440002310,37.41818833333333,126.56694166666666,215,206.1,11.1,2024-06-20T15:31:21.927Z
440002310,37.419176666666665,126.567495,213,202.6,11.1,2024-06-20T15:31:01.267Z
440002310,37.41965833333333,126.56774333333334,212,201,11.1,2024-06-20T15:30:50.959Z
440002310,37.420141666666666,126.56797,211,200.2,11.1,2024-06-20T15:30:40.667Z
440002310,37.42062833333333,126.5682,212,201.8,11.2,2024-06-20T15:30:30.475Z
440002310,37.421105,126.56846,214,204.4,11.2,2024-06-20T15:30:20.184Z
440002310,37.42158166666667,126.56870333333333,214,203.9,11.2,2024-06-20T15:30:09.912Z
440002310,37.422061666666664,126.568945,214,202.5,11.1,2024-06-20T15:29:59.568Z
440002310,37.42254166666667,126.569185,212,201.5,11,2024-06-20T15:29:49.329Z
440002310,37.423065,126.569445,212,201.7,11,2024-06-20T15:29:39.109Z
440002310,37.423495,126.56966333333334,212,201.4,11,2024-06-20T15:29:28.832Z
440002310,37.424933333333335,126.570365,211,200.1,10.9,2024-06-20T15:29:08.321Z
440002310,37.425415,126.57058666666667,211,199.5,11,2024-06-20T15:28:58.092Z
440002310,37.42643833333333,126.57101666666667,208,196.8,11,2024-06-20T15:28:27.494Z
440002310,37.426878333333335,126.57118666666666,208,196.5,11,2024-06-20T15:28:27.444Z
440002310,37.42786,126.57157666666667,209,199.9,10.9,2024-06-20T15:28:06.962Z
440002310,37.429343333333335,126.57222833333333,209,193.4,11,2024-06-20T15:27:35.932Z
440002310,37.429793333333336,126.57233333333333,205,188.4,10.8,2024-06-20T15:27:25.645Z
440002310,37.43029666666666,126.57243666666666,206,191.6,10.9,2024-06-20T15:27:15.411Z
440002310,37.430796666666666,126.57257833333334,207,195.3,10.9,2024-06-20T15:27:05.118Z
440002310,37.43128,126.57277333333333,209,197.5,10.9,2024-06-20T15:26:54.883Z
440002310,37.432295,126.57317666666667,208,194.2,10.9,2024-06-20T15:26:34.293Z
440002310,37.43273,126.57331,207,194.3,10.9,2024-06-20T15:26:24.036Z
440002310,37.43321,126.57345666666667,207,195.2,10.8,2024-06-20T15:26:13.761Z
440002310,37.43369666666667,126.57362166666667,208,195.5,10.8,2024-06-20T15:26:03.340Z
440002310,37.43418666666667,126.573795,207,194.4,10.7,2024-06-20T15:25:53.010Z
440002310,37.43472166666667,126.57395666666666,206,192.6,10.7,2024-06-20T15:25:42.815Z
440002310,37.435201666666664,126.5741,207,194.2,10.8,2024-06-20T15:25:32.598Z
440002310,37.436125,126.57441666666666,208,195.2,10.9,2024-06-20T15:25:11.530Z
440002310,37.436613333333334,126.57458833333334,208,195.3,10.8,2024-06-20T15:25:01.237Z
440002310,37.43710166666666,126.574745,207,193.2,10.9,2024-06-20T15:24:50.909Z
440002310,37.43764,126.57489166666667,207,193,10.8,2024-06-20T15:24:40.612Z
440002310,37.438125,126.57505,208,195.6,10.7,2024-06-20T15:24:30.365Z
440002310,37.438561666666665,126.57519166666667,208,195.9,10.7,2024-06-20T15:24:20.153Z
440002310,37.43905,126.57536333333333,207,195.5,10.8,2024-06-20T15:24:09.855Z
