Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
636020905,37.46087166666667,126.60582833333333,72,197,0,2024-06-16T11:15:23.828Z
636020905,37.46086833333333,126.60583,72,197,0,2024-06-16T11:15:13.592Z
636020905,37.46086666666667,126.60582833333333,72,197,0,2024-06-16T11:14:52.954Z
636020905,37.46086833333333,126.60581166666667,72,197,0,2024-06-16T11:14:21.153Z
636020905,37.46086833333333,126.60582333333333,72,197,0,2024-06-16T11:14:10.825Z
636020905,37.46086833333333,126.60582166666667,72,197,0,2024-06-16T11:14:00.539Z
636020905,37.46087166666667,126.60581,72,197,0.1,2024-06-16T11:13:50.337Z
636020905,37.460895,126.60579833333334,71,200.5,0.1,2024-06-16T11:13:19.637Z
636020905,37.46091166666667,126.60580833333333,71,200.5,0.1,2024-06-16T11:13:09.208Z
636020905,37.46091666666667,126.60580833333333,72,200.5,0.1,2024-06-16T11:12:48.740Z
636020905,37.46093166666667,126.60581833333333,72,201.7,0.2,2024-06-16T11:12:28.287Z
636020905,37.46094,126.60582333333333,72,208.3,0.3,2024-06-16T11:12:28.246Z
636020905,37.46094166666666,126.60583,72,215.9,0.3,2024-06-16T11:12:17.972Z
636020905,37.460951666666666,126.60584,71,221.5,0.3,2024-06-16T11:12:07.694Z
636020905,37.46096,126.60585,71,228.9,0.2,2024-06-16T11:11:57.385Z
636020905,37.46098833333333,126.60588,71,240.7,0.2,2024-06-16T11:11:36.889Z
636020905,37.46099666666667,126.60589166666666,71,232.9,0.2,2024-06-16T11:11:26.623Z
636020905,37.460998333333336,126.60591,71,219.1,0.2,2024-06-16T11:11:16.387Z
636020905,37.460998333333336,126.60593666666666,72,199.7,0.2,2024-06-16T11:10:55.970Z
636020905,37.46100666666667,126.60593666666666,72,195.3,0.3,2024-06-16T11:10:45.715Z
636020905,37.46102166666667,126.60593333333334,71,194.6,0.4,2024-06-16T11:10:35.397Z
636020905,37.46104,126.60594,71,193.7,0.4,2024-06-16T11:10:25.162Z
636020905,37.461075,126.60594666666667,71,190.3,0.4,2024-06-16T11:10:04.681Z
636020905,37.46109166666667,126.60591333333333,71,189.5,0.5,2024-06-16T11:09:54.432Z
636020905,37.461126666666665,126.605975,70,194.7,0.7,2024-06-16T11:09:44.192Z
636020905,37.46120333333333,126.606015,69,224.8,0.8,2024-06-16T11:09:23.696Z
636020905,37.461261666666665,126.60607333333333,69,238.7,1.2,2024-06-16T11:09:03.009Z
636020905,37.461331666666666,126.60618333333333,70,239.8,1.2,2024-06-16T11:08:42.450Z
636020905,37.46135666666667,126.60618166666667,71,239.4,1.2,2024-06-16T11:08:32.214Z
636020905,37.46137,126.60619833333334,71,237.3,1.3,2024-06-16T11:08:21.902Z
636020905,37.461435,126.60633666666666,72,227.3,1.5,2024-06-16T11:08:01.304Z
636020905,37.46153833333333,126.60647333333333,70,221.3,1.7,2024-06-16T11:07:40.766Z
636020905,37.461596666666665,126.606545,68,224.2,1.7,2024-06-16T11:07:30.537Z
636020905,37.46164666666667,126.60661166666667,66,228.2,1.6,2024-06-16T11:07:20.251Z
636020905,37.461753333333334,126.60676166666667,65,231.9,1.4,2024-06-16T11:06:59.792Z
636020905,37.46178666666667,126.60681333333333,65,232.5,1.4,2024-06-16T11:06:49.603Z
636020905,37.461835,126.606885,65,232.6,1.3,2024-06-16T11:06:39.350Z
636020905,37.461886666666665,126.606955,65,230.8,1.2,2024-06-16T11:06:29.032Z
636020905,37.46192166666667,126.60700666666666,66,226.2,1.2,2024-06-16T11:06:18.819Z
636020905,37.46196,126.60706,67,220.5,1.2,2024-06-16T11:06:08.514Z
636020905,37.462001666666666,126.60711666666667,67,213.8,1.3,2024-06-16T11:05:58.219Z
636020905,37.462043333333334,126.60716166666667,66,207.2,1.5,2024-06-16T11:05:47.900Z
636020905,37.4621,126.60719666666667,65,202.1,1.6,2024-06-16T11:05:47.867Z
636020905,37.462181666666666,126.60724,64,200.8,1.8,2024-06-16T11:05:27.279Z
636020905,37.462255,126.60726833333334,62,200.6,1.8,2024-06-16T11:05:27.243Z
636020905,37.46233333333333,126.60729833333333,60,201.7,1.8,2024-06-16T11:05:16.904Z
636020905,37.4625,126.60738166666667,56,209.5,1.7,2024-06-16T11:04:56.452Z
636020905,37.462626666666665,126.607475,55,225.1,1.5,2024-06-16T11:04:35.938Z
636020905,37.462675,126.60753333333334,55,230.7,1.5,2024-06-16T11:04:25.716Z
636020905,37.46272333333334,126.607605,56,231.6,1.5,2024-06-16T11:04:15.381Z
636020905,37.46276833333334,126.60768,58,230.9,1.6,2024-06-16T11:04:05.095Z
636020905,37.46282,126.60775666666666,59,229.6,1.6,2024-06-16T11:03:54.835Z
636020905,37.46303,126.60805666666667,60,218.2,1.8,2024-06-16T11:03:13.435Z
636020905,37.46310833333333,126.608135,60,214.1,1.9,2024-06-16T11:03:03.210Z
636020905,37.463186666666665,126.60819666666667,59,208.5,1.9,2024-06-16T11:02:52.958Z
