Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441791000,37.448301666666666,126.59058,180,148.4,0.1,2024-06-29T10:32:51.305Z
441791000,37.448285,126.59060166666667,180,146.6,0.1,2024-06-29T10:29:56.985Z
441791000,37.448258333333335,126.59061833333334,180,149.4,0.1,2024-06-29T10:27:00.168Z
441791000,37.44829166666667,126.59058333333333,180,149.8,0.1,2024-06-29T10:11:54.982Z
441791000,37.44827166666666,126.59059,180,158.9,0.1,2024-06-29T10:05:57.027Z
441791000,37.44824333333333,126.59058833333333,180,146.6,0.1,2024-06-29T09:50:58.024Z
441791000,37.448231666666665,126.59060166666667,180,152.1,0.1,2024-06-29T09:42:25.492Z
441791000,37.448233333333334,126.59060333333333,180,154.8,0.1,2024-06-29T09:42:25.459Z
441791000,37.448236666666666,126.5906,180,157.2,0.1,2024-06-29T09:41:41.168Z
441791000,37.448236666666666,126.59059666666667,180,163.7,0.1,2024-06-29T09:41:25.890Z
441791000,37.448236666666666,126.59059666666667,180,159.4,0.1,2024-06-29T09:41:15.637Z
441791000,37.448236666666666,126.59059833333333,180,155.6,0.1,2024-06-29T09:41:15.600Z
441791000,37.448236666666666,126.59059666666667,180,160.9,0.1,2024-06-29T09:41:05.298Z
441791000,37.44824,126.59059666666667,180,155.5,0.1,2024-06-29T09:40:49.979Z
441791000,37.44824166666667,126.59059666666667,180,159.5,0.1,2024-06-29T09:40:49.952Z
441791000,37.448238333333336,126.59059333333333,180,142.6,0,2024-06-29T09:39:59.445Z
441791000,37.448235,126.59059333333333,181,147.3,0.1,2024-06-29T09:39:59.417Z
441791000,37.44822833333333,126.59059166666667,180,110.1,0.2,2024-06-29T09:39:28.972Z
441791000,37.448235,126.590575,180,112.3,0.2,2024-06-29T09:39:13.812Z
441791000,37.448238333333336,126.59056166666667,180,121.1,0.2,2024-06-29T09:39:13.745Z
441791000,37.448238333333336,126.59055833333333,180,139.6,0.1,2024-06-29T09:38:58.407Z
441791000,37.44824,126.590545,182,115.2,0.3,2024-06-29T09:38:22.283Z
441791000,37.44824166666667,126.59049666666667,182,113.8,0.4,2024-06-29T09:37:46.917Z
441791000,37.44824333333333,126.590435,181,108,0.5,2024-06-29T09:37:16.206Z
441791000,37.44824666666667,126.59041166666667,181,104.6,0.5,2024-06-29T09:37:00.965Z
441791000,37.44825,126.590385,180,104.9,0.5,2024-06-29T09:36:50.692Z
441791000,37.448251666666664,126.59031166666666,178,91.5,0.3,2024-06-29T09:36:04.750Z
441791000,37.44824833333333,126.59030166666666,178,88.9,0.3,2024-06-29T09:36:04.729Z
441791000,37.448245,126.59028833333333,178,87.9,0.3,2024-06-29T09:35:48.872Z
441791000,37.44824,126.59027333333333,179,88.3,0.4,2024-06-29T09:35:33.528Z
441791000,37.448235,126.59025333333334,179,87.2,0.5,2024-06-29T09:35:23.249Z
441791000,37.44822333333333,126.59021833333334,178,85.5,0.6,2024-06-29T09:35:12.914Z
441791000,37.448213333333335,126.59018333333333,178,85.4,0.8,2024-06-29T09:35:12.883Z
441791000,37.44818,126.589955,172,93.9,1.1,2024-06-29T09:34:21.438Z
441791000,37.44818,126.58988333333333,171,96.2,1.2,2024-06-29T09:34:10.901Z
441791000,37.44818333333333,126.58982333333333,170,99.9,1.3,2024-06-29T09:34:10.871Z
441791000,37.448193333333336,126.58975333333333,168,102.9,1.4,2024-06-29T09:34:00.604Z
441791000,37.448276666666665,126.58939,163,112,2,2024-06-29T09:33:10.218Z
441791000,37.448301666666666,126.58930333333333,162,111.6,2.2,2024-06-29T09:33:10.193Z
441791000,37.44833666666667,126.58918333333334,160,111.3,2.4,2024-06-29T09:32:54.898Z
