Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440002310,37.451238333333336,126.594145,321,77.9,0,2024-06-27T06:53:29.650Z
440002310,37.451235,126.59415333333334,321,84.8,0,2024-06-27T06:53:19.239Z
440002310,37.451231666666665,126.594165,321,79.1,0,2024-06-27T06:52:58.676Z
440002310,37.451233333333334,126.59417833333333,321,75.4,0,2024-06-27T06:52:38.103Z
440002310,37.451255,126.59418,321,0,0,2024-06-27T06:52:17.012Z
440002310,37.45125,126.59416,321,79.7,0,2024-06-27T06:51:56.312Z
440002310,37.45125,126.59416,321,0,0,2024-06-27T06:51:35.840Z
440002310,37.451253333333334,126.59415166666666,321,80,0,2024-06-27T06:51:25.359Z
440002310,37.451251666666664,126.59416333333333,321,0,0,2024-06-27T06:51:04.694Z
440002310,37.45124833333333,126.59413666666667,321,77,0,2024-06-27T06:50:22.566Z
440002310,37.45123666666667,126.59413666666667,322,0,0,2024-06-27T06:50:01.917Z
440002310,37.45122333333333,126.59413833333333,321,0,0,2024-06-27T06:49:41.255Z
440002310,37.451206666666664,126.59414333333334,321,70.4,0,2024-06-27T06:49:19.758Z
440002310,37.451211666666666,126.59416666666667,321,0,0,2024-06-27T06:48:58.885Z
440002310,37.45123,126.594155,321,0,0,2024-06-27T06:48:38.361Z
440002310,37.451235,126.59415333333334,321,0,0,2024-06-27T06:48:16.731Z
440002310,37.451233333333334,126.59416666666667,320,79.3,0,2024-06-27T06:47:55.934Z
440002310,37.45121833333334,126.59418,321,0,0,2024-06-27T06:47:45.435Z
440002310,37.4512,126.59417,321,0,0,2024-06-27T06:47:24.710Z
440002310,37.45120166666667,126.59416333333333,321,67.9,0,2024-06-27T06:47:14.132Z
440002310,37.45121,126.59415833333334,321,0,0,2024-06-27T06:47:03.906Z
440002310,37.45121,126.59415666666666,321,0,0,2024-06-27T06:46:53.612Z
440002310,37.451208333333334,126.59415833333334,321,76.9,0,2024-06-27T06:46:43.279Z
440002310,37.451208333333334,126.59415833333334,321,0,0,2024-06-27T06:46:33.031Z
440002310,37.451208333333334,126.59415333333334,321,0,0,2024-06-27T06:46:22.800Z
440002310,37.451211666666666,126.59415,321,0,0,2024-06-27T06:46:12.415Z
440002310,37.451213333333335,126.59415166666666,321,0,0,2024-06-27T06:46:02.078Z
440002310,37.451208333333334,126.594155,320,0,0,2024-06-27T06:45:51.820Z
440002310,37.45119833333333,126.594155,321,77.3,0,2024-06-27T06:45:31.257Z
440002310,37.451193333333336,126.594155,321,0,0,2024-06-27T06:45:20.736Z
440002310,37.451188333333334,126.594155,321,81.2,0,2024-06-27T06:45:10.449Z
440002310,37.451191666666666,126.594155,321,83.7,0,2024-06-27T06:45:00.183Z
440002310,37.451186666666665,126.59415333333334,321,76.3,0,2024-06-27T06:44:49.982Z
440002310,37.45118166666666,126.59414833333334,321,0,0,2024-06-27T06:44:29.473Z
440002310,37.45118333333333,126.594145,321,0,0,2024-06-27T06:44:19.241Z
440002310,37.45119,126.59415,321,64.5,0,2024-06-27T06:44:09.040Z
440002310,37.451193333333336,126.59415666666666,321,0,0,2024-06-27T06:43:48.270Z
440002310,37.45119833333333,126.59416166666666,321,0,0,2024-06-27T06:43:37.760Z
440002310,37.451206666666664,126.59416166666666,321,0,0,2024-06-27T06:43:26.778Z
440002310,37.45121666666667,126.594165,321,0,0,2024-06-27T06:43:16.507Z
440002310,37.451231666666665,126.59416833333333,321,0,0,2024-06-27T06:43:06.249Z
