Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538010693,37.438163333333335,126.59976833333333,269,47.6,0.1,2024-06-25T10:18:46.214Z
538010693,37.43826166666667,126.59978666666666,269,42.1,0,2024-06-25T10:15:47.663Z
538010693,37.43821333333333,126.59982333333333,269,198.2,0,2024-06-25T10:12:50.748Z
538010693,37.43821166666667,126.59977833333333,270,198.2,0,2024-06-25T10:09:53.167Z
538010693,37.43833,126.59989333333333,270,39.4,0,2024-06-25T10:06:46.037Z
538010693,37.43824166666667,126.59980166666666,270,205.2,0,2024-06-25T10:03:48.217Z
538010693,37.43809666666667,126.59974,270,194.8,0,2024-06-25T10:00:49.604Z
538010693,37.438183333333335,126.59975,270,193.6,0,2024-06-25T09:57:51.579Z
538010693,37.438215,126.59972,270,197.8,0,2024-06-25T09:54:45.896Z
538010693,37.43828333333333,126.59986166666667,270,197.3,0.1,2024-06-25T09:51:49.427Z
538010693,37.43832,126.59993666666666,270,358.5,0,2024-06-25T09:48:53.494Z
538010693,37.438203333333334,126.59977833333333,270,44.3,0,2024-06-25T09:45:48.055Z
538010693,37.438205,126.59978333333333,270,34.8,0.1,2024-06-25T09:39:50.510Z
538010693,37.43828166666667,126.599725,270,47.7,0.1,2024-06-25T09:36:52.867Z
538010693,37.43826333333333,126.59985,270,22.1,0,2024-06-25T09:33:46.292Z
538010693,37.4383,126.59984,270,33.7,0.1,2024-06-25T09:30:48.949Z
538010693,37.43828166666667,126.59978833333334,270,7.6,0,2024-06-25T09:24:51.077Z
538010693,37.43823666666667,126.59983666666666,270,48.6,0,2024-06-25T09:21:53.221Z
538010693,37.43817,126.59984,270,133.3,0,2024-06-25T09:18:51.365Z
538010693,37.43821666666667,126.599795,270,14.4,0,2024-06-25T09:16:24.694Z
538010693,37.43822,126.5998,270,12.2,0.1,2024-06-25T09:16:14.462Z
538010693,37.43822333333333,126.59980333333333,270,40.7,0,2024-06-25T09:16:04.217Z
538010693,37.438226666666665,126.59980833333333,270,40.7,0,2024-06-25T09:15:54.030Z
538010693,37.43823166666667,126.59981333333333,270,40.7,0,2024-06-25T09:15:53.993Z
538010693,37.43821833333333,126.59981,270,40.7,0,2024-06-25T09:15:32.661Z
538010693,37.438215,126.599805,270,88.8,0,2024-06-25T09:15:11.470Z
538010693,37.43821,126.599805,270,94.4,0.1,2024-06-25T09:14:50.860Z
538010693,37.438215,126.59979333333334,269,67.6,0.1,2024-06-25T09:14:30.182Z
538010693,37.438215,126.59979166666666,269,88.6,0.1,2024-06-25T09:14:19.109Z
538010693,37.43821166666667,126.59978833333334,269,96.8,0.1,2024-06-25T09:14:08.838Z
538010693,37.43821,126.59977833333333,269,59.4,0.1,2024-06-25T09:13:58.495Z
538010693,37.438208333333336,126.59976833333333,269,26.2,0.1,2024-06-25T09:13:48.269Z
538010693,37.4382,126.59976166666667,269,176.7,0,2024-06-25T09:13:27.085Z
538010693,37.438203333333334,126.59976,269,173.7,0.1,2024-06-25T09:13:16.765Z
538010693,37.438205,126.59976,268,339.6,0,2024-06-25T09:13:06.483Z
538010693,37.438208333333336,126.59975666666666,268,345.6,0.1,2024-06-25T09:12:56.186Z
538010693,37.43819666666667,126.59975666666666,268,347.2,0.1,2024-06-25T09:12:45.900Z
538010693,37.43818666666667,126.59976333333333,268,345.9,0.1,2024-06-25T09:12:35.605Z
538010693,37.43817333333333,126.59976833333333,268,352.5,0.3,2024-06-25T09:12:03.519Z
538010693,37.438163333333335,126.59976833333333,269,353.9,0.3,2024-06-25T09:11:53.234Z
538010693,37.438115,126.59977666666667,271,4.7,0.1,2024-06-25T09:11:32.754Z
538010693,37.43810833333333,126.59978,270,6.4,0.1,2024-06-25T09:11:22.489Z
538010693,37.438105,126.59977833333333,269,0.9,0.2,2024-06-25T09:11:12.284Z
538010693,37.438093333333335,126.599775,268,356.5,0.4,2024-06-25T09:10:51.907Z
538010693,37.43806,126.59977166666667,269,356.8,0.4,2024-06-25T09:10:30.328Z
538010693,37.43804166666666,126.599775,269,358.1,0.4,2024-06-25T09:10:19.687Z
