Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
636019892,37.43805833333333,126.59700833333333,269,56.5,0,2024-06-15T19:46:45.189Z
636019892,37.43805666666667,126.59701,269,185.9,0,2024-06-15T19:43:39.971Z
636019892,37.43805833333333,126.59701166666666,269,8.2,0,2024-06-15T19:40:45.453Z
636019892,37.43805666666667,126.59701166666666,269,96,0,2024-06-15T19:37:40.289Z
636019892,37.43806,126.59701333333334,269,5.9,0,2024-06-15T19:34:45.695Z
636019892,37.43805833333333,126.597015,270,219.2,0,2024-06-15T19:28:45.546Z
636019892,37.438055,126.59701666666666,270,305.2,0,2024-06-15T19:25:40.112Z
636019892,37.43805833333333,126.59701666666666,270,6.2,0,2024-06-15T19:22:45.668Z
636019892,37.43805833333333,126.597015,270,114.7,0,2024-06-15T19:19:40.765Z
636019892,37.43806166666667,126.59701333333334,270,321.7,0,2024-06-15T19:16:35.592Z
636019892,37.43806,126.59701666666666,270,317.1,0,2024-06-15T19:10:45.204Z
636019892,37.43806166666667,126.597015,270,334.2,0,2024-06-15T19:07:39.765Z
636019892,37.43806,126.59701333333334,270,288.1,0,2024-06-15T19:01:40.296Z
636019892,37.43805833333333,126.597015,270,135.6,0,2024-06-15T18:55:40.948Z
636019892,37.43805666666667,126.59701333333334,271,180.9,0,2024-06-15T18:52:45.716Z
636019892,37.43805666666667,126.59701333333334,271,235.6,0,2024-06-15T18:49:39.889Z
636019892,37.43805666666667,126.59701333333334,271,74.6,0,2024-06-15T18:46:35.097Z
636019892,37.43805833333333,126.59701333333334,271,301.1,0,2024-06-15T18:43:08.109Z
636019892,37.43805833333333,126.59701166666666,271,207.8,0,2024-06-15T18:42:37.226Z
636019892,37.43805833333333,126.59701333333334,271,74.6,0,2024-06-15T18:42:27.000Z
636019892,37.43805833333333,126.59701166666666,271,323.1,0,2024-06-15T18:42:16.671Z
636019892,37.43805666666667,126.59701333333334,271,248,0,2024-06-15T18:42:06.245Z
636019892,37.43805666666667,126.59701333333334,271,244.5,0,2024-06-15T18:41:45.610Z
636019892,37.43805666666667,126.59701333333334,271,291.1,0,2024-06-15T18:41:35.348Z
636019892,37.43805666666667,126.59701333333334,271,175.6,0,2024-06-15T18:41:14.881Z
636019892,37.43805666666667,126.59701333333334,271,196.4,0,2024-06-15T18:41:04.580Z
636019892,37.43805666666667,126.597015,271,223.9,0,2024-06-15T18:40:23.524Z
636019892,37.43805666666667,126.597015,271,2.3,0,2024-06-15T18:39:42.405Z
636019892,37.43805666666667,126.59701666666666,271,28.2,0,2024-06-15T18:39:21.481Z
636019892,37.43805666666667,126.59701666666666,271,63.7,0,2024-06-15T18:38:50.520Z
636019892,37.43805666666667,126.59701666666666,271,128.1,0,2024-06-15T18:37:59.174Z
636019892,37.43805666666667,126.59701666666666,271,195.2,0,2024-06-15T18:37:48.890Z
636019892,37.43805833333333,126.59701833333334,271,252.1,0,2024-06-15T18:37:28.337Z
636019892,37.43805833333333,126.59701833333334,270,328.1,0,2024-06-15T18:37:18.200Z
636019892,37.43805833333333,126.59701833333334,270,354.4,0,2024-06-15T18:36:47.258Z
636019892,37.43805833333333,126.59701833333334,270,76.1,0,2024-06-15T18:36:26.650Z
636019892,37.43805833333333,126.59701833333334,270,194.1,0,2024-06-15T18:35:55.901Z
636019892,37.43806,126.59702,270,16.3,0,2024-06-15T18:35:35.499Z
636019892,37.43806,126.59701833333334,270,185.6,0,2024-06-15T18:35:25.289Z
636019892,37.43805833333333,126.59701833333334,270,37.9,0,2024-06-15T18:35:15.033Z
636019892,37.43806,126.59701833333334,270,31.4,0,2024-06-15T18:35:04.696Z
636019892,37.43806,126.59701833333334,270,52.9,0,2024-06-15T18:34:33.926Z
636019892,37.43806,126.59701833333334,270,226.4,0,2024-06-15T18:34:33.888Z
636019892,37.43806,126.59701833333334,270,221.2,0,2024-06-15T18:34:23.674Z
636019892,37.43805833333333,126.59701833333334,270,18.4,0,2024-06-15T18:34:13.453Z
636019892,37.43805666666667,126.59701833333334,270,213.7,0,2024-06-15T18:34:03.157Z
636019892,37.438053333333336,126.59702,270,101,0,2024-06-15T18:33:21.449Z
636019892,37.43805166666667,126.59702,270,95.4,0,2024-06-15T18:33:11.144Z
636019892,37.438048333333334,126.59701833333334,270,103.5,0,2024-06-15T18:32:50.662Z
636019892,37.438048333333334,126.59701666666666,270,84.8,0,2024-06-15T18:32:40.501Z
636019892,37.438048333333334,126.59701166666666,270,55,0.2,2024-06-15T18:32:30.202Z
636019892,37.43804333333333,126.59699666666667,270,59.1,0.3,2024-06-15T18:32:19.959Z
636019892,37.43803666666667,126.59698,271,60.5,0.3,2024-06-15T18:32:09.675Z
636019892,37.438026666666666,126.59696,271,63.9,0.4,2024-06-15T18:31:59.475Z
636019892,37.43801833333333,126.596935,272,68.4,0.5,2024-06-15T18:31:49.200Z
636019892,37.43801166666667,126.59690833333333,272,77,0.6,2024-06-15T18:31:38.863Z
636019892,37.438005,126.59686833333333,272,76.4,0.7,2024-06-15T18:31:28.602Z
636019892,37.437995,126.59682666666667,271,69.1,0.6,2024-06-15T18:31:18.350Z
636019892,37.437981666666666,126.59678333333333,271,62.7,0.8,2024-06-15T18:31:07.996Z
636019892,37.43794333333334,126.5967,270,60.4,0.8,2024-06-15T18:30:47.505Z
636019892,37.43792333333333,126.59665666666666,269,57.3,0.8,2024-06-15T18:30:37.255Z
636019892,37.43790166666667,126.59661333333334,269,56.7,0.9,2024-06-15T18:30:26.992Z
636019892,37.43787833333333,126.59657,268,57.7,0.9,2024-06-15T18:30:16.705Z
636019892,37.437855,126.59652666666666,267,54.5,0.9,2024-06-15T18:30:06.432Z
636019892,37.437825,126.596475,266,54.2,0.9,2024-06-15T18:29:56.157Z
636019892,37.437803333333335,126.59643833333334,265,54.7,1,2024-06-15T18:29:45.901Z
636019892,37.437776666666664,126.596385,264,58.6,1.2,2024-06-15T18:29:35.661Z
636019892,37.43774333333333,126.59631833333333,262,59.7,1.4,2024-06-15T18:29:25.477Z
636019892,37.437706666666664,126.59624,261,58.1,1.6,2024-06-15T18:29:15.129Z
636019892,37.437666666666665,126.59615833333334,260,56.7,1.7,2024-06-15T18:29:04.922Z
636019892,37.43761166666667,126.59605833333333,259,56.3,1.7,2024-06-15T18:28:54.611Z
636019892,37.437525,126.59588333333333,256,58.4,1.8,2024-06-15T18:28:34.048Z
636019892,37.43748166666666,126.59579333333333,254,61.2,1.8,2024-06-15T18:28:23.819Z
636019892,37.437396666666665,126.59562333333334,251,58.5,2,2024-06-15T18:28:13.533Z
636019892,37.437335,126.59550166666666,248,56.7,2.1,2024-06-15T18:28:03.270Z
636019892,37.43729,126.59541666666667,246,54.8,2.1,2024-06-15T18:27:53.022Z
636019892,37.437216666666664,126.59528666666667,244,52.7,2.3,2024-06-15T18:27:42.618Z
636019892,37.43714833333333,126.595175,242,52,2.4,2024-06-15T18:27:30.974Z
636019892,37.43691666666667,126.59484666666667,240,46.7,2.8,2024-06-15T18:27:00.188Z
636019892,37.43682166666667,126.59472333333333,240,46,3,2024-06-15T18:26:49.881Z
636019892,37.436703333333334,126.59456666666667,242,47.2,3.1,2024-06-15T18:26:39.664Z
636019892,37.43660166666667,126.59443166666667,243,47.8,3.2,2024-06-15T18:26:29.401Z
636019892,37.436523333333334,126.59431833333333,245,50,3.2,2024-06-15T18:26:19.154Z
636019892,37.43642833333333,126.59416833333333,247,51.4,3.3,2024-06-15T18:26:08.865Z
636019892,37.436335,126.59401,249,55.6,3.4,2024-06-15T18:25:58.529Z
636019892,37.436146666666666,126.59363666666667,253,59.9,3.4,2024-06-15T18:25:38.005Z
636019892,37.43606666666667,126.59346,254,62.1,3.4,2024-06-15T18:25:27.792Z
636019892,37.436006666666664,126.59331666666667,255,63.1,3.4,2024-06-15T18:25:17.477Z
636019892,37.43593666666667,126.593135,255,64.4,3.4,2024-06-15T18:25:07.143Z
636019892,37.4358,126.59277666666667,257,64,3.3,2024-06-15T18:24:46.619Z
636019892,37.435723333333335,126.59256833333333,258,63.9,3.2,2024-06-15T18:24:36.335Z
636019892,37.43555166666667,126.59210833333333,261,66.2,3,2024-06-15T18:24:05.609Z
636019892,37.435496666666666,126.59195166666667,263,66.5,2.9,2024-06-15T18:23:55.455Z
636019892,37.435445,126.59180166666667,265,67,2.7,2024-06-15T18:23:45.198Z
636019892,37.435385,126.59162833333333,267,66,2.6,2024-06-15T18:23:35.014Z
636019892,37.43532833333333,126.59146666666666,269,64.8,2.4,2024-06-15T18:23:24.740Z
636019892,37.43528333333333,126.59134,272,64,2.3,2024-06-15T18:23:14.500Z
636019892,37.43526333333333,126.59129166666666,272,63.9,2.2,2024-06-15T18:23:14.485Z
636019892,37.435235,126.59122166666667,274,63.3,2.2,2024-06-15T18:23:04.163Z
636019892,37.43521666666667,126.59117666666667,275,61.5,2.1,2024-06-15T18:23:04.151Z
636019892,37.435208333333335,126.591155,276,61.8,2.1,2024-06-15T18:23:04.137Z
636019892,37.43517,126.59107,279,60.5,2,2024-06-15T18:22:53.811Z
636019892,37.435143333333336,126.59101,281,59.9,1.9,2024-06-15T18:22:43.599Z
636019892,37.435105,126.59093166666666,284,56.1,1.9,2024-06-15T18:22:33.406Z
636019892,37.435095,126.59091333333333,285,57,1.9,2024-06-15T18:22:33.392Z
636019892,37.435075,126.59087666666667,286,56.7,1.8,2024-06-15T18:22:33.382Z
636019892,37.43505666666667,126.59084166666666,288,52.8,1.8,2024-06-15T18:22:23.174Z
636019892,37.435045,126.59082333333333,289,52.9,1.9,2024-06-15T18:22:23.165Z
636019892,37.435015,126.59077166666667,292,51,1.8,2024-06-15T18:22:23.142Z
636019892,37.434995,126.59074,294,52.5,1.7,2024-06-15T18:22:12.913Z
636019892,37.43494,126.59066166666666,299,44.8,1.8,2024-06-15T18:22:02.669Z
