Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001590,37.42994,126.59032833333333,201,32.2,0.1,2024-06-27T19:22:19.107Z
440001590,37.42993333333333,126.59033166666667,202,32.1,0.1,2024-06-27T19:22:08.933Z
440001590,37.42993833333333,126.590325,202,30.4,0.1,2024-06-27T19:21:58.647Z
440001590,37.42994,126.59031666666667,203,28.7,0.1,2024-06-27T19:21:48.455Z
440001590,37.42993666666667,126.59031333333333,204,27.2,0.1,2024-06-27T19:21:38.019Z
440001590,37.42992666666667,126.59031,204,25.6,0.1,2024-06-27T19:21:27.730Z
440001590,37.42992,126.59030333333334,204,23.2,0.1,2024-06-27T19:21:17.407Z
440001590,37.42991333333333,126.59030333333334,203,22.6,0.1,2024-06-27T19:21:17.381Z
440001590,37.42990833333333,126.590295,202,22.3,0,2024-06-27T19:20:56.926Z
440001590,37.429905,126.59029,201,23.4,0.1,2024-06-27T19:20:56.890Z
440001590,37.42990833333333,126.59029666666666,200,26.3,0,2024-06-27T19:20:46.613Z
440001590,37.4299,126.59029833333334,198,30.6,0,2024-06-27T19:20:36.317Z
440001590,37.429895,126.59029666666666,195,38.1,0,2024-06-27T19:20:15.714Z
440001590,37.429885,126.59029333333334,193,48.1,0,2024-06-27T19:20:15.678Z
440001590,37.42988166666667,126.59028833333333,192,55.6,0,2024-06-27T19:20:05.452Z
440001590,37.42988166666667,126.59028833333333,191,60.8,0,2024-06-27T19:20:05.437Z
440001590,37.429883333333336,126.59028833333333,190,65.9,0,2024-06-27T19:19:55.214Z
440001590,37.42988166666667,126.59029,189,73.9,0,2024-06-27T19:19:55.144Z
440001590,37.42988,126.59029,186,89,0,2024-06-27T19:19:44.892Z
440001590,37.429875,126.59028333333333,182,96.8,0,2024-06-27T19:19:34.649Z
440001590,37.42988,126.59029,180,105.1,0,2024-06-27T19:19:24.282Z
440001590,37.42986833333333,126.59027333333333,178,107.9,0,2024-06-27T19:19:13.994Z
440001590,37.429875,126.59027,175,108.6,0,2024-06-27T19:19:02.792Z
440001590,37.42988166666667,126.59026666666666,172,108.8,0.1,2024-06-27T19:18:52.554Z
440001590,37.429883333333336,126.590255,169,109,0.1,2024-06-27T19:18:31.626Z
440001590,37.42988833333333,126.59024666666667,166,108.7,0.1,2024-06-27T19:18:21.339Z
440001590,37.42989333333333,126.59023666666667,164,108.5,0.1,2024-06-27T19:18:11.030Z
440001590,37.429903333333336,126.59022333333333,161,107.9,0.1,2024-06-27T19:18:00.697Z
440001590,37.429903333333336,126.59021833333334,161,107.9,0.1,2024-06-27T19:18:00.682Z
440001590,37.429901666666666,126.59019833333333,157,107.8,0.2,2024-06-27T19:17:39.869Z
440001590,37.4299,126.59019166666667,154,106.7,0.2,2024-06-27T19:17:29.521Z
440001590,37.429898333333334,126.590195,151,105.5,0.2,2024-06-27T19:17:18.863Z
440001590,37.429905,126.59018666666667,149,104,0.2,2024-06-27T19:17:08.604Z
440001590,37.42990666666667,126.59016833333334,146,102.8,0.3,2024-06-27T19:16:57.936Z
440001590,37.42990666666667,126.590155,145,102.3,0.2,2024-06-27T19:16:47.718Z
440001590,37.42991833333333,126.59013333333333,143,100.5,0.3,2024-06-27T19:16:37.470Z
440001590,37.429923333333335,126.59011833333334,140,99.7,0.3,2024-06-27T19:16:27.212Z
440001590,37.429923333333335,126.59008833333333,138,98.3,0.3,2024-06-27T19:16:27.172Z
440001590,37.429921666666665,126.590065,137,98,0.3,2024-06-27T19:16:16.895Z
440001590,37.42991833333333,126.59004,134,97.4,0.3,2024-06-27T19:16:05.769Z
440001590,37.42991833333333,126.59002333333333,133,97,0.3,2024-06-27T19:15:55.544Z
440001590,37.429925,126.590005,132,96.8,0.3,2024-06-27T19:15:45.218Z
440001590,37.42993666666667,126.58997333333333,131,96.7,0.4,2024-06-27T19:15:34.880Z
440001590,37.429943333333334,126.58995,130,96.8,0.4,2024-06-27T19:15:24.662Z
440001590,37.429948333333336,126.58993,129,96.9,0.4,2024-06-27T19:15:14.417Z
440001590,37.429948333333336,126.589905,128,97.4,0.4,2024-06-27T19:15:03.631Z
440001590,37.42995,126.58987,127,97.8,0.4,2024-06-27T19:14:53.372Z
440001590,37.42995166666667,126.58984666666667,126,98,0.4,2024-06-27T19:14:42.989Z
440001590,37.429955,126.58981166666666,125,98.2,0.4,2024-06-27T19:14:32.201Z
440001590,37.42995833333333,126.58978666666667,125,98.1,0.4,2024-06-27T19:14:21.617Z
440001590,37.42996,126.58973833333333,125,98.2,0.4,2024-06-27T19:14:01.049Z
440001590,37.42995833333333,126.58971666666666,125,98.4,0.4,2024-06-27T19:13:50.328Z
440001590,37.42995833333333,126.58969833333333,124,98.3,0.4,2024-06-27T19:13:40.037Z
440001590,37.429965,126.58967,125,98.6,0.4,2024-06-27T19:13:29.709Z
440001590,37.429973333333336,126.58964333333333,125,98.8,0.5,2024-06-27T19:13:19.315Z
440001590,37.42998166666667,126.58958,126,99.7,0.4,2024-06-27T19:12:58.742Z
440001590,37.42998,126.58955166666667,127,100.6,0.5,2024-06-27T19:12:48.489Z
440001590,37.42999833333333,126.58949333333334,130,103.5,0.5,2024-06-27T19:12:27.753Z
440001590,37.430006666666664,126.58942166666667,133,106.6,0.5,2024-06-27T19:12:07.188Z
440001590,37.43002166666667,126.58939833333334,134,108.7,0.5,2024-06-27T19:11:56.902Z
440001590,37.43004,126.589335,138,113,0.5,2024-06-27T19:11:46.625Z
440001590,37.43004166666667,126.5893,141,116.4,0.5,2024-06-27T19:11:25.991Z
440001590,37.43004833333333,126.589265,143,120.1,0.6,2024-06-27T19:11:25.951Z
440001590,37.43005333333333,126.58923666666666,145,124.3,0.6,2024-06-27T19:11:15.758Z
440001590,37.43006,126.58920833333333,147,128.6,0.6,2024-06-27T19:11:05.443Z
440001590,37.430065,126.58919666666667,148,130.2,0.7,2024-06-27T19:11:05.431Z
440001590,37.43007,126.58918833333334,149,132.2,0.7,2024-06-27T19:10:55.200Z
440001590,37.430083333333336,126.58916666666667,150,136.2,0.7,2024-06-27T19:10:55.170Z
440001590,37.4301,126.58915,153,140.2,0.7,2024-06-27T19:10:44.956Z
440001590,37.43011,126.58913833333334,154,142.3,0.7,2024-06-27T19:10:44.947Z
440001590,37.430125,126.58912333333333,156,145.2,0.9,2024-06-27T19:10:34.652Z
440001590,37.430145,126.58909666666666,158,149.4,0.8,2024-06-27T19:10:34.625Z
440001590,37.430166666666665,126.58907,161,155,0.9,2024-06-27T19:10:24.382Z
440001590,37.43018333333333,126.589055,162,157.9,1,2024-06-27T19:10:24.369Z
440001590,37.43022166666667,126.58903166666667,167,164.4,1,2024-06-27T19:10:14.088Z
440001590,37.43027166666667,126.58900166666666,171,171.8,1.1,2024-06-27T19:10:02.894Z
440001590,37.430323333333334,126.58898166666667,176,177.3,1.3,2024-06-27T19:09:52.602Z
440001590,37.430393333333335,126.58897,180,182.4,1.5,2024-06-27T19:09:42.202Z
440001590,37.430481666666665,126.58897833333333,182,185.3,1.7,2024-06-27T19:09:31.550Z
440001590,37.430565,126.58898833333333,185,186.8,1.9,2024-06-27T19:09:21.157Z
440001590,37.43078,126.589015,186,187.2,2.5,2024-06-27T19:09:00.134Z
440001590,37.430895,126.58903333333333,186,188.1,2.9,2024-06-27T19:08:49.745Z
440001590,37.43103333333333,126.58906166666667,186,188.4,3.4,2024-06-27T19:08:39.407Z
440001590,37.43109666666667,126.58907666666667,188,189.5,3.7,2024-06-27T19:08:39.357Z
440001590,37.43134333333333,126.58912833333333,189,192,4.7,2024-06-27T19:08:29.087Z
440001590,37.43140666666667,126.58914833333333,190,192.5,5.1,2024-06-27T19:08:18.760Z
440001590,37.43169833333334,126.58923833333333,189,192.1,6.5,2024-06-27T19:08:08.373Z
440001590,37.43190166666667,126.58929,188,193.1,6.3,2024-06-27T19:08:08.303Z
440001590,37.43198833333334,126.58931333333334,187,193.2,6.2,2024-06-27T19:07:57.363Z
440001590,37.432073333333335,126.58934333333333,188,196.2,6.2,2024-06-27T19:07:57.352Z
440001590,37.43223833333333,126.58941333333334,196,205.9,6.2,2024-06-27T19:07:47.072Z
440001590,37.43241,126.58955333333333,210,220.8,6.4,2024-06-27T19:07:47.041Z
440001590,37.432475,126.589635,215,226.4,6.5,2024-06-27T19:07:47.030Z
440001590,37.43256,126.58974333333333,216,226.2,6.4,2024-06-27T19:07:36.835Z
440001590,37.432685,126.58990333333334,215,223.6,6.1,2024-06-27T19:07:36.811Z
440001590,37.432831666666665,126.59006666666667,210,220.2,5.6,2024-06-27T19:07:26.403Z
440001590,37.43288833333333,126.59012833333334,209,221.6,5.3,2024-06-27T19:07:26.379Z
440001590,37.43306,126.59033,211,228.7,3.5,2024-06-27T19:07:16.113Z
440001590,37.43311,126.59042,225,244.5,2.6,2024-06-27T19:07:05.704Z
440001590,37.433126666666666,126.59047833333334,238,254.2,2.5,2024-06-27T19:06:55.453Z
440001590,37.433135,126.59052166666666,246,257.9,2.3,2024-06-27T19:06:55.447Z
440001590,37.433141666666664,126.59059166666667,268,279.1,1.6,2024-06-27T19:06:55.422Z
440001590,37.43313333333333,126.59064666666667,272,279.9,0.6,2024-06-27T19:06:45.130Z
440001590,37.43313,126.590655,271,279.3,0.6,2024-06-27T19:06:45.126Z
440001590,37.433125,126.59067,267,277,0.6,2024-06-27T19:06:34.919Z
440001590,37.43312,126.59069333333333,264,273.5,0.6,2024-06-27T19:06:34.896Z
440001590,37.43311333333333,126.59071666666667,259,268.7,0.6,2024-06-27T19:06:24.693Z
440001590,37.43311,126.59072833333333,258,266.9,0.6,2024-06-27T19:06:24.686Z
440001590,37.433115,126.59077,253,259.5,0.7,2024-06-27T19:06:14.411Z
440001590,37.433115,126.59079833333334,249,255.4,0.7,2024-06-27T19:06:02.690Z
440001590,37.433115,126.59081,248,253.3,0.8,2024-06-27T19:06:02.675Z
440001590,37.43311833333333,126.59085666666667,242,246.2,0.8,2024-06-27T19:05:51.502Z
440001590,37.433125,126.59088666666666,239,241.5,0.8,2024-06-27T19:05:41.349Z
440001590,37.43313166666667,126.59090666666667,237,238.9,0.9,2024-06-27T19:05:41.324Z
440001590,37.43313666666667,126.59092333333334,236,236.8,0.9,2024-06-27T19:05:41.298Z
440001590,37.43315,126.59096166666667,233,231.8,0.9,2024-06-27T19:05:31.169Z
440001590,37.43316333333333,126.590995,230,227.6,1,2024-06-27T19:05:20.855Z
440001590,37.43317,126.59101166666666,230,225.2,1,2024-06-27T19:05:20.846Z
