Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538005088,37.43586166666667,126.57010833333334,16,192,0.2,2024-06-21T19:25:31.675Z
538005088,37.43592,126.57010666666666,20,160.8,0.2,2024-06-21T19:22:42.956Z
538005088,37.435935,126.57001,21,125.4,0.1,2024-06-21T19:19:33.349Z
538005088,37.43564666666666,126.57055166666666,345,234.9,1.4,2024-06-21T19:13:28.384Z
538005088,37.43824,126.57186166666666,244,185.5,2,2024-06-21T19:07:57.350Z
538005088,37.43832,126.57186666666666,242,187.2,1.9,2024-06-21T19:07:42.023Z
538005088,37.43851333333333,126.57189166666667,240,188.5,1.9,2024-06-21T19:07:31.689Z
538005088,37.438678333333336,126.571915,238,188.5,1.9,2024-06-21T19:07:20.369Z
538005088,37.439185,126.57199166666666,234,186.8,1.9,2024-06-21T19:06:09.732Z
538005088,37.43927333333333,126.57200166666667,233,186.2,1.9,2024-06-21T19:06:09.693Z
538005088,37.43953333333334,126.57202666666667,231,183.7,1.7,2024-06-21T19:05:19.312Z
538005088,37.439685,126.57203833333334,230,182.9,1.7,2024-06-21T19:05:19.210Z
538005088,37.43982666666667,126.57204833333333,229,181.7,1.7,2024-06-21T19:04:43.842Z
538005088,37.43999,126.57205333333333,227,179.2,1.7,2024-06-21T19:04:33.462Z
538005088,37.44014166666667,126.57204333333334,226,178.2,1.8,2024-06-21T19:04:07.987Z
538005088,37.44020833333333,126.57203833333334,225,178.9,1.8,2024-06-21T19:04:07.946Z
538005088,37.440666666666665,126.57205666666667,220,192.3,2.6,2024-06-21T19:03:17.497Z
538005088,37.44088833333333,126.57211,218,194.4,2.9,2024-06-21T19:02:42.152Z
538005088,37.44104166666666,126.57215333333333,217,195,3,2024-06-21T19:02:31.935Z
538005088,37.44117,126.572195,216,194.7,3,2024-06-21T19:02:31.892Z
538005088,37.44130166666667,126.57223666666667,215,194.2,3,2024-06-21T19:02:21.154Z
538005088,37.441435,126.57227833333333,214,193.7,3.1,2024-06-21T19:02:05.849Z
538005088,37.441555,126.57231666666667,213,193.1,3.1,2024-06-21T19:01:55.601Z
538005088,37.44169333333333,126.57236,212,192.5,3.2,2024-06-21T19:01:45.380Z
538005088,37.44183666666667,126.57240333333333,211,192.5,3.2,2024-06-21T19:01:45.340Z
538005088,37.44197666666667,126.57244,210,193.5,3.4,2024-06-21T19:01:30.077Z
538005088,37.442123333333335,126.57248,209,194.8,3.5,2024-06-21T19:01:30.018Z
538005088,37.44261,126.57262666666666,206,197.9,4.1,2024-06-21T19:00:54.651Z
538005088,37.442785,126.572695,205,199,4.3,2024-06-21T19:00:39.398Z
538005088,37.443353333333334,126.57294166666667,205,201,4.7,2024-06-21T19:00:11.052Z
538005088,37.443531666666665,126.57302333333334,205,201.2,4.7,2024-06-21T19:00:11.010Z
538005088,37.44394166666667,126.57321166666667,205,200.9,4.8,2024-06-21T18:59:35.776Z
538005088,37.44415,126.57330666666667,205,200.8,4.9,2024-06-21T18:59:35.733Z
538005088,37.44438,126.57341,205,200.8,4.9,2024-06-21T18:59:15.477Z
538005088,37.44459333333333,126.573505,205,200.6,4.9,2024-06-21T18:59:15.432Z
538005088,37.445,126.57368333333334,205,200.8,5,2024-06-21T18:58:40.096Z
538005088,37.445235,126.57379166666666,205,200.9,5,2024-06-21T18:58:29.829Z
538005088,37.446068333333336,126.57419333333333,205,200.8,5,2024-06-21T18:58:03.391Z
538005088,37.446283333333334,126.5743,205,200.8,5.1,2024-06-21T18:57:53.176Z
538005088,37.4474,126.57482833333333,205,199.4,5.2,2024-06-21T18:56:59.414Z
538005088,37.448255,126.57519166666667,204,198.7,5.3,2024-06-21T18:56:24.108Z
538005088,37.44875833333333,126.57539666666666,204,199.2,5.3,2024-06-21T18:55:53.754Z
538005088,37.44898833333333,126.57549166666666,204,199.3,5.3,2024-06-21T18:55:53.715Z
538005088,37.449218333333334,126.57559,204,199.1,5.3,2024-06-21T18:55:53.669Z
538005088,37.45014833333333,126.57597333333334,203,197.9,5.4,2024-06-21T18:54:58.368Z
538005088,37.450338333333335,126.57604833333333,203,197.6,5.5,2024-06-21T18:54:58.334Z
538005088,37.451085,126.57633,202,197,5.5,2024-06-21T18:54:22.952Z
538005088,37.45133,126.57641666666666,202,196.9,5.6,2024-06-21T18:54:22.891Z
538005088,37.45206833333334,126.57667833333333,201,197.1,5.6,2024-06-21T18:53:47.563Z
538005088,37.45231666666667,126.57676833333333,201,197.5,5.7,2024-06-21T18:53:32.374Z
538005088,37.45254,126.576855,201,197.5,5.7,2024-06-21T18:53:32.333Z
538005088,37.45328666666666,126.57715,201,197.3,5.8,2024-06-21T18:52:57.035Z
538005088,37.45461,126.57765833333333,200,195.8,5.9,2024-06-21T18:52:00.474Z
538005088,37.455621666666666,126.57800833333333,199,196.1,6,2024-06-21T18:51:25.132Z
538005088,37.45672833333333,126.57840166666666,198,197,6.2,2024-06-21T18:50:49.449Z
538005088,37.457545,126.57870833333334,198,197,6.3,2024-06-21T18:50:14.046Z
538005088,37.458346666666664,126.57901,198,198.2,6.4,2024-06-21T18:49:38.730Z
538005088,37.45865166666667,126.57913166666667,198,198.5,6.4,2024-06-21T18:49:38.682Z
538005088,37.459515,126.57948166666667,199,198.4,6.5,2024-06-21T18:49:03.312Z
538005088,37.460341666666665,126.57981666666667,199,197.9,6.6,2024-06-21T18:48:27.852Z
538005088,37.460631666666664,126.57993,199,197.9,6.6,2024-06-21T18:48:27.808Z
538005088,37.46183833333333,126.58040166666666,198,197.6,6.8,2024-06-21T18:47:37.313Z
538005088,37.462138333333336,126.58052,198,197.6,6.8,2024-06-21T18:47:37.273Z
