Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441077000,37.438535,126.61243333333333,,219.2,0.2,2024-06-19T13:45:58.873Z
441077000,37.438493333333334,126.61236166666667,,219.2,0.4,2024-06-19T13:45:12.757Z
441077000,37.43848166666667,126.61234666666667,,219.2,0.4,2024-06-19T13:44:55.719Z
441077000,37.43853166666667,126.61239166666667,,219.2,0.3,2024-06-19T13:44:42.243Z
441077000,37.43853333333333,126.61235,,219.2,0.6,2024-06-19T13:44:21.471Z
441077000,37.43852,126.61239333333333,,72,0.5,2024-06-19T13:42:46.970Z
441077000,37.438383333333334,126.61182333333333,107,88.1,1.5,2024-06-19T13:05:40.629Z
441077000,37.437825,126.60807166666666,87,83.2,3.4,2024-06-19T13:00:25.605Z
441077000,37.437675,126.606755,83,77.4,4.1,2024-06-19T12:59:21.048Z
441077000,37.43763666666667,126.60651666666666,82,74.9,4.2,2024-06-19T12:59:21.015Z
441077000,37.436301666666665,126.601355,70,72.4,5.8,2024-06-19T12:56:14.737Z
441077000,37.43613333333333,126.600675,70,72.9,5.8,2024-06-19T12:55:52.532Z
441077000,37.435385,126.597375,72,73.6,5.9,2024-06-19T12:54:18.970Z
441077000,37.435225,126.59668166666667,72,73.5,5.9,2024-06-19T12:53:57.998Z
441077000,37.43498666666667,126.59571833333334,72,73.2,5.9,2024-06-19T12:53:26.517Z
441077000,37.43490333333333,126.59538333333333,72,71.2,5.9,2024-06-19T12:53:16.262Z
441077000,37.428865,126.582715,56,49.5,6.9,2024-06-19T12:46:30.745Z
441077000,37.428666666666665,126.582425,56,49.6,6.9,2024-06-19T12:46:20.519Z
441077000,37.428248333333336,126.58183833333334,55,45,7,2024-06-19T12:46:10.150Z
441077000,37.42749333333333,126.58093666666667,51,43.1,7.2,2024-06-19T12:45:39.036Z
441077000,37.427258333333334,126.58066666666667,50,43.3,7.2,2024-06-19T12:45:28.826Z
441077000,37.426491666666664,126.57984833333333,47,41.1,7.5,2024-06-19T12:44:57.736Z
441077000,37.42542,126.578645,46,40.4,7.7,2024-06-19T12:44:10.439Z
441077000,37.424625,126.577795,45,41.2,7.9,2024-06-19T12:43:49.837Z
441077000,37.42432,126.577455,45,39.7,8,2024-06-19T12:43:39.542Z
441077000,37.423723333333335,126.57685,43,37,8.2,2024-06-19T12:43:18.610Z
441077000,37.423118333333335,126.57628166666667,40,37.6,8.4,2024-06-19T12:42:57.708Z
441077000,37.421816666666665,126.57504166666666,39,34,8.8,2024-06-19T12:42:16.266Z
441077000,37.42115666666667,126.57449166666666,36,32.9,8.9,2024-06-19T12:41:55.562Z
441077000,37.42084166666667,126.57424,35,32.8,9,2024-06-19T12:41:55.532Z
441077000,37.420091666666664,126.573615,35,34,9.3,2024-06-19T12:41:27.846Z
441077000,37.419731666666664,126.57331,35,33.7,9.4,2024-06-19T12:41:14.691Z
441077000,37.41903833333333,126.57273166666667,35,33.2,9.6,2024-06-19T12:40:53.975Z
441077000,37.418656666666664,126.57241833333333,35,33.9,9.7,2024-06-19T12:40:43.681Z
441077000,37.41827833333333,126.572095,35,34.2,9.8,2024-06-19T12:40:33.205Z
441077000,37.41786166666667,126.57173666666667,35,34,10,2024-06-19T12:40:22.870Z
441077000,37.41632166666667,126.57043666666667,35,31.6,10.5,2024-06-19T12:39:42.007Z
441077000,37.41493833333333,126.56941166666667,32,30.4,11.1,2024-06-19T12:39:10.659Z
441077000,37.414625,126.56918,32,30.4,11.2,2024-06-19T12:39:10.636Z
441077000,37.41412666666667,126.56881166666666,32,30.3,11.3,2024-06-19T12:39:00.276Z
441077000,37.412713333333336,126.567785,32,29.7,11.2,2024-06-19T12:38:29.483Z
441077000,37.412211666666664,126.56742,32,29.9,11.2,2024-06-19T12:38:19.005Z
441077000,37.41189333333333,126.56719,32,29.9,11.2,2024-06-19T12:38:08.612Z
441077000,37.404538333333335,126.56188,31,30,11.2,2024-06-19T12:35:28.414Z
441077000,37.404155,126.56160333333334,31,30.1,11.2,2024-06-19T12:35:18.032Z
441077000,37.397815,126.55695,31,30.8,11.2,2024-06-19T12:33:00.335Z
441077000,37.39745666666666,126.55668,31,31,11.2,2024-06-19T12:32:48.576Z
441077000,37.39647333333333,126.55592833333333,32,30.7,11.2,2024-06-19T12:32:27.640Z
441077000,37.396065,126.55562333333333,31,30.5,11.2,2024-06-19T12:32:16.805Z
441077000,37.394751666666664,126.554655,31,30.5,11.2,2024-06-19T12:31:45.961Z
441077000,37.39425833333333,126.55428666666667,31,30.5,11.3,2024-06-19T12:31:35.547Z
441077000,37.39330833333333,126.553585,31,30,11.3,2024-06-19T12:31:13.898Z
441077000,37.39199,126.55264333333334,30,29.7,11.3,2024-06-19T12:30:41.760Z
441077000,37.391531666666666,126.552315,30,29.8,11.3,2024-06-19T12:30:31.478Z
441077000,37.39102666666667,126.55195333333333,30,29.6,11.3,2024-06-19T12:30:20.919Z
