Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
355722000,37.43829,126.59988833333334,270,351,0,2024-06-19T12:24:11.791Z
355722000,37.438295,126.59993666666666,270,351,0,2024-06-19T12:21:16.463Z
355722000,37.438325,126.59991666666667,270,351,0,2024-06-19T12:12:20.117Z
355722000,37.43832666666667,126.599815,270,351,0,2024-06-19T12:06:18.070Z
355722000,37.438355,126.59989333333333,271,351,0,2024-06-19T11:57:08.042Z
355722000,37.43831,126.59994333333333,271,351,0,2024-06-19T11:48:16.523Z
355722000,37.438271666666665,126.59992833333334,271,351,0,2024-06-19T11:45:10.274Z
355722000,37.4383,126.59991,271,351,0,2024-06-19T11:42:13.244Z
355722000,37.438265,126.59983,271,351,0,2024-06-19T11:39:11.966Z
355722000,37.43823,126.59991333333333,271,351,0,2024-06-19T11:36:17.424Z
355722000,37.43828333333333,126.59991666666667,271,351,0,2024-06-19T11:34:11.356Z
355722000,37.438296666666666,126.59992166666666,271,351,0,2024-06-19T11:34:00.866Z
355722000,37.43832166666667,126.59992166666666,271,351,0,2024-06-19T11:33:50.496Z
355722000,37.438311666666664,126.59994,271,351,0,2024-06-19T11:33:29.633Z
355722000,37.438305,126.59994,271,351,0.1,2024-06-19T11:33:19.310Z
355722000,37.4383,126.59994,271,351,0,2024-06-19T11:33:08.954Z
355722000,37.43828166666667,126.59993333333334,271,351,0,2024-06-19T11:32:58.412Z
355722000,37.43827666666667,126.59993333333334,270,351,0,2024-06-19T11:32:48.196Z
355722000,37.43826,126.59993166666666,269,357.2,0.3,2024-06-19T11:32:27.406Z
355722000,37.43823166666667,126.59993166666666,269,353.4,0.3,2024-06-19T11:32:06.784Z
355722000,37.43821833333333,126.599935,269,349.8,0.3,2024-06-19T11:31:56.409Z
355722000,37.438201666666664,126.59993833333333,268,342.6,0.4,2024-06-19T11:31:45.972Z
355722000,37.438181666666665,126.59995,268,338.9,0.5,2024-06-19T11:31:35.685Z
355722000,37.43808666666666,126.600005,270,339.5,0.7,2024-06-19T11:31:04.726Z
355722000,37.438023333333334,126.600035,272,339.1,0.6,2024-06-19T11:30:43.558Z
355722000,37.43799,126.60004833333333,273,339.2,0.6,2024-06-19T11:30:32.978Z
355722000,37.437935,126.60007333333333,272,347.1,0.6,2024-06-19T11:30:22.506Z
355722000,37.437871666666666,126.60006,270,34.2,0.6,2024-06-19T11:29:50.991Z
355722000,37.43786333333333,126.60005166666667,269,37.3,0.6,2024-06-19T11:29:50.975Z
355722000,37.43786,126.60004666666667,268,37.8,0.6,2024-06-19T11:29:50.965Z
355722000,37.437855,126.60004,267,37.2,0.6,2024-06-19T11:29:50.946Z
355722000,37.43784333333333,126.60002833333333,267,35.7,0.7,2024-06-19T11:29:37.975Z
355722000,37.437826666666666,126.600015,265,32.8,0.7,2024-06-19T11:29:27.446Z
355722000,37.43781833333333,126.60000833333334,264,31.6,0.7,2024-06-19T11:29:27.440Z
355722000,37.43781166666667,126.60000166666667,264,30.4,0.7,2024-06-19T11:29:27.429Z
355722000,37.437781666666666,126.599975,263,26.9,0.8,2024-06-19T11:29:17.029Z
355722000,37.43774333333333,126.59994833333333,261,22.4,0.9,2024-06-19T11:29:06.595Z
355722000,37.4377,126.59992833333334,261,19.1,1,2024-06-19T11:28:54.873Z
355722000,37.43765833333333,126.59991,260,15.2,1.1,2024-06-19T11:28:43.445Z
355722000,37.43755,126.59988166666666,261,0.7,1.3,2024-06-19T11:28:22.240Z
355722000,37.437486666666665,126.59988,261,358,1.3,2024-06-19T11:28:22.200Z
355722000,37.437416666666664,126.599885,262,356.8,1.4,2024-06-19T11:28:01.561Z
355722000,37.437351666666665,126.59989166666666,264,356.8,1.4,2024-06-19T11:28:01.523Z
355722000,37.43729166666667,126.59989833333333,265,356.1,1.3,2024-06-19T11:27:51.104Z
355722000,37.437173333333334,126.59989666666667,266,355.3,1.1,2024-06-19T11:27:30.347Z
355722000,37.436946666666664,126.59994166666667,268,349.2,1.3,2024-06-19T11:26:48.839Z
355722000,37.436766666666664,126.60000166666667,271,345,1.2,2024-06-19T11:26:17.410Z
355722000,37.436701666666664,126.60002333333334,271,343.9,1.1,2024-06-19T11:26:06.869Z
355722000,37.43664666666667,126.60003333333333,271,343.4,1,2024-06-19T11:25:56.468Z
355722000,37.43660166666667,126.600045,271,345.9,0.9,2024-06-19T11:25:46.212Z
355722000,37.43643,126.599765,256,70.7,1.1,2024-06-19T11:24:22.505Z
355722000,37.43642833333333,126.59975833333333,255,70.2,1.1,2024-06-19T11:24:22.499Z
355722000,37.436425,126.59974666666666,255,67.8,1.1,2024-06-19T11:24:22.490Z
355722000,37.43640666666667,126.59969833333334,254,64.3,1.1,2024-06-19T11:24:12.201Z
355722000,37.43638333333333,126.59964,253,56.5,1.1,2024-06-19T11:24:01.884Z
355722000,37.43637,126.59961,253,52.4,1.1,2024-06-19T11:24:01.830Z
