Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001590,37.424835,126.59441,30,69.6,0.2,2024-06-19T12:30:00.294Z
440001590,37.424821666666666,126.59435,30,68.4,0.2,2024-06-19T12:29:19.334Z
440001590,37.42480333333334,126.594295,26,68.5,0.2,2024-06-19T12:28:38.066Z
440001590,37.424796666666666,126.594295,26,68.4,0.2,2024-06-19T12:28:27.913Z
440001590,37.424795,126.594285,25,67.9,0.1,2024-06-19T12:28:17.613Z
440001590,37.42478833333333,126.59427833333334,24,66.9,0.2,2024-06-19T12:28:17.535Z
440001590,37.42477,126.594225,15,65.1,0.1,2024-06-19T12:27:08.915Z
440001590,37.424755,126.59417833333333,8,65.9,0.1,2024-06-19T12:26:16.556Z
440001590,37.424753333333335,126.59416666666667,6,66,0.1,2024-06-19T12:26:06.230Z
440001590,37.42475,126.59415166666666,1,67.6,0.1,2024-06-19T12:25:45.775Z
440001590,37.42474,126.594135,358,69.9,0.1,2024-06-19T12:25:24.945Z
440001590,37.424735,126.59411833333333,356,74,0.1,2024-06-19T12:25:14.611Z
440001590,37.42474166666667,126.5941,351,77,0.1,2024-06-19T12:24:53.394Z
440001590,37.42474166666667,126.59408666666667,346,82,0.1,2024-06-19T12:24:32.385Z
440001590,37.42473666666667,126.59408333333333,342,85.7,0.1,2024-06-19T12:24:11.778Z
440001590,37.424735,126.59407,342,85.9,0,2024-06-19T12:24:01.496Z
440001590,37.424735,126.59406666666666,341,86.5,0.1,2024-06-19T12:24:01.485Z
440001590,37.424735,126.59406166666666,340,85.6,0.1,2024-06-19T12:23:51.143Z
440001590,37.424735,126.59405666666666,339,85,0,2024-06-19T12:23:51.124Z
440001590,37.42473666666667,126.594055,339,83.6,0.1,2024-06-19T12:23:51.110Z
440001590,37.42474333333333,126.59402666666666,331,33.4,0.3,2024-06-19T12:23:20.288Z
440001590,37.42473,126.59405333333333,330,314.2,1.1,2024-06-19T12:22:59.721Z
440001590,37.424695,126.59409333333333,329,313.5,1.1,2024-06-19T12:22:49.402Z
440001590,37.42460666666667,126.59419666666666,328,312.5,1.3,2024-06-19T12:22:28.625Z
440001590,37.42455666666667,126.59425666666667,327,312.3,1.5,2024-06-19T12:22:18.277Z
440001590,37.424418333333335,126.59441833333334,327,312.2,1.9,2024-06-19T12:21:57.769Z
440001590,37.4244,126.59444666666667,327,312.9,1.9,2024-06-19T12:21:57.754Z
440001590,37.42435833333333,126.59452333333333,328,313,2.1,2024-06-19T12:21:47.542Z
440001590,37.42434166666666,126.594555,328,313.4,2.2,2024-06-19T12:21:47.522Z
440001590,37.42422333333333,126.594685,330,315.6,2.6,2024-06-19T12:21:26.791Z
440001590,37.42415666666667,126.59475666666667,331,316.8,2.8,2024-06-19T12:21:26.769Z
440001590,37.42382,126.59509166666666,341,326.6,4.4,2024-06-19T12:20:55.804Z
440001590,37.42362833333333,126.59524166666667,345,336.4,3.2,2024-06-19T12:20:45.521Z
440001590,37.423428333333334,126.59525,30,101.7,0.3,2024-06-19T12:20:24.761Z
440001590,37.42344333333333,126.595215,29,101.4,0.3,2024-06-19T12:20:04.274Z
440001590,37.423455,126.59518666666666,29,100.7,0.3,2024-06-19T12:19:53.502Z
440001590,37.423455,126.595175,28,100.3,0.3,2024-06-19T12:19:43.194Z
440001590,37.42346166666667,126.595095,26,98.8,0.3,2024-06-19T12:19:02.025Z
440001590,37.423465,126.595075,26,98.2,0.3,2024-06-19T12:18:51.752Z
440001590,37.42346833333333,126.59505666666666,26,98,0.3,2024-06-19T12:18:41.481Z
440001590,37.42346833333333,126.59503166666667,26,97.8,0.3,2024-06-19T12:18:30.992Z
440001590,37.42347,126.59501,26,97.7,0.2,2024-06-19T12:18:20.644Z
440001590,37.423471666666664,126.59497833333333,25,97.4,0.3,2024-06-19T12:17:59.809Z
440001590,37.423478333333335,126.59495666666666,25,96,0.3,2024-06-19T12:17:49.522Z
440001590,37.42348,126.59491833333334,24,94.5,0.3,2024-06-19T12:17:28.882Z
440001590,37.42348166666667,126.59487666666666,24,93.5,0.3,2024-06-19T12:17:08.310Z
440001590,37.42348666666667,126.59485166666667,23,92.9,0.3,2024-06-19T12:16:58.070Z
440001590,37.42349,126.59482833333334,23,92.7,0.3,2024-06-19T12:16:47.813Z
440001590,37.42348833333333,126.594805,22,92.6,0.3,2024-06-19T12:16:37.546Z
440001590,37.42349,126.59478333333334,22,92.5,0.3,2024-06-19T12:16:27.042Z
440001590,37.42348833333333,126.594765,22,92,0.3,2024-06-19T12:16:27.008Z
440001590,37.42349166666666,126.59475,22,91.9,0.3,2024-06-19T12:16:16.580Z
440001590,37.423495,126.59474166666666,22,91.6,0.3,2024-06-19T12:16:06.265Z
440001590,37.423496666666665,126.5947,21,90.7,0.3,2024-06-19T12:15:45.763Z
440001590,37.42349166666666,126.59468,21,90.4,0.3,2024-06-19T12:15:35.478Z
440001590,37.42349,126.59466,21,90.2,0.3,2024-06-19T12:15:25.134Z
440001590,37.42349333333333,126.59463666666667,21,89.9,0.3,2024-06-19T12:15:14.832Z
440001590,37.423496666666665,126.59462166666667,21,89.2,0.3,2024-06-19T12:15:04.631Z
440001590,37.423496666666665,126.59459166666667,21,89.4,0.3,2024-06-19T12:14:43.635Z
440001590,37.42351333333333,126.59456,20,89,0.3,2024-06-19T12:14:22.981Z
440001590,37.423503333333336,126.59453333333333,20,88.8,0.3,2024-06-19T12:14:12.751Z
440001590,37.423495,126.59450166666667,19,88.7,0.3,2024-06-19T12:14:02.493Z
440001590,37.42349,126.59446666666666,18,88,0.3,2024-06-19T12:13:41.707Z
440001590,37.42348666666667,126.59445166666667,17,87.6,0.3,2024-06-19T12:13:31.199Z
440001590,37.423495,126.59441666666666,16,87,0.3,2024-06-19T12:13:10.132Z
440001590,37.42350166666667,126.594405,15,86.4,0.3,2024-06-19T12:12:59.916Z
440001590,37.42349166666666,126.59438833333333,15,86.2,0.3,2024-06-19T12:12:59.804Z
440001590,37.42348333333333,126.59437166666666,15,86.4,0.3,2024-06-19T12:12:59.778Z
440001590,37.423471666666664,126.59434833333333,14,86.7,0.3,2024-06-19T12:12:50.618Z
440001590,37.423476666666666,126.59427166666667,14,86.3,0.3,2024-06-19T12:11:48.575Z
440001590,37.42348166666667,126.594265,14,86.2,0.2,2024-06-19T12:11:38.305Z
440001590,37.423485,126.59425166666666,14,85.8,0.3,2024-06-19T12:11:27.940Z
440001590,37.423485,126.59421333333333,15,85.2,0.3,2024-06-19T12:11:17.648Z
440001590,37.42348,126.59416166666666,16,84.2,0.2,2024-06-19T12:10:46.770Z
440001590,37.423476666666666,126.59415666666666,16,84.2,0.2,2024-06-19T12:10:46.731Z
440001590,37.42347,126.59413833333333,17,84.7,0.2,2024-06-19T12:10:36.417Z
440001590,37.42347,126.59412333333333,17,84.7,0.2,2024-06-19T12:10:26.129Z
440001590,37.423471666666664,126.594105,18,85.2,0.2,2024-06-19T12:10:15.885Z
440001590,37.423471666666664,126.594075,18,84.4,0.2,2024-06-19T12:09:55.207Z
440001590,37.42346666666667,126.59404,20,84,0.2,2024-06-19T12:09:34.610Z
440001590,37.423475,126.59396833333334,23,81.1,0.2,2024-06-19T12:08:42.522Z
440001590,37.42345666666667,126.59393666666666,25,81.4,0.1,2024-06-19T12:08:21.917Z
440001590,37.42343833333333,126.5939,28,80,0.2,2024-06-19T12:07:51.069Z
440001590,37.42344166666667,126.593885,29,79,0.2,2024-06-19T12:07:40.852Z
440001590,37.423445,126.59385833333333,31,77.8,0.2,2024-06-19T12:07:20.277Z
440001590,37.42345,126.593855,31,77.5,0.1,2024-06-19T12:07:10.044Z
440001590,37.423455,126.59384333333334,32,76.8,0.1,2024-06-19T12:06:59.729Z
440001590,37.42344666666666,126.593815,34,75.9,0.2,2024-06-19T12:06:18.094Z
440001590,37.42344166666667,126.59380166666666,34,76,0.2,2024-06-19T12:06:07.719Z
440001590,37.42344,126.59378166666667,34,75.9,0.2,2024-06-19T12:05:57.365Z
440001590,37.42344,126.593745,35,73.2,0.2,2024-06-19T12:05:36.829Z
440001590,37.42343,126.59372666666667,35,71.8,0.1,2024-06-19T12:05:26.566Z
440001590,37.42342333333333,126.59371333333333,35,70,0.2,2024-06-19T12:05:16.346Z
440001590,37.42341833333333,126.59371,35,69.6,0.2,2024-06-19T12:05:16.305Z
440001590,37.42341833333333,126.593705,35,68.9,0.1,2024-06-19T12:05:06.052Z
440001590,37.42341833333333,126.59370666666666,36,68.4,0.2,2024-06-19T12:04:55.834Z
440001590,37.423408333333334,126.59368,35,63.7,0.1,2024-06-19T12:04:24.871Z
440001590,37.423413333333336,126.59367,34,62.9,0.1,2024-06-19T12:04:14.551Z
440001590,37.42341,126.59366166666666,34,62.1,0.1,2024-06-19T12:04:04.052Z
440001590,37.42339,126.59363166666667,33,61.2,0.1,2024-06-19T12:03:42.494Z
440001590,37.423381666666664,126.59361666666666,32,60.6,0.1,2024-06-19T12:03:32.196Z
440001590,37.42337666666667,126.593605,30,58.6,0.1,2024-06-19T12:03:11.603Z
440001590,37.42337333333333,126.593595,28,59.1,0.1,2024-06-19T12:03:01.298Z
440001590,37.42337666666667,126.59358333333333,26,59.3,0.2,2024-06-19T12:02:51.002Z
440001590,37.42337,126.59357666666666,24,59.1,0.1,2024-06-19T12:02:40.693Z
440001590,37.423368333333336,126.59357333333334,24,59.2,0.2,2024-06-19T12:02:40.683Z
440001590,37.42336,126.59356166666667,21,58.4,0.1,2024-06-19T12:02:19.988Z
440001590,37.42335666666666,126.59355666666667,21,58.2,0.1,2024-06-19T12:02:19.978Z
440001590,37.42335333333333,126.59355,20,57.7,0.1,2024-06-19T12:02:19.945Z
440001590,37.42334,126.59354,12,54.6,0.1,2024-06-19T12:01:48.530Z
440001590,37.42332666666667,126.59352333333334,8,53,0.2,2024-06-19T12:01:38.048Z
440001590,37.42329333333333,126.59343833333334,332,10.7,0.1,2024-06-19T11:59:54.036Z
440001590,37.423276666666666,126.593445,324,355.1,0.1,2024-06-19T11:59:32.978Z
440001590,37.42323833333333,126.59343666666666,294,267.7,0,2024-06-19T11:57:59.278Z
440001590,37.42324,126.59346666666667,289,260.5,0.1,2024-06-19T11:57:28.483Z
440001590,37.42327,126.59359666666667,263,244.1,0.2,2024-06-19T11:55:40.942Z
440001590,37.42339833333333,126.59380666666667,230,218.1,0.6,2024-06-19T11:53:36.718Z
440001590,37.423413333333336,126.59382,227,216.2,0.6,2024-06-19T11:53:26.457Z
440001590,37.423435,126.59384666666666,224,212.3,0.7,2024-06-19T11:53:16.144Z
440001590,37.4235,126.5939,216,205.8,0.8,2024-06-19T11:52:55.614Z
440001590,37.42357833333333,126.59395,208,198.6,1,2024-06-19T11:52:35.002Z
440001590,37.42366666666667,126.59399333333333,200,192.2,1.2,2024-06-19T11:52:14.069Z
440001590,37.423701666666666,126.59400833333333,199,190.1,1.3,2024-06-19T11:52:14.051Z
440001590,37.423743333333334,126.59402833333333,195,187.7,1.4,2024-06-19T11:52:03.644Z
440001590,37.423788333333334,126.594035,193,185.6,1.5,2024-06-19T11:52:03.631Z
440001590,37.42400166666667,126.59404833333333,184,181,2,2024-06-19T11:51:32.247Z
440001590,37.42438,126.594045,178,174.1,4.2,2024-06-19T11:51:01.384Z
440001590,37.42522666666667,126.593905,173,169.6,7.6,2024-06-19T11:50:30.565Z
440001590,37.426521666666666,126.59352166666666,170,164.5,7.6,2024-06-19T11:49:49.436Z
440001590,37.42742,126.59318166666667,168,162,7.6,2024-06-19T11:49:28.787Z
440001590,37.427945,126.59292166666667,161,155.4,7.7,2024-06-19T11:49:08.277Z
440001590,37.428635,126.59251666666667,160,151.9,7.7,2024-06-19T11:48:47.569Z
440001590,37.43008,126.59143166666667,159,151.2,7.6,2024-06-19T11:48:06.300Z
440001590,37.43038833333333,126.59122666666667,161,153.4,7.4,2024-06-19T11:47:56.011Z
440001590,37.43060833333333,126.59109666666667,166,157,7.4,2024-06-19T11:47:45.727Z
440001590,37.430703333333334,126.59104333333333,166,157.6,7.4,2024-06-19T11:47:45.700Z
440001590,37.430798333333335,126.59099,167,156.5,7.4,2024-06-19T11:47:45.675Z
440001590,37.43112166666667,126.59082666666667,170,162.9,7.2,2024-06-19T11:47:35.390Z
440001590,37.431248333333336,126.59078,172,166.7,7.1,2024-06-19T11:47:25.012Z
440001590,37.43134333333333,126.59075166666666,175,170.2,7.1,2024-06-19T11:47:24.985Z
440001590,37.431776666666664,126.59071833333333,185,183,7.2,2024-06-19T11:47:14.680Z
440001590,37.432336666666664,126.59083833333334,194,195.7,7.3,2024-06-19T11:46:53.052Z
440001590,37.433083333333336,126.591135,196,198.8,7.2,2024-06-19T11:46:32.485Z
440001590,37.433301666666665,126.59123666666666,199,202.2,7.2,2024-06-19T11:46:22.255Z
440001590,37.433395,126.59129,200,205.1,7.2,2024-06-19T11:46:22.246Z
440001590,37.43351666666667,126.59136666666667,201,208.6,7.1,2024-06-19T11:46:22.230Z
440001590,37.43369166666667,126.59148833333333,203,212,7.1,2024-06-19T11:46:11.977Z
440001590,37.43398666666667,126.59176333333333,212,220.1,7.2,2024-06-19T11:46:01.734Z
440001590,37.435145,126.59328833333333,219,227.6,7.2,2024-06-19T11:45:10.278Z
440001590,37.435896666666665,126.59447166666666,229,238.9,6.2,2024-06-19T11:44:29.051Z
440001590,37.436748333333334,126.59636333333333,230,240.2,6.2,2024-06-19T11:43:27.479Z
440001590,37.436895,126.59671166666666,233,241.3,6.1,2024-06-19T11:43:17.240Z
440001590,37.43701333333333,126.59699,233,241.1,6.1,2024-06-19T11:43:17.211Z
440001590,37.43725333333333,126.59751666666666,232,238.7,5.9,2024-06-19T11:42:55.856Z
440001590,37.43731,126.59763666666667,231,238.3,5.8,2024-06-19T11:42:55.841Z
440001590,37.43753666666667,126.59808833333334,229,237.6,5.4,2024-06-19T11:42:34.196Z
440001590,37.43776166666667,126.59861,244,246.5,2.9,2024-06-19T11:42:13.241Z
440001590,37.438048333333334,126.59866166666667,18,60.8,0,2024-06-19T11:39:01.027Z
440001590,37.438053333333336,126.59865166666667,18,0,0,2024-06-19T11:37:52.442Z
440001590,37.438045,126.59866833333334,18,33.2,0,2024-06-19T11:37:41.902Z
440001590,37.438026666666666,126.59866166666667,18,36.7,0,2024-06-19T11:36:48.420Z
440001590,37.43802,126.59868666666667,12,339.7,0,2024-06-19T11:33:40.117Z
440001590,37.43799166666667,126.5987,10,350,0.5,2024-06-19T11:33:19.329Z
440001590,37.437961666666666,126.5987,10,346.9,0.3,2024-06-19T11:33:08.968Z
440001590,37.43795166666666,126.59870166666667,9,344.7,0.3,2024-06-19T11:33:08.943Z
440001590,37.437955,126.59869833333333,9,342.4,0.1,2024-06-19T11:32:58.432Z
440001590,37.43794,126.598695,11,297.7,0.3,2024-06-19T11:32:48.182Z
440001590,37.437935,126.59870333333333,12,290.5,0.5,2024-06-19T11:32:37.830Z
440001590,37.43793,126.59871166666667,14,284.9,0.3,2024-06-19T11:32:37.816Z
440001590,37.43789833333334,126.59871666666666,4,336.9,0.3,2024-06-19T11:32:16.990Z
440001590,37.437873333333336,126.59872333333334,358,334.5,0.6,2024-06-19T11:32:06.765Z
440001590,37.437855,126.59873833333333,359,349.8,0.6,2024-06-19T11:31:45.983Z
440001590,37.437835,126.598745,359,344.6,0.4,2024-06-19T11:31:45.951Z
440001590,37.437801666666665,126.59876166666666,7,330.8,0.3,2024-06-19T11:31:25.431Z
440001590,37.43779333333333,126.59877166666666,8,334.2,0.3,2024-06-19T11:31:15.085Z
440001590,37.437785,126.59878,4,336.3,0.3,2024-06-19T11:31:04.710Z
440001590,37.437758333333335,126.59879,3,335.4,0.4,2024-06-19T11:30:54.019Z
440001590,37.43775,126.598795,3,335.1,0.4,2024-06-19T11:30:43.560Z
440001590,37.43671333333333,126.59866666666667,20,353,1,2024-06-19T11:26:59.110Z
440001590,37.43593166666667,126.59865333333333,2,46.2,1.2,2024-06-19T11:24:32.974Z
440001590,37.43588666666667,126.59858833333334,1,57.4,1.2,2024-06-19T11:24:22.474Z
440001590,37.435855,126.59856166666667,0,64.8,1,2024-06-19T11:24:12.195Z
440001590,37.43584166666667,126.598525,357,75.5,1,2024-06-19T11:24:01.873Z
440001590,37.435838333333336,126.59850666666667,356,81.5,1,2024-06-19T11:24:01.828Z
440001590,37.43583666666667,126.598495,355,84.4,1.1,2024-06-19T11:24:01.816Z
440001590,37.43582166666667,126.59828833333333,3,113.8,1.5,2024-06-19T11:23:30.481Z
440001590,37.435826666666664,126.59826,4,115.5,1.5,2024-06-19T11:23:30.474Z
440001590,37.43599833333333,126.59791333333334,21,127.5,1.9,2024-06-19T11:22:49.122Z
440001590,37.43611,126.59773666666666,41,140.5,2.2,2024-06-19T11:22:26.863Z
440001590,37.43613666666667,126.59771,45,141.8,2.1,2024-06-19T11:22:26.805Z
440001590,37.436346666666665,126.59756,53,153.3,1.5,2024-06-19T11:21:54.306Z
440001590,37.43680833333333,126.59748333333333,59,182.8,2.5,2024-06-19T11:21:12.913Z
440001590,37.43682833333333,126.59748833333333,61,185.2,2.3,2024-06-19T11:20:58.478Z
440001590,37.43686833333334,126.59749333333333,67,188.6,2,2024-06-19T11:20:58.469Z
440001590,37.4369,126.59749333333333,70,194.5,1.9,2024-06-19T11:20:58.457Z
440001590,37.43698833333333,126.597525,76,198.6,1.9,2024-06-19T11:20:47.434Z
440001590,37.43701333333333,126.59754,81,198.6,1.8,2024-06-19T11:20:36.933Z
440001590,37.43707166666667,126.59758833333333,88,202,2,2024-06-19T11:20:36.907Z
440001590,37.437105,126.59761166666667,92,240.3,1.9,2024-06-19T11:20:26.384Z
440001590,37.437165,126.59766666666667,101,260.1,1.3,2024-06-19T11:20:16.044Z
440001590,37.43718166666667,126.59772166666667,109,274.7,1.1,2024-06-19T11:20:16.013Z
440001590,37.437165,126.59790666666666,135,329.4,1,2024-06-19T11:19:44.986Z
440001590,37.43707166666667,126.59798666666667,149,358.8,1.2,2024-06-19T11:19:24.302Z
440001590,37.43684666666667,126.59796333333334,162,48.1,1.1,2024-06-19T11:18:42.638Z
440001590,37.43672333333333,126.597775,169,65.8,1.7,2024-06-19T11:18:11.333Z
440001590,37.43669666666667,126.59769333333334,168,66,1.8,2024-06-19T11:18:00.807Z
440001590,37.436568333333334,126.59739166666667,168,55.7,2.6,2024-06-19T11:17:40.059Z
440001590,37.436546666666665,126.597355,169,54.7,2.3,2024-06-19T11:17:29.638Z
440001590,37.43653,126.597325,169,62.6,2.3,2024-06-19T11:17:29.628Z
440001590,37.43651,126.59727666666667,169,68.9,2.5,2024-06-19T11:17:29.611Z
440001590,37.43642833333333,126.59701833333334,163,69.8,2.9,2024-06-19T11:17:08.548Z
440001590,37.43634,126.59675666666666,158,68.4,3.1,2024-06-19T11:16:58.065Z
440001590,37.436301666666665,126.59663333333333,157,67.5,3.3,2024-06-19T11:16:47.308Z
440001590,37.432431666666666,126.58756166666667,87,56.5,6,2024-06-19T11:11:24.356Z
440001590,37.42721,126.579255,85,71.5,4.7,2024-06-19T11:06:34.892Z
440001590,37.42716166666667,126.57897166666666,101,82.9,3.3,2024-06-19T11:06:24.577Z
440001590,37.42715333333334,126.57889666666667,104,86.6,3.1,2024-06-19T11:06:24.569Z
440001590,37.42715166666667,126.578845,109,86.6,3,2024-06-19T11:06:24.565Z
