Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001590,37.450945,126.59429,20,10.7,0,2024-06-12T08:47:56.958Z
440001590,37.450941666666665,126.59427833333334,20,354.3,0,2024-06-12T08:47:46.637Z
440001590,37.45094666666667,126.59429166666666,20,356.3,0,2024-06-12T08:47:14.513Z
440001590,37.45094,126.59429666666666,20,6.6,0,2024-06-12T08:47:04.325Z
440001590,37.45092666666667,126.59429833333333,20,18.1,0,2024-06-12T08:46:43.826Z
440001590,37.45097333333333,126.59429333333334,19,45.2,0,2024-06-12T08:46:23.136Z
440001590,37.450965,126.594305,19,60.2,0,2024-06-12T08:46:12.813Z
440001590,37.45094666666667,126.59429166666666,20,133.2,0,2024-06-12T08:45:42.027Z
440001590,37.450935,126.594295,19,169.9,0,2024-06-12T08:45:21.515Z
440001590,37.450921666666666,126.59429666666666,20,183.7,0,2024-06-12T08:45:11.235Z
440001590,37.450921666666666,126.59427166666667,19,189.6,0,2024-06-12T08:44:50.678Z
440001590,37.450941666666665,126.59429666666666,19,169,0,2024-06-12T08:44:30.152Z
440001590,37.45095166666667,126.59429833333333,19,151.1,0,2024-06-12T08:44:19.854Z
440001590,37.45093333333333,126.594265,19,149,0,2024-06-12T08:43:17.751Z
440001590,37.450936666666664,126.59427166666667,20,182.4,0,2024-06-12T08:43:07.482Z
440001590,37.450941666666665,126.594275,19,200.7,0,2024-06-12T08:42:57.180Z
440001590,37.45096,126.59430333333333,19,196.8,0,2024-06-12T08:42:15.461Z
440001590,37.45097,126.59430333333333,19,211.3,0,2024-06-12T08:41:44.635Z
440001590,37.450968333333336,126.59430333333333,19,0,0,2024-06-12T08:41:34.447Z
440001590,37.450963333333334,126.59429666666666,19,0,0,2024-06-12T08:41:03.764Z
440001590,37.450961666666664,126.59429333333334,19,0,0,2024-06-12T08:40:53.510Z
440001590,37.45095833333333,126.594285,19,0,0,2024-06-12T08:40:33.135Z
440001590,37.450966666666666,126.59428333333334,19,0,0,2024-06-12T08:40:02.275Z
440001590,37.450965,126.59428333333334,19,0,0,2024-06-12T08:39:52.061Z
440001590,37.45095833333333,126.59427833333334,19,215.3,0,2024-06-12T08:39:52.027Z
440001590,37.45093833333333,126.59426333333333,19,0,0,2024-06-12T08:39:10.932Z
440001590,37.45093833333333,126.59428,19,0,0,2024-06-12T08:38:39.990Z
440001590,37.45092833333333,126.59428833333334,19,0,0,2024-06-12T08:38:19.456Z
440001590,37.45093166666667,126.59428166666666,19,0,0,2024-06-12T08:38:09.149Z
440001590,37.45094,126.594285,19,0,0,2024-06-12T08:37:58.612Z
440001590,37.45095166666667,126.59429333333334,18,0,0,2024-06-12T08:37:27.799Z
440001590,37.45095333333333,126.59429166666666,18,224.4,0,2024-06-12T08:37:17.504Z
440001590,37.450955,126.59429333333334,18,0,0,2024-06-12T08:37:07.227Z
440001590,37.450935,126.594275,18,0,0,2024-06-12T08:35:55.168Z
440001590,37.45094,126.594285,19,0,0,2024-06-12T08:35:44.957Z
440001590,37.45093333333333,126.59425333333333,18,0,0,2024-06-12T08:34:53.657Z
440001590,37.45093833333333,126.59425666666667,18,0,0,2024-06-12T08:34:43.384Z
440001590,37.450941666666665,126.59426166666667,18,284.8,0,2024-06-12T08:34:33.202Z
440001590,37.450941666666665,126.59426666666667,18,293.1,0,2024-06-12T08:34:22.824Z
440001590,37.450935,126.59426833333333,18,282.9,0,2024-06-12T08:34:02.187Z
440001590,37.450935,126.594275,18,0,0,2024-06-12T08:33:51.973Z
440001590,37.45092833333333,126.594275,18,0,0,2024-06-12T08:33:41.710Z
440001590,37.450923333333336,126.59427666666667,19,0,0,2024-06-12T08:33:31.454Z
440001590,37.45092833333333,126.594305,19,0,0,2024-06-12T08:33:00.630Z
440001590,37.45093833333333,126.59431833333333,19,260.5,0,2024-06-12T08:32:50.373Z
440001590,37.450935,126.594285,19,0,0,2024-06-12T08:32:29.877Z
440001590,37.45093,126.59427,18,0,0,2024-06-12T08:32:09.335Z
440001590,37.45092833333333,126.59426,19,0,0,2024-06-12T08:31:59.141Z
440001590,37.45092,126.59425833333333,18,291.8,0,2024-06-12T08:31:28.042Z
440001590,37.45092666666667,126.594265,18,0,0,2024-06-12T08:31:17.861Z
440001590,37.45093833333333,126.59426666666667,18,0,0,2024-06-12T08:30:57.239Z
440001590,37.450945,126.59427,18,0,0,2024-06-12T08:30:46.946Z
440001590,37.450945,126.59428,18,0,0,2024-06-12T08:30:36.541Z
440001590,37.45092666666667,126.59428166666666,18,0,0,2024-06-12T08:30:15.751Z
440001590,37.45093,126.59428666666666,19,0,0,2024-06-12T08:30:05.503Z
440001590,37.450935,126.59425,19,0,0,2024-06-12T08:29:34.617Z
440001590,37.450941666666665,126.59425,18,316.9,0,2024-06-12T08:29:24.197Z
440001590,37.450955,126.59426333333333,18,0,0,2024-06-12T08:28:32.986Z
440001590,37.450963333333334,126.59426166666667,18,349.3,0,2024-06-12T08:27:51.859Z
440001590,37.450968333333336,126.59425833333333,18,353.4,0,2024-06-12T08:27:00.554Z
440001590,37.450965,126.59426333333333,18,0,0,2024-06-12T08:26:50.182Z
440001590,37.45097,126.59427333333333,18,0,0,2024-06-12T08:26:39.952Z
440001590,37.45095833333333,126.59427833333334,18,0,0,2024-06-12T08:26:29.638Z
440001590,37.45095333333333,126.5943,18,0,0,2024-06-12T08:25:58.659Z
440001590,37.450916666666664,126.59428833333334,18,0,0,2024-06-12T08:24:57.152Z
440001590,37.450925,126.59429333333334,18,356.7,0,2024-06-12T08:24:36.570Z
440001590,37.45093166666667,126.594305,18,14.9,0,2024-06-12T08:24:25.433Z
440001590,37.450936666666664,126.59429333333334,18,0,0,2024-06-12T08:23:34.020Z
440001590,37.450936666666664,126.5943,18,34.8,0,2024-06-12T08:23:23.748Z
440001590,37.45092833333333,126.59430833333333,18,53.4,0,2024-06-12T08:23:03.229Z
440001590,37.450925,126.59430166666667,18,57.1,0,2024-06-12T08:22:52.987Z
440001590,37.450925,126.59428166666666,18,0,0,2024-06-12T08:22:32.426Z
440001590,37.450943333333335,126.59429166666666,18,0,0,2024-06-12T08:21:30.573Z
440001590,37.450935,126.594285,18,0,0,2024-06-12T08:21:20.300Z
440001590,37.45095,126.59426833333333,18,0,0,2024-06-12T08:20:59.766Z
440001590,37.45095166666667,126.59426166666667,18,0,0,2024-06-12T08:20:48.501Z
440001590,37.45092,126.59425666666667,18,27.1,0,2024-06-12T08:20:28.000Z
440001590,37.45090666666667,126.59427333333333,18,36.8,0,2024-06-12T08:20:17.774Z
440001590,37.450916666666664,126.59426666666667,18,0,0,2024-06-12T08:19:36.661Z
440001590,37.450915,126.59427333333333,18,0,0,2024-06-12T08:19:26.165Z
440001590,37.45091333333333,126.594275,18,79.4,0,2024-06-12T08:19:15.964Z
440001590,37.45091333333333,126.594275,18,83.9,0,2024-06-12T08:18:55.457Z
440001590,37.450921666666666,126.59427666666667,18,85.7,0,2024-06-12T08:18:24.680Z
440001590,37.45092833333333,126.59427833333334,18,83.7,0,2024-06-12T08:18:14.391Z
440001590,37.45093833333333,126.594275,18,0,0,2024-06-12T08:18:04.166Z
440001590,37.450981666666664,126.59428,18,50.1,0,2024-06-12T08:17:33.409Z
440001590,37.45097833333333,126.59427666666667,18,0,0,2024-06-12T08:17:12.864Z
440001590,37.45094666666667,126.594295,18,0,0,2024-06-12T08:17:02.444Z
440001590,37.450936666666664,126.59430833333333,18,0,0,2024-06-12T08:16:52.143Z
440001590,37.450896666666665,126.59429,18,0,0,2024-06-12T08:16:21.321Z
440001590,37.450878333333335,126.59427,18,0,0,2024-06-12T08:16:11.063Z
440001590,37.45088666666667,126.59427666666667,18,0,0,2024-06-12T08:15:50.494Z
440001590,37.45090166666667,126.59428166666666,18,0,0,2024-06-12T08:15:29.956Z
440001590,37.45091166666667,126.59428,19,48.1,0,2024-06-12T08:14:17.854Z
440001590,37.450915,126.59428666666666,19,0,0,2024-06-12T08:14:07.558Z
440001590,37.45091,126.59427333333333,19,0,0,2024-06-12T08:13:57.311Z
440001590,37.45090833333333,126.59427333333333,19,22.7,0,2024-06-12T08:13:36.633Z
440001590,37.45090666666667,126.59428,19,0,0,2024-06-12T08:13:15.794Z
440001590,37.450905,126.59429166666666,19,0,0,2024-06-12T08:13:05.544Z
440001590,37.450891666666664,126.59430166666667,19,0,0,2024-06-12T08:12:55.239Z
440001590,37.45088333333333,126.5943,18,0,0,2024-06-12T08:12:44.927Z
440001590,37.45089,126.594325,19,0,0,2024-06-12T08:11:53.732Z
440001590,37.45089333333333,126.59431666666667,19,31.3,0,2024-06-12T08:11:43.513Z
440001590,37.450898333333335,126.594305,19,26.9,0,2024-06-12T08:11:33.271Z
440001590,37.45090833333333,126.59430166666667,18,0,0,2024-06-12T08:11:33.226Z
440001590,37.45090833333333,126.59429833333333,19,20.9,0,2024-06-12T08:11:12.533Z
440001590,37.45092,126.59428833333334,19,0,0,2024-06-12T08:11:02.159Z
440001590,37.450918333333334,126.59428833333334,19,0,0,2024-06-12T08:10:51.946Z
440001590,37.450923333333336,126.59429,19,24,0,2024-06-12T08:10:41.717Z
440001590,37.45093,126.594295,19,26.5,0,2024-06-12T08:10:31.498Z
440001590,37.45092,126.59428833333334,19,0,0,2024-06-12T08:10:21.253Z
440001590,37.45089,126.59427,19,0,0,2024-06-12T08:09:50.339Z
440001590,37.450898333333335,126.59427666666667,19,0,0,2024-06-12T08:09:29.867Z
440001590,37.45090166666667,126.59428833333334,19,19.8,0,2024-06-12T08:09:19.525Z
440001590,37.45090666666667,126.594295,19,18.3,0,2024-06-12T08:09:09.319Z
440001590,37.450905,126.5943,19,14.9,0,2024-06-12T08:08:59.097Z
440001590,37.45091,126.59430333333333,19,0,0,2024-06-12T08:08:48.598Z
440001590,37.450903333333336,126.5943,19,0,0,2024-06-12T08:08:38.331Z
