Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440585000,37.33406,126.38308333333333,258,258.7,16.2,2024-06-23T16:14:31.034Z
440585000,37.334133333333334,126.38354333333334,258,258.6,16.2,2024-06-23T16:14:31.015Z
440585000,37.33521,126.39026666666666,258,258.6,16.2,2024-06-23T16:13:19.237Z
440585000,37.3353,126.39082,258,258.7,16.2,2024-06-23T16:13:08.987Z
440585000,37.335475,126.39192166666666,258,258.8,16.2,2024-06-23T16:12:58.541Z
440585000,37.335991666666665,126.39522833333334,258,258.4,16.1,2024-06-23T16:12:27.259Z
440585000,37.33651,126.39842333333333,258,258.6,16,2024-06-23T16:11:46.112Z
440585000,37.33685833333333,126.40060666666666,258,258.5,16,2024-06-23T16:11:25.620Z
440585000,37.33696,126.40124166666666,258,258.3,15.9,2024-06-23T16:11:15.289Z
440585000,37.34017333333333,126.41993166666667,256,259.3,15.8,2024-06-23T16:07:49.565Z
440585000,37.34113166666667,126.426975,259,262,15.8,2024-06-23T16:06:26.841Z
440585000,37.341768333333334,126.43304833333333,261,262.7,15.6,2024-06-23T16:05:25.024Z
440585000,37.34182333333333,126.43358833333333,261,262.8,15.6,2024-06-23T16:05:14.811Z
440585000,37.342101666666665,126.43618666666667,261,261.6,15.5,2024-06-23T16:04:44.014Z
440585000,37.34258,126.44043666666667,261,262.3,15.2,2024-06-23T16:04:02.970Z
440585000,37.34291666666667,126.44366833333333,261,262.1,15,2024-06-23T16:03:21.883Z
440585000,37.343025,126.444705,261,261.9,14.9,2024-06-23T16:03:11.661Z
440585000,37.34308,126.44522166666667,261,261.9,14.8,2024-06-23T16:03:01.321Z
440585000,37.343138333333336,126.44573666666666,261,261.8,14.8,2024-06-23T16:03:01.300Z
440585000,37.34359833333333,126.44979,261,262.1,14.4,2024-06-23T16:02:10.118Z
440585000,37.34364166666667,126.45020666666667,261,261.9,14.3,2024-06-23T16:01:59.887Z
440585000,37.343761666666666,126.45128166666667,261,261.6,14.2,2024-06-23T16:01:49.789Z
440585000,37.34381,126.45169166666666,261,261.5,14.2,2024-06-23T16:01:49.738Z
440585000,37.34385833333333,126.45210166666666,261,261.4,14.1,2024-06-23T16:01:39.475Z
440585000,37.343986666666666,126.45315833333333,261,261.5,14.1,2024-06-23T16:01:29.195Z
440585000,37.344155,126.45461333333333,261,262,13.9,2024-06-23T16:01:08.786Z
440585000,37.344318333333334,126.45613666666667,261,261.3,13.8,2024-06-23T16:00:47.938Z
440585000,37.34460166666667,126.45850333333334,261,261.7,13.6,2024-06-23T16:00:27.386Z
440585000,37.344683333333336,126.45920833333334,261,261.8,13.5,2024-06-23T16:00:17.048Z
440585000,37.34486,126.46076,261,262,13.4,2024-06-23T15:59:56.558Z
440585000,37.34520333333333,126.46381666666667,261,261.4,13.1,2024-06-23T15:59:15.550Z
440585000,37.34538333333333,126.46532,261,261.1,13,2024-06-23T15:58:54.974Z
