Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001590,37.450851666666665,126.59417833333333,171,173.8,0,2024-06-08T16:10:31.011Z
440001590,37.450845,126.59418,171,180.5,0,2024-06-08T16:09:59.505Z
440001590,37.45083833333333,126.59416833333333,171,0,0,2024-06-08T16:09:38.928Z
440001590,37.450833333333335,126.59416666666667,171,174,0,2024-06-08T16:09:28.630Z
440001590,37.45083666666667,126.59416333333333,171,0,0,2024-06-08T16:09:18.353Z
440001590,37.45085,126.59415666666666,171,173,0,2024-06-08T16:08:57.916Z
440001590,37.450851666666665,126.59416833333333,171,191.3,0,2024-06-08T16:08:37.312Z
440001590,37.45085666666667,126.594185,171,168.4,0,2024-06-08T16:08:16.796Z
440001590,37.45084666666666,126.59419166666666,171,183.3,0,2024-06-08T16:07:56.288Z
440001590,37.450833333333335,126.59417166666667,171,198.2,0,2024-06-08T16:07:25.446Z
440001590,37.45083666666667,126.59416833333333,171,0,0,2024-06-08T16:07:15.067Z
440001590,37.450851666666665,126.594165,171,195.1,0,2024-06-08T16:06:54.548Z
440001590,37.45086,126.59418,171,180,0,2024-06-08T16:06:33.957Z
440001590,37.450865,126.59418,171,160.6,0,2024-06-08T16:06:13.502Z
440001590,37.45087,126.59418,171,0,0,2024-06-08T16:06:03.201Z
440001590,37.45084666666666,126.59419333333334,171,0,0,2024-06-08T16:05:22.331Z
440001590,37.450845,126.594195,171,0,0,2024-06-08T16:05:11.808Z
440001590,37.45084833333333,126.59420166666666,171,0,0,2024-06-08T16:05:01.627Z
440001590,37.45085,126.59420333333334,170,0,0,2024-06-08T16:04:51.339Z
440001590,37.450845,126.594185,170,150.2,0,2024-06-08T16:04:41.118Z
440001590,37.45083833333333,126.59417,171,0,0,2024-06-08T16:04:20.635Z
440001590,37.45084166666667,126.59417333333333,171,0,0,2024-06-08T16:04:10.338Z
440001590,37.450853333333335,126.59417666666667,170,155.6,0,2024-06-08T16:04:00.123Z
440001590,37.45086166666667,126.594185,170,151.1,0,2024-06-08T16:03:49.819Z
440001590,37.450855,126.59416833333333,171,122.9,0,2024-06-08T16:03:08.708Z
440001590,37.450853333333335,126.594165,170,0,0,2024-06-08T16:02:37.918Z
440001590,37.45085666666667,126.59416833333333,170,89,0,2024-06-08T16:02:27.633Z
440001590,37.450851666666665,126.59418166666667,170,76.6,0,2024-06-08T16:02:17.399Z
440001590,37.45084166666667,126.59419,170,80.7,0,2024-06-08T16:02:07.201Z
440001590,37.45083833333333,126.59417,170,150.8,0,2024-06-08T16:01:36.555Z
440001590,37.45084666666666,126.594175,170,180.8,0,2024-06-08T16:01:15.925Z
440001590,37.450853333333335,126.59417833333333,171,194.1,0,2024-06-08T16:00:45.094Z
440001590,37.45085,126.59418666666667,171,0,0,2024-06-08T16:00:34.859Z
440001590,37.45084666666666,126.59418833333334,171,138.6,0,2024-06-08T16:00:14.256Z
440001590,37.450855,126.59418833333334,171,117.1,0,2024-06-08T16:00:03.942Z
440001590,37.45085666666667,126.59419333333334,171,0,0,2024-06-08T15:59:53.739Z
440001590,37.45084833333333,126.594185,171,76.5,0,2024-06-08T15:59:43.399Z
440001590,37.450851666666665,126.59418,171,65.1,0,2024-06-08T15:59:33.172Z
440001590,37.45084833333333,126.594165,169,4.9,0.1,2024-06-08T15:59:02.503Z
440001590,37.450845,126.59415,169,0,0,2024-06-08T15:58:52.256Z
440001590,37.45083833333333,126.59415666666666,169,278.8,0,2024-06-08T15:58:31.492Z
440001590,37.450833333333335,126.59416166666666,170,272.7,0.1,2024-06-08T15:58:31.397Z
440001590,37.45083666666667,126.59417166666667,168,284.8,0.1,2024-06-08T15:58:21.145Z
440001590,37.45083833333333,126.59417166666667,169,279.3,0.1,2024-06-08T15:58:21.123Z
440001590,37.45083666666667,126.59417333333333,169,275.5,0.1,2024-06-08T15:58:10.802Z
440001590,37.450833333333335,126.594175,172,267.1,0,2024-06-08T15:58:10.744Z
440001590,37.450835,126.59417666666667,174,272.1,0.1,2024-06-08T15:57:59.563Z
440001590,37.450833333333335,126.59417666666667,177,271.6,0.3,2024-06-08T15:57:59.545Z
440001590,37.450831666666666,126.59418166666667,177,270.3,0,2024-06-08T15:57:49.343Z
440001590,37.45083666666667,126.59419333333334,173,270.8,0.2,2024-06-08T15:57:49.317Z
440001590,37.450833333333335,126.59420333333334,169,265.6,0.4,2024-06-08T15:57:39.101Z
440001590,37.450831666666666,126.59421166666667,166,262.5,0.4,2024-06-08T15:57:39.085Z
440001590,37.450825,126.59425833333333,164,240.7,0.6,2024-06-08T15:57:28.792Z
440001590,37.45082166666667,126.59428,167,219.1,0.3,2024-06-08T15:57:18.637Z
440001590,37.45082,126.594285,171,200.4,0.1,2024-06-08T15:57:18.618Z
440001590,37.45082,126.59428666666666,174,187.4,0,2024-06-08T15:57:08.390Z
440001590,37.450825,126.59428666666666,182,188.8,0.2,2024-06-08T15:57:08.362Z
440001590,37.450828333333334,126.59428833333334,189,190.1,0.3,2024-06-08T15:57:08.347Z
440001590,37.45086,126.59429666666666,210,198.8,0.6,2024-06-08T15:56:58.023Z
440001590,37.45088666666667,126.59430666666667,236,198.2,1.1,2024-06-08T15:56:47.799Z
440001590,37.450903333333336,126.59432833333334,261,186.7,0.9,2024-06-08T15:56:37.632Z
440001590,37.45090833333333,126.594345,284,168.8,0.7,2024-06-08T15:56:37.612Z
440001590,37.45091333333333,126.59435666666667,296,152.7,0.6,2024-06-08T15:56:37.587Z
440001590,37.45090666666667,126.59437166666666,335,100.3,0.2,2024-06-08T15:56:17.193Z
440001590,37.45090833333333,126.59436833333334,348,105.4,0.4,2024-06-08T15:56:17.177Z
440001590,37.45094666666667,126.59427833333334,17,21.6,0.2,2024-06-08T15:55:36.199Z
440001590,37.45092833333333,126.59427833333334,20,39.3,0.3,2024-06-08T15:55:25.905Z
440001590,37.45094,126.59427666666667,19,358.8,0.2,2024-06-08T15:55:15.672Z
440001590,37.45093,126.59425666666667,20,307.7,0.1,2024-06-08T15:55:05.474Z
440001590,37.450918333333334,126.59425833333333,21,281.1,0.4,2024-06-08T15:54:55.223Z
440001590,37.45091333333333,126.59426,24,270.8,0.2,2024-06-08T15:54:55.205Z
