Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538010501,37.438345,126.59674,270,206,0,2024-06-21T00:03:28.105Z
538010501,37.438453333333335,126.5968,270,206,0,2024-06-21T00:00:23.547Z
538010501,37.438401666666664,126.5968,270,206,0,2024-06-20T23:57:27.950Z
538010501,37.43822333333333,126.59682666666667,270,206,0,2024-06-20T23:51:27.981Z
538010501,37.43837666666667,126.59673666666667,270,206,0,2024-06-20T23:48:23.271Z
538010501,37.438295,126.59676333333333,270,206,0,2024-06-20T23:45:28.430Z
538010501,37.438318333333335,126.59678666666667,270,206,0,2024-06-20T23:39:28.289Z
538010501,37.43830166666667,126.596655,270,206,0,2024-06-20T23:36:23.161Z
538010501,37.438255,126.59678833333334,270,206,0,2024-06-20T23:33:28.086Z
538010501,37.43835833333333,126.59674666666666,270,206,0,2024-06-20T23:27:28.246Z
538010501,37.43832,126.59674666666666,270,206,0,2024-06-20T23:24:23.530Z
538010501,37.43837833333333,126.59681666666667,270,206,0,2024-06-20T23:21:28.294Z
538010501,37.438375,126.59677166666667,270,206,0,2024-06-20T23:18:23.583Z
538010501,37.438251666666666,126.59678833333334,270,206,0,2024-06-20T23:15:27.809Z
538010501,37.438255,126.59678666666667,270,206,0,2024-06-20T23:12:23.109Z
538010501,37.43822,126.59679,270,206,0,2024-06-20T23:06:21.808Z
538010501,37.43822333333333,126.596815,270,206,0,2024-06-20T23:03:27.811Z
538010501,37.43826166666667,126.59678166666667,271,206,0,2024-06-20T23:00:23.395Z
538010501,37.43824166666667,126.59681,271,206,0,2024-06-20T22:57:28.150Z
538010501,37.438265,126.59680833333333,271,98.3,0,2024-06-20T22:54:23.119Z
538010501,37.43824333333333,126.59677666666667,271,323.8,0.1,2024-06-20T22:49:04.000Z
538010501,37.438245,126.59678333333333,271,301.9,0.1,2024-06-20T22:48:53.830Z
538010501,37.438245,126.59679,271,305.7,0.1,2024-06-20T22:48:43.630Z
538010501,37.438245,126.59678333333333,270,311.5,0.1,2024-06-20T22:48:33.298Z
