Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477711400,37.462401666666665,126.61180166666666,253,239.8,0,2024-06-09T12:20:49.380Z
477711400,37.462406666666666,126.61179333333334,253,239.8,0,2024-06-09T12:20:28.751Z
477711400,37.462405,126.611795,253,239.8,0,2024-06-09T12:20:18.498Z
477711400,37.462395,126.61179333333334,253,239.8,0,2024-06-09T12:19:57.957Z
477711400,37.46239833333333,126.61178833333334,253,239.8,0,2024-06-09T12:19:47.655Z
477711400,37.46239833333333,126.611785,253,239.8,0,2024-06-09T12:19:27.201Z
477711400,37.46239833333333,126.61178333333334,253,239.8,0,2024-06-09T12:19:27.161Z
477711400,37.46239833333333,126.61178333333334,253,239.8,0,2024-06-09T12:19:16.851Z
477711400,37.46239833333333,126.61178666666666,253,239.8,0,2024-06-09T12:19:06.583Z
477711400,37.4624,126.61179,252,239.8,0,2024-06-09T12:18:56.371Z
477711400,37.46239833333333,126.61179,253,239.8,0,2024-06-09T12:18:46.149Z
477711400,37.46239833333333,126.61177833333333,253,239.8,0,2024-06-09T12:18:35.861Z
477711400,37.462406666666666,126.61178,253,239.8,0,2024-06-09T12:18:15.361Z
477711400,37.46241,126.61178166666667,253,239.8,0,2024-06-09T12:18:05.137Z
477711400,37.46241166666667,126.61178,253,239.8,0,2024-06-09T12:17:54.876Z
477711400,37.46241,126.61179,253,239.8,0,2024-06-09T12:17:03.478Z
477711400,37.46241166666667,126.61179166666666,252,239.8,0,2024-06-09T12:16:53.230Z
477711400,37.46241333333333,126.61179333333334,252,239.8,0,2024-06-09T12:16:42.936Z
477711400,37.462415,126.611805,252,239.8,0,2024-06-09T12:16:22.414Z
477711400,37.46241,126.61181,252,239.8,0,2024-06-09T12:16:12.211Z
477711400,37.46241166666667,126.611815,252,239.8,0,2024-06-09T12:15:41.402Z
477711400,37.462415,126.61181666666667,252,239.8,0,2024-06-09T12:15:31.172Z
477711400,37.462415,126.61181666666667,252,239.8,0,2024-06-09T12:15:21.010Z
477711400,37.462415,126.611805,252,239.8,0,2024-06-09T12:15:10.733Z
477711400,37.462421666666664,126.61180166666666,252,239.8,0,2024-06-09T12:14:59.191Z
477711400,37.462421666666664,126.61180166666666,252,239.8,0,2024-06-09T12:14:48.917Z
477711400,37.4624,126.611815,252,239.8,0,2024-06-09T12:14:38.625Z
477711400,37.462395,126.61181333333333,252,239.8,0,2024-06-09T12:14:28.400Z
477711400,37.46239666666666,126.61181,252,239.8,0,2024-06-09T12:14:07.888Z
477711400,37.46239833333333,126.61180833333333,252,239.8,0,2024-06-09T12:14:07.852Z
477711400,37.462401666666665,126.611805,253,239.8,0,2024-06-09T12:13:57.626Z
477711400,37.46241,126.61181333333333,252,239.8,0.1,2024-06-09T12:13:47.328Z
477711400,37.462421666666664,126.61181666666667,253,239.8,0,2024-06-09T12:13:16.626Z
477711400,37.462428333333335,126.61181166666667,252,239.8,0.1,2024-06-09T12:13:06.332Z
477711400,37.462435,126.61181666666667,252,239.8,0.1,2024-06-09T12:12:56.183Z
477711400,37.46243666666667,126.61181666666667,252,239.8,0.1,2024-06-09T12:12:45.982Z
477711400,37.46244,126.611835,252,239.8,0,2024-06-09T12:12:04.825Z
477711400,37.46243666666667,126.611835,253,239.8,0.1,2024-06-09T12:11:54.483Z
477711400,37.46244,126.61184,253,239.8,0.1,2024-06-09T12:11:44.202Z
477711400,37.46245166666667,126.61184,252,239.8,0.1,2024-06-09T12:11:33.873Z
