Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
352001868,37.458373333333334,126.62265333333333,117,22.2,0,2024-06-30T01:15:49.172Z
352001868,37.45838333333333,126.62264,117,22.2,0,2024-06-30T01:09:44.850Z
352001868,37.45838,126.62264,117,22.2,0,2024-06-30T01:06:41.754Z
352001868,37.45838,126.62268,117,22.2,0,2024-06-30T00:57:43.330Z
352001868,37.45839,126.62265333333333,117,22.2,0,2024-06-30T00:54:55.171Z
352001868,37.458353333333335,126.62264,117,22.2,0,2024-06-30T00:48:51.293Z
352001868,37.45836333333333,126.62265333333333,118,22.2,0,2024-06-30T00:45:52.011Z
352001868,37.45835,126.62264,118,22.2,0,2024-06-30T00:42:54.452Z
352001868,37.45836333333333,126.62264,118,22.2,0,2024-06-30T00:36:49.707Z
352001868,37.45838,126.62265333333333,118,22.2,0,2024-06-30T00:33:43.029Z
352001868,37.458373333333334,126.62262666666666,118,22.2,0,2024-06-30T00:30:45.378Z
352001868,37.45838333333333,126.62268,118,22.2,0,2024-06-30T00:27:42.026Z
352001868,37.45839,126.62264,117,22.2,0,2024-06-30T00:18:48.548Z
352001868,37.45837,126.62264,117,22.2,0,2024-06-30T00:15:43.931Z
352001868,37.458373333333334,126.62264,117,22.2,0,2024-06-30T00:09:52.076Z
352001868,37.458373333333334,126.62264,117,22.2,0,2024-06-30T00:09:36.874Z
352001868,37.458373333333334,126.62264,117,22.2,0,2024-06-30T00:09:36.819Z
352001868,37.45838,126.62264,116,22.2,0,2024-06-30T00:09:21.682Z
352001868,37.45838,126.62264,117,22.2,0,2024-06-30T00:09:06.478Z
352001868,37.458373333333334,126.62264,116,22.2,0,2024-06-30T00:08:45.929Z
352001868,37.458373333333334,126.62264,116,22.2,0,2024-06-30T00:08:45.772Z
352001868,37.458373333333334,126.62262666666666,116,22.2,0,2024-06-30T00:08:30.527Z
352001868,37.458373333333334,126.62262666666666,116,22.2,0,2024-06-30T00:08:30.476Z
352001868,37.45838,126.62262666666666,116,22.2,0,2024-06-30T00:07:55.294Z
352001868,37.45838,126.62262666666666,116,22.2,0,2024-06-30T00:07:39.923Z
352001868,37.45838333333333,126.62264,117,22.2,0,2024-06-30T00:07:24.637Z
352001868,37.45838,126.62264,116,22.2,0,2024-06-30T00:07:14.368Z
352001868,37.45838,126.62264,116,22.2,0,2024-06-30T00:07:04.159Z
352001868,37.45838,126.62264,116,188.7,0.2,2024-06-30T00:06:27.695Z
352001868,37.45839,126.62262666666666,116,186.8,0.2,2024-06-30T00:06:12.370Z
352001868,37.45840666666667,126.62262666666666,118,184.5,0.2,2024-06-30T00:06:12.337Z
352001868,37.458436666666664,126.62262666666666,119,175.6,0.3,2024-06-30T00:05:41.732Z
352001868,37.45845333333333,126.62264,119,168.6,0.3,2024-06-30T00:05:31.451Z
352001868,37.458463333333334,126.62264,119,162.2,0.4,2024-06-30T00:05:31.407Z
352001868,37.45848,126.62264,119,158.5,0.5,2024-06-30T00:05:21.159Z
352001868,37.4585,126.62264,119,156.8,0.6,2024-06-30T00:05:21.125Z
352001868,37.45858333333333,126.62261333333333,121,150.7,0.8,2024-06-30T00:04:45.822Z
352001868,37.45860666666667,126.62257333333334,121,147,0.8,2024-06-30T00:04:30.628Z
352001868,37.45864,126.62256,122,141.7,0.9,2024-06-30T00:04:15.311Z
352001868,37.45867333333333,126.62253333333334,123,137.3,0.9,2024-06-30T00:04:00.071Z
352001868,37.45874,126.62245333333334,124,131,1.1,2024-06-30T00:03:49.832Z
352001868,37.45877333333333,126.6224,123,130.3,1.2,2024-06-30T00:03:39.623Z
352001868,37.458803333333336,126.62236,123,130.3,1.2,2024-06-30T00:03:24.284Z
352001868,37.45896,126.62212,124,130.3,1.5,2024-06-30T00:02:49.036Z
352001868,37.45900666666667,126.62208,125,129.2,1.5,2024-06-30T00:02:33.832Z
352001868,37.45906,126.62198666666667,125,128.1,1.5,2024-06-30T00:02:33.795Z
352001868,37.45924333333333,126.62169333333334,127,127.4,1.6,2024-06-30T00:01:52.750Z
352001868,37.45928333333333,126.62164,127,127,1.7,2024-06-30T00:01:42.507Z
352001868,37.45933,126.62157333333333,127,126.7,1.7,2024-06-30T00:01:42.462Z
352001868,37.45953,126.62121333333333,127,125.1,1.9,2024-06-30T00:00:52.001Z
352001868,37.45957666666666,126.62113333333333,126,125.1,1.9,2024-06-30T00:00:36.710Z
352001868,37.45964333333333,126.62101333333334,126,125,2,2024-06-30T00:00:21.441Z
352001868,37.459693333333334,126.62093333333333,126,125,2,2024-06-30T00:00:11.268Z
352001868,37.45991,126.62056,126,123.5,2.2,2024-06-29T23:59:45.581Z
352001868,37.46027,126.61985333333334,126,122.5,2.7,2024-06-29T23:58:39.709Z
352001868,37.46033666666667,126.61973333333333,126,122.1,2.8,2024-06-29T23:58:24.502Z
352001868,37.46041,126.6196,126,121.8,2.9,2024-06-29T23:58:14.222Z
352001868,37.460793333333335,126.61884,124,119.4,3.5,2024-06-29T23:57:28.505Z
352001868,37.46087,126.61866666666667,123,118.7,3.6,2024-06-29T23:57:13.286Z
352001868,37.461043333333336,126.61826666666667,122,117.5,3.7,2024-06-29T23:57:03.033Z
352001868,37.46111333333333,126.61810666666666,122,117,3.8,2024-06-29T23:56:44.681Z
352001868,37.46120666666667,126.61788,121,116.7,3.8,2024-06-29T23:56:44.635Z
352001868,37.46127666666667,126.61770666666666,120,116.6,3.9,2024-06-29T23:56:29.425Z
352001868,37.46137,126.61748,120,116.8,3.9,2024-06-29T23:56:14.229Z
352001868,37.46145,126.61726666666667,119,117.2,4,2024-06-29T23:55:58.966Z
352001868,37.461533333333335,126.61706666666667,119,117.6,4,2024-06-29T23:55:48.781Z
352001868,37.46188333333333,126.6162,119,117.5,4.1,2024-06-29T23:55:17.089Z
352001868,37.46197333333333,126.61597333333333,119,117.4,4.3,2024-06-29T23:55:17.046Z
352001868,37.462066666666665,126.61574666666667,118,117.4,4.3,2024-06-29T23:55:01.799Z
352001868,37.46216,126.61552,118,117.1,4.4,2024-06-29T23:54:46.515Z
352001868,37.46225666666667,126.61528,118,116.3,4.4,2024-06-29T23:54:31.275Z
352001868,37.46234333333334,126.61509333333333,118,115.4,4.4,2024-06-29T23:54:21.031Z
352001868,37.46253,126.6146,117,115.6,4.4,2024-06-29T23:54:10.678Z
352001868,37.46261,126.61437333333333,117,116.1,4.3,2024-06-29T23:54:10.640Z
352001868,37.46277666666667,126.61394666666666,116,115.4,4.3,2024-06-29T23:53:35.412Z
352001868,37.46287,126.61370666666667,116,114.5,4.3,2024-06-29T23:53:35.354Z
352001868,37.46306666666667,126.6132,116,113.7,4.3,2024-06-29T23:53:04.857Z
352001868,37.46314666666667,126.61297333333333,115,114.1,4.3,2024-06-29T23:52:49.624Z
352001868,37.46329333333333,126.61254666666666,115,113.8,4.1,2024-06-29T23:52:39.427Z
352001868,37.46337666666667,126.61232,115,112.6,4.1,2024-06-29T23:52:29.265Z
352001868,37.46346,126.61208,115,110.9,4.1,2024-06-29T23:52:13.875Z
352001868,37.463543333333334,126.61184,114,109.1,4.1,2024-06-29T23:52:13.832Z
352001868,37.46373,126.61114666666667,112,108.1,4.1,2024-06-29T23:51:38.261Z
352001868,37.463793333333335,126.61092,111,107.1,4.1,2024-06-29T23:51:38.215Z
352001868,37.463863333333336,126.61068,111,105.7,4.1,2024-06-29T23:51:22.963Z
352001868,37.46393,126.61044,110,104.1,4.1,2024-06-29T23:51:07.688Z
352001868,37.46402333333333,126.60998666666667,109,103.1,4,2024-06-29T23:50:42.188Z
352001868,37.464063333333335,126.60974666666667,108,102.1,4,2024-06-29T23:50:31.912Z
