Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477711400,37.413615,126.56425833333333,209,209,10.6,2024-06-11T22:35:12.154Z
477711400,37.41405,126.56455833333334,210,208.9,10.6,2024-06-11T22:35:01.929Z
477711400,37.41444,126.56483333333334,210,208.9,10.6,2024-06-11T22:34:51.710Z
477711400,37.415778333333336,126.56576,210,208.6,10.6,2024-06-11T22:34:20.833Z
477711400,37.41625166666667,126.566085,210,208.7,10.5,2024-06-11T22:34:10.586Z
477711400,37.41663833333333,126.56635666666666,210,208.4,10.5,2024-06-11T22:34:00.283Z
477711400,37.41878833333333,126.56782,210,205.1,10.5,2024-06-11T22:33:09.048Z
477711400,37.41891833333333,126.5679,210,204,10.5,2024-06-11T22:33:09.038Z
477711400,37.419275,126.56810333333334,209,202.7,10.5,2024-06-11T22:32:58.825Z
477711400,37.41932,126.56812833333333,208,202.2,10.5,2024-06-11T22:32:58.815Z
477711400,37.4195,126.56822833333334,208,201,10.5,2024-06-11T22:32:58.790Z
477711400,37.41968,126.56832333333334,207,198.6,10.6,2024-06-11T22:32:48.454Z
477711400,37.41991,126.56842833333333,206,195.5,10.7,2024-06-11T22:32:48.431Z
477711400,37.420195,126.56853166666667,204,194.7,10.7,2024-06-11T22:32:48.412Z
477711400,37.42057833333333,126.56865666666667,200,194.6,10.7,2024-06-11T22:32:38.085Z
477711400,37.42115833333333,126.56884,197,195.4,10.8,2024-06-11T22:32:27.811Z
477711400,37.421593333333334,126.56899333333334,196,195.2,10.8,2024-06-11T22:32:17.465Z
477711400,37.42213,126.56918,196,195.6,10.9,2024-06-11T22:32:07.206Z
477711400,37.42256833333333,126.56933666666667,196,195.3,10.8,2024-06-11T22:31:57.007Z
477711400,37.423055,126.56950333333333,196,195.2,10.8,2024-06-11T22:31:46.758Z
477711400,37.42359166666667,126.56968166666667,196,194.9,10.8,2024-06-11T22:31:36.486Z
477711400,37.42402833333333,126.56982666666667,196,195,10.9,2024-06-11T22:31:25.209Z
477711400,37.42500666666667,126.57015833333334,196,194.8,10.9,2024-06-11T22:31:04.652Z
477711400,37.425445,126.57030166666667,196,194.7,10.9,2024-06-11T22:30:54.373Z
477711400,37.42598666666667,126.57048166666667,195,195.1,10.9,2024-06-11T22:30:44.141Z
477711400,37.426525,126.570665,196,194.9,10.9,2024-06-11T22:30:33.900Z
477711400,37.42696333333333,126.57081833333334,196,194.9,10.9,2024-06-11T22:30:23.602Z
477711400,37.42740166666667,126.57096333333334,196,195.1,10.9,2024-06-11T22:30:13.384Z
477711400,37.42784,126.57111,196,195.3,10.9,2024-06-11T22:30:03.128Z
477711400,37.42842666666667,126.57131,196,194.9,10.9,2024-06-11T22:29:52.819Z
477711400,37.428915,126.571475,196,194.6,10.9,2024-06-11T22:29:42.513Z
477711400,37.42940333333333,126.57163166666666,196,194.8,10.9,2024-06-11T22:29:32.233Z
477711400,37.42993833333333,126.571805,196,195.1,10.9,2024-06-11T22:29:21.937Z
477711400,37.430326666666666,126.57193833333334,196,194.8,10.9,2024-06-11T22:29:11.724Z
477711400,37.431353333333334,126.57227833333333,196,195.2,10.9,2024-06-11T22:28:51.228Z
477711400,37.43184,126.57244333333334,196,194.9,10.9,2024-06-11T22:28:40.980Z
477711400,37.43232833333333,126.57260333333333,196,194.6,10.9,2024-06-11T22:28:30.781Z
477711400,37.43272,126.57273333333333,195,194.6,10.9,2024-06-11T22:28:20.177Z
477711400,37.433255,126.57291,195,195.2,10.8,2024-06-11T22:28:09.785Z
477711400,37.433695,126.57305833333334,195,195.2,10.8,2024-06-11T22:27:59.511Z
477711400,37.43477,126.57342166666666,196,195.5,10.9,2024-06-11T22:27:38.882Z
477711400,37.43525666666667,126.57358833333333,196,195.7,10.9,2024-06-11T22:27:28.590Z
477711400,37.435645,126.57372666666667,196,195.5,10.8,2024-06-11T22:27:28.552Z
477711400,37.43618166666667,126.57391333333334,196,195.5,10.9,2024-06-11T22:27:18.306Z
477711400,37.43715666666667,126.57424166666667,195,195.1,10.9,2024-06-11T22:26:57.805Z
477711400,37.43769,126.57443166666667,195,195.3,10.8,2024-06-11T22:26:47.605Z
477711400,37.43817666666666,126.57460166666667,195,195.7,10.9,2024-06-11T22:26:37.408Z
477711400,37.43861,126.57475833333334,196,195.3,10.8,2024-06-11T22:26:27.139Z
477711400,37.43908666666667,126.57492166666667,196,195.2,10.7,2024-06-11T22:26:16.885Z
477711400,37.43951666666667,126.57507,196,195.1,10.7,2024-06-11T22:26:06.664Z
477711400,37.44004833333333,126.57525333333334,196,195.1,10.7,2024-06-11T22:25:56.353Z
477711400,37.44058,126.57543666666666,196,195.4,10.7,2024-06-11T22:25:46.042Z
477711400,37.44110833333333,126.57562,196,195,10.8,2024-06-11T22:25:35.637Z
477711400,37.441495,126.57575,196,194.9,10.8,2024-06-11T22:25:25.422Z
477711400,37.44198,126.575915,196,194.8,10.8,2024-06-11T22:25:15.137Z
477711400,37.442415,126.57606333333334,196,194.6,10.7,2024-06-11T22:25:04.880Z
477711400,37.44295,126.57623833333334,196,194.9,10.8,2024-06-11T22:24:54.658Z
477711400,37.443475,126.57641833333334,196,195.1,10.8,2024-06-11T22:24:44.377Z
477711400,37.443955,126.57658,196,195.2,10.7,2024-06-11T22:24:34.121Z
477711400,37.444395,126.57673333333334,196,194.8,10.7,2024-06-11T22:24:23.844Z
