Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477940600,37.34168833333333,126.62542166666667,271,357.4,0,2024-06-12T16:56:21.105Z
477940600,37.341701666666665,126.625405,271,357.4,0,2024-06-12T16:23:13.923Z
477940600,37.34168666666667,126.62544833333334,271,357.4,0,2024-06-12T15:50:15.857Z
477940600,37.34169833333333,126.62540833333334,271,357.4,0,2024-06-12T15:47:20.954Z
477940600,37.34169166666667,126.62543166666667,271,357.4,0,2024-06-12T15:17:16.142Z
477940600,37.34167166666667,126.62546666666667,271,357.4,0,2024-06-12T14:59:22.946Z
477940600,37.34168833333333,126.62543666666667,271,357.4,0,2024-06-12T14:56:17.424Z
477940600,37.341703333333335,126.62539666666666,271,357.4,0,2024-06-12T14:47:22.927Z
477940600,37.341703333333335,126.62542833333333,271,178.3,0,2024-06-12T14:44:17.709Z
477940600,37.34171,126.62541833333333,271,182.8,0,2024-06-12T14:32:16.006Z
477940600,37.34171,126.62537333333333,271,181.3,0,2024-06-12T14:17:20.453Z
477940600,37.341703333333335,126.62544166666666,271,181.3,0,2024-06-12T14:11:19.383Z
477940600,37.34170666666667,126.62546,271,0,0,2024-06-12T13:53:18.085Z
477940600,37.341721666666665,126.62541333333333,271,174.2,0,2024-06-12T13:35:17.424Z
477940600,37.341721666666665,126.62542833333333,271,271.8,0,2024-06-12T13:11:14.576Z
477940600,37.34170833333334,126.62542666666667,271,271.8,0,2024-06-12T12:02:16.133Z
477940600,37.34169333333333,126.625455,271,336.9,0.2,2024-06-12T11:57:59.014Z
477940600,37.341645,126.625425,269,34.3,0.7,2024-06-12T11:57:28.167Z
477940600,37.34161,126.62539666666666,271,42.6,0.6,2024-06-12T11:57:07.424Z
477940600,37.341588333333334,126.62537166666667,272,48.9,0.6,2024-06-12T11:56:57.289Z
477940600,37.34155666666667,126.62532333333333,273,54.4,0.5,2024-06-12T11:56:46.882Z
477940600,37.34152666666667,126.62527666666666,270,40.6,0.8,2024-06-12T11:56:26.091Z
477940600,37.34146,126.62522,268,36,1.4,2024-06-12T11:56:05.499Z
477940600,37.341251666666665,126.62497833333333,266,47.6,1.6,2024-06-12T11:55:24.305Z
477940600,37.340923333333336,126.62444666666667,289,68.9,1.5,2024-06-12T11:54:12.386Z
477940600,37.34087666666667,126.62428333333334,292,58.5,1.5,2024-06-12T11:53:51.902Z
477940600,37.34084166666667,126.62419333333334,293,45.5,1.4,2024-06-12T11:53:41.626Z
477940600,37.340795,126.62412,294,31.9,1.5,2024-06-12T11:53:31.463Z
477940600,37.340685,126.62403333333333,299,14.1,1.7,2024-06-12T11:53:10.925Z
477940600,37.34054166666667,126.62398833333333,305,3.7,2,2024-06-12T11:52:50.346Z
477940600,37.34047833333333,126.62398,307,1.7,2.2,2024-06-12T11:52:50.316Z
477940600,37.34044,126.62397833333333,308,1.3,2.3,2024-06-12T11:52:40.160Z
477940600,37.34036666666667,126.623975,310,0.5,2.4,2024-06-12T11:52:40.122Z
477940600,37.34030166666667,126.62397666666666,312,1.3,2.5,2024-06-12T11:52:29.807Z
477940600,37.34023333333333,126.623975,315,2.7,2.6,2024-06-12T11:52:19.576Z
477940600,37.33998666666667,126.62396666666666,323,5.3,2.6,2024-06-12T11:51:58.863Z
477940600,37.33944,126.62391666666667,329,6.8,2.5,2024-06-12T11:51:17.679Z
477940600,37.339405,126.62391666666667,329,7.9,2.6,2024-06-12T11:51:07.443Z
477940600,37.33931833333333,126.62391,331,11.7,2.6,2024-06-12T11:51:07.403Z
477940600,37.33919,126.62388833333333,335,19.7,2.7,2024-06-12T11:50:57.147Z
477940600,37.33914,126.623875,338,23.9,2.7,2024-06-12T11:50:46.868Z
477940600,37.33909,126.62386,340,28.5,2.7,2024-06-12T11:50:46.852Z
477940600,37.339015,126.62382833333334,345,35.6,2.8,2024-06-12T11:50:36.538Z
477940600,37.33883333333333,126.62368,1,53.6,2.9,2024-06-12T11:50:26.157Z
477940600,37.338793333333335,126.62363333333333,6,58.4,3,2024-06-12T11:50:15.925Z
477940600,37.33866166666667,126.62337833333333,24,71.5,3,2024-06-12T11:50:05.636Z
477940600,37.338633333333334,126.62328333333333,31,74.7,3,2024-06-12T11:49:55.454Z
477940600,37.338625,126.62323333333333,33,75.5,3,2024-06-12T11:49:55.442Z
477940600,37.338611666666665,126.62316833333334,36,77,3,2024-06-12T11:49:45.186Z
477940600,37.3386,126.62312166666666,39,78.5,3.1,2024-06-12T11:49:45.166Z
477940600,37.338565,126.62288333333333,48,80.6,3,2024-06-12T11:49:34.859Z
477940600,37.33856,126.62284833333334,49,80.8,3,2024-06-12T11:49:34.850Z
477940600,37.33848666666667,126.62221166666667,64,80.2,2.9,2024-06-12T11:48:53.932Z
477940600,37.33835833333333,126.62142333333334,74,64,2.5,2024-06-12T11:48:02.471Z
477940600,37.338251666666665,126.62114,72,65.2,2.8,2024-06-12T11:47:41.960Z
477940600,37.338181666666664,126.620955,71,66,3.1,2024-06-12T11:47:31.662Z
477940600,37.33812666666667,126.62081333333333,70,66.6,3.2,2024-06-12T11:47:21.271Z
477940600,37.338065,126.620655,69,67.8,3.4,2024-06-12T11:47:11.041Z
477940600,37.33797833333333,126.62032,68,69.8,3.8,2024-06-12T11:46:50.455Z
477940600,37.337845,126.61987666666667,69,70,4.4,2024-06-12T11:46:29.995Z
477940600,37.337718333333335,126.61941166666666,70,69.8,4.9,2024-06-12T11:46:09.182Z
477940600,37.337365,126.61825666666667,71,68.3,5.6,2024-06-12T11:45:27.860Z
477940600,37.33719166666667,126.61769833333334,70,68,5.8,2024-06-12T11:45:17.551Z
477940600,37.33709,126.61734666666666,70,67.9,5.8,2024-06-12T11:44:57.233Z
477940600,37.33680833333333,126.61643333333333,70,68.5,5.8,2024-06-12T11:44:36.539Z
477940600,37.33659166666666,126.61578833333333,70,67.8,5.8,2024-06-12T11:44:14.920Z
477940600,37.33615833333333,126.61450166666667,70,68.1,5.9,2024-06-12T11:43:33.824Z
477940600,37.335971666666666,126.61391333333333,70,68,5.8,2024-06-12T11:43:13.277Z
477940600,37.33553666666667,126.61268,70,67.9,5.8,2024-06-12T11:42:31.987Z
477940600,37.33530833333333,126.61202666666667,70,68,5.8,2024-06-12T11:42:11.440Z
477940600,37.33523,126.61167833333333,70,67.6,5.8,2024-06-12T11:42:01.141Z
477940600,37.334453333333336,126.6093,70,65.3,5.7,2024-06-12T11:40:38.620Z
477940600,37.33433333333333,126.60896333333334,70,65.4,5.7,2024-06-12T11:40:28.315Z
477940600,37.334221666666664,126.60867666666667,70,65.7,5.7,2024-06-12T11:40:28.261Z
477940600,37.334088333333334,126.60832166666667,70,65.8,5.7,2024-06-12T11:40:17.981Z
477940600,37.33380833333333,126.60748,70,65.7,5.7,2024-06-12T11:39:46.936Z
477940600,37.3337,126.60716833333333,70,66.6,5.7,2024-06-12T11:39:36.637Z
477940600,37.33347833333333,126.60652833333333,70,67.3,5.7,2024-06-12T11:39:15.786Z
477940600,37.33300666666667,126.60507666666666,71,75.7,5.6,2024-06-12T11:38:24.596Z
477940600,37.33293833333333,126.60475,72,77.9,5.6,2024-06-12T11:38:14.295Z
477940600,37.332863333333336,126.604375,75,78.8,5.6,2024-06-12T11:38:04.014Z
477940600,37.33269833333333,126.603485,78,79.6,5.7,2024-06-12T11:37:33.206Z
477940600,37.33267,126.60314833333334,79,80.3,5.9,2024-06-12T11:37:22.944Z
477940600,37.33261666666667,126.60248666666666,80,80.5,6.1,2024-06-12T11:37:02.381Z
477940600,37.332545,126.60215833333334,81,80.1,6.3,2024-06-12T11:36:52.156Z
477940600,37.332406666666664,126.60145833333333,81,79.1,6.6,2024-06-12T11:36:31.603Z
477940600,37.332341666666665,126.60104,81,78.9,6.8,2024-06-12T11:36:20.928Z
477940600,37.3323,126.60068833333334,80,79.1,7,2024-06-12T11:36:10.625Z
477940600,37.33224833333333,126.60024166666666,80,79.3,7.2,2024-06-12T11:36:00.356Z
477940600,37.332205,126.59987833333334,80,79.4,7.3,2024-06-12T11:35:50.126Z
477940600,37.331995,126.59852833333333,80,79.8,8,2024-06-12T11:35:19.511Z
477940600,37.33192833333333,126.59811833333333,80,80.6,8.2,2024-06-12T11:35:08.998Z
477940600,37.33186166666667,126.59760833333333,81,81.8,8.4,2024-06-12T11:34:58.557Z
477940600,37.331813333333336,126.59714666666666,81,82.8,8.6,2024-06-12T11:34:48.299Z
477940600,37.331761666666665,126.59670833333334,82,83.8,8.8,2024-06-12T11:34:48.260Z
477940600,37.33123,126.59079333333334,85,83.4,9.9,2024-06-12T11:32:53.990Z
477940600,37.331178333333334,126.590305,85,83,10.1,2024-06-12T11:32:43.730Z
477940600,37.331045,126.589095,85,82.7,10.4,2024-06-12T11:32:23.163Z
477940600,37.330913333333335,126.58782833333333,85,83,10.8,2024-06-12T11:32:02.436Z
477940600,37.330865,126.58726666666666,85,82.9,11,2024-06-12T11:31:52.123Z
477940600,37.33081333333333,126.58669666666667,85,82.7,11.2,2024-06-12T11:31:41.827Z
