Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33883333333333,126.62523166666666,249,92.1,2.9,2024-06-12T04:03:54.056Z
440009170,37.33828166666667,126.62218333333334,76,63.3,5.8,2024-06-12T04:01:50.634Z
440009170,37.338233333333335,126.62206333333333,71,60.2,5.8,2024-06-12T04:01:40.424Z
440009170,37.33619,126.61780166666667,66,62.8,5.8,2024-06-12T03:59:15.024Z
440009170,37.335635,126.61618166666666,69,69.4,6.3,2024-06-12T03:58:23.498Z
440009170,37.335103333333336,126.61432833333333,67,70.8,6.8,2024-06-12T03:57:31.975Z
440009170,37.335013333333336,126.613985,68,71,6.9,2024-06-12T03:57:21.692Z
440009170,37.33495666666666,126.61379,67,71,6.9,2024-06-12T03:57:21.675Z
440009170,37.334633333333336,126.61262333333333,59,75.6,7.5,2024-06-12T03:56:50.578Z
440009170,37.33448666666666,126.61154833333333,57,93,5.9,2024-06-12T03:56:29.983Z
440009170,37.335276666666665,126.61102166666667,279,115.9,0.9,2024-06-12T03:54:14.865Z
440009170,37.33531833333333,126.61093,279,120.5,1,2024-06-12T03:53:54.254Z
440009170,37.33542666666666,126.61077333333333,281,134,0.7,2024-06-12T03:53:13.176Z
440009170,37.33548666666667,126.61071166666666,283,137.7,0.8,2024-06-12T03:52:52.568Z
440009170,37.33553,126.610675,283,141.7,0.9,2024-06-12T03:52:42.236Z
440009170,37.336005,126.610395,284,167.9,1.4,2024-06-12T03:50:59.158Z
440009170,37.33666,126.61029166666667,281,213.3,0.5,2024-06-12T03:47:42.233Z
440009170,37.33667333333333,126.610305,282,213.3,0.4,2024-06-12T03:47:31.912Z
440009170,37.33679166666667,126.61043,288,230,0.6,2024-06-12T03:46:30.143Z
440009170,37.336861666666664,126.610545,293,240.9,0.6,2024-06-12T03:45:59.155Z
440009170,37.33688,126.61058166666666,294,242.1,0.6,2024-06-12T03:45:48.898Z
440009170,37.33696333333334,126.61081,303,253,0.9,2024-06-12T03:44:57.227Z
440009170,37.33697,126.61086166666666,303,254.9,1,2024-06-12T03:44:46.974Z
440009170,37.33698666666667,126.61103833333334,309,264,1,2024-06-12T03:44:16.144Z
440009170,37.337005,126.61158833333333,317,268.5,1.8,2024-06-12T03:43:03.788Z
440009170,37.33703166666667,126.61198166666667,317,265.3,2.5,2024-06-12T03:42:32.951Z
440009170,37.33705333333333,126.61231833333333,317,261.9,3.7,2024-06-12T03:42:12.318Z
440009170,37.33741333333333,126.61490833333333,320,261.1,6.8,2024-06-12T03:41:10.459Z
440009170,37.33755,126.61610333333333,320,261.4,6.6,2024-06-12T03:40:29.419Z
440009170,37.339121666666664,126.622265,313,238.8,7.1,2024-06-12T03:37:43.629Z
440009170,37.33978,126.62367166666667,316,245.2,7,2024-06-12T03:37:02.585Z
440009170,37.340895,126.62879833333334,151,269.6,1,2024-06-12T03:34:07.485Z
440009170,37.34132833333334,126.62831833333334,64,114,4.4,2024-06-12T03:33:14.571Z
440009170,37.33831166666667,126.63584666666667,335,284.7,7,2024-06-12T03:21:32.818Z
440009170,37.34565166666667,126.66795333333333,283,185.1,8.5,2024-06-12T03:08:17.978Z
