Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441424000,37.34155666666667,126.63529166666666,91,153.8,0.1,2024-06-14T10:00:10.569Z
441424000,37.341546666666666,126.635295,91,220.8,0,2024-06-14T09:27:16.240Z
441424000,37.341483333333336,126.63548833333333,92,295.9,0.1,2024-06-14T08:30:08.121Z
441424000,37.34141833333333,126.63538833333334,91,182.7,0.2,2024-06-14T08:21:11.325Z
441424000,37.341355,126.63514333333333,86,34,0.6,2024-06-14T08:05:42.952Z
441424000,37.34070666666667,126.63483833333333,66,21.8,1.4,2024-06-14T08:03:39.187Z
441424000,37.340646666666665,126.634805,64,22.8,1.4,2024-06-14T08:03:28.858Z
441424000,37.34046166666667,126.63469333333333,57,33.5,1.4,2024-06-14T08:02:58.008Z
441424000,37.34034833333333,126.634605,54,39.1,1.6,2024-06-14T08:02:37.467Z
441424000,37.339846666666666,126.63375666666667,54,56.2,3.2,2024-06-14T08:01:15.181Z
441424000,37.339585,126.633175,55,56.7,3.5,2024-06-14T08:00:43.471Z
441424000,37.339063333333335,126.63209333333333,57,61.5,3.9,2024-06-14T07:59:51.969Z
441424000,37.33888666666667,126.63168833333333,57,63.4,4.1,2024-06-14T07:59:31.476Z
441424000,37.338715,126.631285,59,64.7,4.3,2024-06-14T07:59:10.900Z
441424000,37.338525,126.63081333333334,60,65.3,4.4,2024-06-14T07:58:50.274Z
441424000,37.33809333333333,126.62962833333333,66,66.1,4.4,2024-06-14T07:57:59.020Z
441424000,37.337986666666666,126.62938333333334,66,63.4,4.3,2024-06-14T07:57:48.792Z
441424000,37.337025,126.62741666666666,61,60.5,4.6,2024-06-14T07:56:16.307Z
441424000,37.33609666666667,126.62551166666667,61,60.9,4.6,2024-06-14T07:54:53.543Z
441424000,37.33600833333333,126.62532666666667,61,59.8,4.5,2024-06-14T07:54:53.508Z
441424000,37.33539833333333,126.62399166666667,62,62.7,4,2024-06-14T07:53:51.620Z
441424000,37.33486166666667,126.62263833333333,65,65,3.3,2024-06-14T07:52:39.685Z
441424000,37.334425,126.621435,66,69.4,2.5,2024-06-14T07:51:17.477Z
441424000,37.3343,126.62105,66,71.2,2.2,2024-06-14T07:50:46.623Z
441424000,37.334225,126.620815,66,72.8,2,2024-06-14T07:50:26.207Z
441424000,37.33414333333333,126.62051166666667,67,76.5,1.6,2024-06-14T07:49:54.560Z
441424000,37.334045,126.62014166666667,66,75.2,1.6,2024-06-14T07:49:23.561Z
441424000,37.333998333333334,126.61997333333333,65,74.2,1.6,2024-06-14T07:49:02.907Z
441424000,37.33394833333333,126.61979666666667,64,75.4,1.6,2024-06-14T07:48:42.266Z
441424000,37.33392333333333,126.61970666666667,64,75.5,1.6,2024-06-14T07:48:31.996Z
441424000,37.33385666666667,126.61943,65,76.3,1.6,2024-06-14T07:48:01.205Z
441424000,37.33372166666667,126.61888166666667,65,74.7,1.6,2024-06-14T07:46:59.559Z
441424000,37.333643333333335,126.61861333333333,64,72.9,1.6,2024-06-14T07:46:28.671Z
441424000,37.33356,126.61834666666667,61,72.8,1.6,2024-06-14T07:45:57.847Z
441424000,37.33340833333333,126.61780666666667,62,76,1.7,2024-06-14T07:44:55.870Z
441424000,37.33338,126.61770833333334,62,76.6,1.7,2024-06-14T07:44:45.551Z
441424000,37.33335666666667,126.61762666666667,63,76.8,1.7,2024-06-14T07:44:35.368Z
441424000,37.333333333333336,126.61752333333334,64,77.3,1.7,2024-06-14T07:44:25.116Z
441424000,37.33327666666667,126.61725,66,78.2,1.7,2024-06-14T07:44:04.600Z
441424000,37.33325333333333,126.61714666666667,66,78.9,1.7,2024-06-14T07:43:43.588Z
441424000,37.33323166666667,126.61705166666667,67,78.9,1.7,2024-06-14T07:43:43.538Z
441424000,37.333165,126.61666833333334,69,80.2,1.7,2024-06-14T07:43:02.398Z
441424000,37.33312166666666,126.61648,70,80.6,1.8,2024-06-14T07:42:41.915Z
441424000,37.33307833333333,126.616045,71,78.9,1.7,2024-06-14T07:42:00.783Z
441424000,37.333056666666664,126.61594,71,78.9,1.7,2024-06-14T07:41:50.550Z
441424000,37.332995,126.61567333333333,72,80.5,1.8,2024-06-14T07:41:19.802Z
441424000,37.33295,126.61545333333333,72,80.2,1.8,2024-06-14T07:40:59.231Z
441424000,37.33291,126.61525166666667,72,80.4,1.8,2024-06-14T07:40:38.668Z
441424000,37.33288833333334,126.61515,72,80.3,1.8,2024-06-14T07:40:28.367Z
441424000,37.33287,126.61505833333334,72,80.1,1.8,2024-06-14T07:40:18.122Z
441424000,37.33280833333333,126.61475,71,79.2,1.8,2024-06-14T07:39:47.306Z
441424000,37.33275166666667,126.61443333333334,69,76.4,1.7,2024-06-14T07:39:16.404Z
441424000,37.332705,126.61423166666667,68,75.7,1.7,2024-06-14T07:38:55.973Z
441424000,37.33262,126.61383333333333,65,77,1.8,2024-06-14T07:38:14.896Z
441424000,37.332526666666666,126.61329666666667,67,78.5,1.9,2024-06-14T07:37:33.461Z
441424000,37.33248666666667,126.61308333333334,67,78.8,1.9,2024-06-14T07:37:12.851Z
441424000,37.33246833333333,126.612975,68,78.8,1.9,2024-06-14T07:37:02.655Z
441424000,37.33242666666667,126.61277333333334,68,79.2,1.9,2024-06-14T07:36:42.015Z
441424000,37.33240333333333,126.612665,68,79.1,1.9,2024-06-14T07:36:31.759Z
441424000,37.33238166666667,126.612555,69,79,1.9,2024-06-14T07:36:21.523Z
441424000,37.33236,126.612445,69,79.4,1.9,2024-06-14T07:36:11.283Z
441424000,37.332335,126.61232333333334,69,79.1,1.9,2024-06-14T07:36:01.076Z
441424000,37.33222,126.61177166666667,69,78.6,2,2024-06-14T07:35:09.777Z
441424000,37.3322,126.61167166666667,68,77.7,2,2024-06-14T07:34:59.497Z
441424000,37.33217333333333,126.61154833333333,68,77.5,2,2024-06-14T07:34:49.315Z
441424000,37.33215333333333,126.61144833333333,68,76.9,2,2024-06-14T07:34:39.065Z
441424000,37.332105,126.61121,67,77.5,2,2024-06-14T07:34:18.413Z
441424000,37.33208166666667,126.611095,67,77.8,2.1,2024-06-14T07:34:08.151Z
441424000,37.33206,126.61097833333334,67,78,2.1,2024-06-14T07:33:57.935Z
441424000,37.331923333333336,126.61026,69,78.7,2.1,2024-06-14T07:32:55.986Z
441424000,37.331896666666665,126.61012333333333,70,78.5,2.1,2024-06-14T07:32:45.612Z
441424000,37.331873333333334,126.60999666666666,70,78.4,2.2,2024-06-14T07:32:35.423Z
441424000,37.33185,126.60987,70,78.5,2.2,2024-06-14T07:32:25.166Z
