Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33723833333333,126.62891166666667,46,57.7,5.6,2024-06-29T22:37:31.779Z
440009170,37.337115,126.62866333333334,46,59.3,5.4,2024-06-29T22:37:16.653Z
440009170,37.336733333333335,126.62783,52,61.7,6.2,2024-06-29T22:36:56.202Z
440009170,37.33459666666667,126.622205,50,66.4,8.6,2024-06-29T22:34:38.498Z
440009170,37.33284333333334,126.61642166666667,55,70.8,10.7,2024-06-29T22:32:41.940Z
440009170,37.33273,126.61594333333333,54,74.2,10.5,2024-06-29T22:32:26.689Z
440009170,37.33265333333333,126.61558333333333,53,75.1,10.8,2024-06-29T22:32:26.666Z
440009170,37.332523333333334,126.61449,59,88.3,11.6,2024-06-29T22:32:11.260Z
440009170,37.33271,126.61344333333334,88,120.5,11.6,2024-06-29T22:31:56.084Z
440009170,37.337093333333335,126.60953333333333,284,313.4,0.2,2024-06-29T22:28:32.154Z
440009170,37.337085,126.609555,289,247.5,0.3,2024-06-29T22:28:21.830Z
440009170,37.33708166666667,126.60956166666666,290,247.5,0.3,2024-06-29T22:28:21.802Z
440009170,37.33707833333333,126.609565,291,247.5,0.3,2024-06-29T22:28:11.427Z
440009170,37.33707,126.60957833333333,293,247.5,0.3,2024-06-29T22:27:56.157Z
440009170,37.33704,126.61019666666667,308,271.5,0.8,2024-06-29T22:25:16.712Z
440009170,37.33710166666667,126.61085,318,257.1,3.4,2024-06-29T22:24:10.921Z
440009170,37.33725333333334,126.611625,319,257.8,5.8,2024-06-29T22:23:40.419Z
440009170,37.33776833333334,126.61437,315,247.2,7.1,2024-06-29T22:22:29.349Z
440009170,37.33871333333333,126.61903,320,258.2,7.6,2024-06-29T22:20:46.351Z
440009170,37.33893166666667,126.620335,320,258,7.6,2024-06-29T22:20:10.418Z
440009170,37.340185,126.63159666666667,290,28.9,1.8,2024-06-29T22:13:12.990Z
440009170,37.34000833333333,126.63144833333334,302,46.9,2,2024-06-29T22:12:52.440Z
440009170,37.340035,126.63105833333333,344,303,7.3,2024-06-29T21:51:51.170Z
440009170,37.33743333333334,126.63777333333333,340,293.9,10.1,2024-06-29T21:49:18.473Z
440009170,37.337536666666665,126.65476833333334,322,259.2,9.6,2024-06-29T21:44:20.132Z
