Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33577,126.62641333333333,47,54.8,6.2,2024-06-10T19:55:59.894Z
440009170,37.33528,126.62553166666666,48,56.7,6.6,2024-06-10T19:55:39.286Z
440009170,37.33492666666667,126.62483333333333,49,58.6,6.8,2024-06-10T19:55:08.494Z
440009170,37.334603333333334,126.62414,49,61.2,7.1,2024-06-10T19:54:58.192Z
440009170,37.334135,126.62306666666667,48,61,7.3,2024-06-10T19:54:27.415Z
440009170,37.333085,126.62055833333334,55,73.7,8.1,2024-06-10T19:53:25.198Z
440009170,37.333665,126.61851333333334,273,161.8,5.4,2024-06-10T19:52:13.162Z
440009170,37.33405666666667,126.61814,285,196.6,0.7,2024-06-10T19:51:11.480Z
440009170,37.33473166666667,126.61867,303,218.6,3.1,2024-06-10T19:49:49.276Z
440009170,37.33564666666667,126.62001833333333,315,241.9,1.4,2024-06-10T19:47:56.237Z
440009170,37.335923333333334,126.62081333333333,319,252.8,3,2024-06-10T19:46:43.824Z
440009170,37.336256666666664,126.622915,322,261,7.3,2024-06-10T19:45:31.953Z
440009170,37.33642,126.62429,323,264.3,9.3,2024-06-10T19:45:01.200Z
440009170,37.33679,126.64743333333334,326,265.4,10.6,2024-06-10T19:38:20.285Z
