Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33302,126.62265,43,64.7,3.3,2024-06-19T17:20:42.071Z
440009170,37.33264666666667,126.61965833333333,60,78.8,4,2024-06-19T17:18:18.677Z
440009170,37.332465,126.61855833333334,58,76.7,4.1,2024-06-19T17:17:27.319Z
440009170,37.332858333333334,126.61744,245,174.6,6,2024-06-19T17:16:36.037Z
440009170,37.33316833333333,126.61749,283,200.6,7.8,2024-06-19T17:16:25.720Z
440009170,37.33320333333333,126.617505,285,205,8,2024-06-19T17:16:25.717Z
440009170,37.3338,126.61806,300,224.1,11.3,2024-06-19T17:16:15.364Z
440009170,37.33506166666667,126.62049666666667,314,243.8,11.8,2024-06-19T17:15:32.916Z
440009170,37.3384,126.631295,316,247.9,11.7,2024-06-19T17:12:38.244Z
440009170,37.338606666666664,126.63192166666667,316,247.3,11.7,2024-06-19T17:12:27.925Z
440009170,37.340916666666665,126.63668333333334,46,98.2,0.9,2024-06-19T17:08:28.098Z
440009170,37.34128666666667,126.63658166666667,15,260.5,0.3,2024-06-19T17:06:11.399Z
440009170,37.341386666666665,126.6366,13,178.5,1,2024-06-19T17:05:19.340Z
440009170,37.34146333333333,126.63659166666666,16,342.5,0,2024-06-19T17:03:14.977Z
440009170,37.34149,126.63659333333334,16,342.5,0,2024-06-19T16:59:15.860Z
440009170,37.341485,126.636585,16,342.5,0,2024-06-19T16:57:53.100Z
440009170,37.34149166666667,126.63657333333333,17,342.5,0,2024-06-19T16:57:11.923Z
440009170,37.34149,126.63658,16,342.5,0,2024-06-19T16:57:00.570Z
440009170,37.341485,126.63659333333334,16,342.5,0.2,2024-06-19T16:56:19.381Z
440009170,37.341485,126.63658333333333,17,342.5,0.2,2024-06-19T16:56:08.864Z
440009170,37.34148666666667,126.63658166666667,17,342.5,0,2024-06-19T16:55:58.535Z
440009170,37.341483333333336,126.63658833333334,16,342.5,0,2024-06-19T16:55:14.928Z
440009170,37.341478333333335,126.63660666666667,14,342.5,0,2024-06-19T16:54:54.068Z
