Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
374782000,37.34166166666667,126.63395333333334,269,321.4,0.1,2024-06-20T19:53:26.723Z
374782000,37.341995,126.63348833333333,269,195.3,0,2024-06-20T19:17:29.828Z
374782000,37.342165,126.63352,270,188.8,0,2024-06-20T19:05:29.847Z
374782000,37.34173,126.633605,269,195.2,0,2024-06-20T18:57:16.712Z
374782000,37.341605,126.633635,270,349.1,0.4,2024-06-20T18:54:00.754Z
374782000,37.341498333333334,126.63359333333334,273,74.6,0.4,2024-06-20T18:53:09.651Z
374782000,37.34148,126.633405,276,19.2,0.3,2024-06-20T18:51:57.790Z
374782000,37.34131166666667,126.63338166666666,274,1.8,0.7,2024-06-20T18:50:25.366Z
374782000,37.34120166666667,126.633365,273,14.4,1.2,2024-06-20T18:49:54.654Z
374782000,37.34109333333333,126.63330666666667,275,21.8,1.3,2024-06-20T18:49:34.096Z
374782000,37.34093,126.63320833333333,274,23.8,1.3,2024-06-20T18:49:03.249Z
374782000,37.34075833333333,126.633095,273,26.2,1.4,2024-06-20T18:48:42.657Z
374782000,37.34063,126.633015,271,27.8,1.5,2024-06-20T18:48:20.989Z
374782000,37.340576666666664,126.63297833333333,271,29.8,1.4,2024-06-20T18:48:10.757Z
374782000,37.34033,126.63281333333333,271,23.1,1.5,2024-06-20T18:47:29.809Z
374782000,37.340196666666664,126.63273166666667,273,26,1.4,2024-06-20T18:47:09.303Z
374782000,37.340136666666666,126.63269166666667,274,24.7,1.3,2024-06-20T18:46:59.121Z
374782000,37.339953333333334,126.632605,272,11.1,1.4,2024-06-20T18:46:28.310Z
374782000,37.339745,126.63256833333334,274,3.5,1.4,2024-06-20T18:45:57.428Z
374782000,37.339528333333334,126.63254333333333,279,2.6,1.5,2024-06-20T18:45:26.759Z
374782000,37.33922,126.6325,287,4.3,1.3,2024-06-20T18:44:44.705Z
374782000,37.339045,126.632485,294,2.3,1.4,2024-06-20T18:44:14.019Z
374782000,37.338966666666664,126.63248,298,0.9,1.4,2024-06-20T18:44:03.738Z
374782000,37.338746666666665,126.632465,312,4.6,1.6,2024-06-20T18:43:32.704Z
374782000,37.338645,126.63245166666667,318,8,1.7,2024-06-20T18:43:21.590Z
374782000,37.33855666666667,126.63243166666666,324,11.5,1.8,2024-06-20T18:43:11.345Z
374782000,37.33853166666667,126.632425,326,12.7,1.8,2024-06-20T18:43:11.332Z
374782000,37.33839833333333,126.63238166666666,336,17.6,1.9,2024-06-20T18:42:50.806Z
374782000,37.33819833333333,126.63228666666667,349,23.2,2,2024-06-20T18:42:30.354Z
374782000,37.338098333333335,126.63223166666667,354,23.2,1.9,2024-06-20T18:42:20.084Z
374782000,37.33770666666667,126.63204833333333,9,22,1.9,2024-06-20T18:41:28.650Z
374782000,37.337453333333336,126.63188666666667,16,24.3,2.1,2024-06-20T18:40:57.802Z
374782000,37.337365,126.63183,18,26.8,2.2,2024-06-20T18:40:47.468Z
374782000,37.33716666666667,126.63168833333333,21,32.2,2.7,2024-06-20T18:40:27.005Z
374782000,37.33684,126.63137666666667,28,40.8,3.4,2024-06-20T18:39:56.330Z
374782000,37.336595,126.63109333333334,33,44.6,3.7,2024-06-20T18:39:35.862Z
374782000,37.33589833333333,126.629975,50,56.9,4.3,2024-06-20T18:38:34.227Z
374782000,37.335785,126.629735,52,59.5,4.4,2024-06-20T18:38:24.025Z
374782000,37.335678333333334,126.62951166666667,55,59.1,4.6,2024-06-20T18:38:13.741Z
374782000,37.33534,126.62881,58,57.6,5.3,2024-06-20T18:37:53.126Z
374782000,37.334925,126.62793666666667,60,59.6,5.5,2024-06-20T18:37:21.250Z
374782000,37.33439,126.62684666666667,60,58.6,5.8,2024-06-20T18:36:40.215Z
374782000,37.33369666666667,126.62537833333333,61,59.1,6.2,2024-06-20T18:35:48.883Z
374782000,37.33336,126.62468666666666,60,59,6.5,2024-06-20T18:35:28.364Z
374782000,37.33303333333333,126.62399333333333,60,61.3,6.7,2024-06-20T18:35:07.934Z
