Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.336996666666664,126.63123666666667,30,35.8,2.4,2024-06-20T18:40:27.015Z
440009170,37.33549166666667,126.62854166666666,39,59.9,4.9,2024-06-20T18:38:03.351Z
440009170,37.335145,126.627785,36,61,5.4,2024-06-20T18:37:32.563Z
440009170,37.33408,126.62550166666666,36,60,6,2024-06-20T18:36:09.549Z
440009170,37.33229166666667,126.62048666666666,41,74.5,7.4,2024-06-20T18:33:45.896Z
440009170,37.33221833333333,126.62015333333333,40,75.8,7.5,2024-06-20T18:33:35.614Z
440009170,37.33183833333333,126.61712166666666,42,80.1,7.2,2024-06-20T18:32:34.062Z
440009170,37.331785,126.61675333333334,42,79.7,7.2,2024-06-20T18:32:23.816Z
440009170,37.33166,126.61586333333334,43,79.8,7,2024-06-20T18:32:03.357Z
440009170,37.33092,126.61078333333333,42,82.3,7.8,2024-06-20T18:29:59.095Z
440009170,37.330888333333334,126.60817666666667,54,86.3,10.2,2024-06-20T18:29:07.829Z
440009170,37.333175,126.60388833333333,57,117.2,4.5,2024-06-20T18:27:14.959Z
440009170,37.333256666666664,126.60359,56,137.7,0.5,2024-06-20T18:27:04.697Z
440009170,37.333288333333336,126.6036,66,191,0.3,2024-06-20T18:26:44.293Z
440009170,37.333288333333336,126.6036,66,191,0.3,2024-06-20T18:26:44.289Z
440009170,37.333315,126.60360666666666,64,186,0.5,2024-06-20T18:26:23.851Z
440009170,37.333326666666665,126.60360666666666,62,190.9,0.5,2024-06-20T18:26:23.828Z
440009170,37.333328333333334,126.60360666666666,63,190.9,0.5,2024-06-20T18:26:23.823Z
440009170,37.333605,126.60369833333333,281,197.6,1.7,2024-06-20T18:25:21.213Z
440009170,37.33362,126.60370666666667,281,202.3,1.7,2024-06-20T18:25:21.204Z
440009170,37.33371666666667,126.60375333333333,287,203,2.2,2024-06-20T18:25:10.988Z
440009170,37.33434333333334,126.60412333333333,293,211.5,4.2,2024-06-20T18:24:19.965Z
440009170,37.33437833333333,126.60414833333333,293,212.6,4.2,2024-06-20T18:24:19.954Z
440009170,37.33483666666667,126.604595,299,223.5,6.6,2024-06-20T18:23:59.428Z
440009170,37.335635,126.60596333333334,313,244.5,8.3,2024-06-20T18:23:18.473Z
440009170,37.33588666666667,126.60677666666666,323,260.7,8.2,2024-06-20T18:22:57.877Z
440009170,37.33588833333334,126.60787333333333,331,277,8.7,2024-06-20T18:22:37.367Z
440009170,37.335665,126.60943333333333,333,280.7,8.8,2024-06-20T18:22:06.645Z
440009170,37.33535333333333,126.61154333333333,332,279.7,10.3,2024-06-20T18:21:25.533Z
440009170,37.33528333333334,126.61207833333333,333,279.9,10.4,2024-06-20T18:21:15.230Z
440009170,37.335195,126.612735,333,280.4,10.4,2024-06-20T18:21:04.998Z
440009170,37.33510833333333,126.61332666666667,333,280.1,10.3,2024-06-20T18:21:04.955Z
440009170,37.334873333333334,126.615115,332,277.7,10.2,2024-06-20T18:20:34.202Z
440009170,37.33477166666667,126.61804333333333,327,269.5,10.3,2024-06-20T18:19:42.911Z
440009170,37.33478,126.61870333333333,327,268.1,10.3,2024-06-20T18:19:32.612Z
440009170,37.33483,126.61994,325,264.2,11.2,2024-06-20T18:19:11.559Z
440009170,37.33489333333333,126.62059,323,262.4,11.2,2024-06-20T18:19:01.233Z
440009170,37.33504666666666,126.621825,323,261.8,11.3,2024-06-20T18:18:40.698Z
440009170,37.335343333333334,126.62451,324,263,11.4,2024-06-20T18:17:59.508Z
440009170,37.33546333333334,126.62576333333334,324,262.1,11.4,2024-06-20T18:17:39.069Z
440009170,37.335651666666664,126.62779666666667,324,264.9,11.4,2024-06-20T18:17:08.267Z
440009170,37.33588,126.63231333333333,326,267.2,11.3,2024-06-20T18:15:56.459Z
