Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
352374000,37.34174333333333,126.625425,269,135.7,0,2024-06-16T18:49:59.061Z
352374000,37.34173166666667,126.62547166666667,269,226.9,0.1,2024-06-16T18:47:02.990Z
352374000,37.3418,126.62541666666667,269,5,0,2024-06-16T18:41:05.886Z
352374000,37.34175333333334,126.62540333333334,269,337.6,0,2024-06-16T18:31:58.019Z
352374000,37.34179833333334,126.625495,269,359.6,0,2024-06-16T18:26:05.977Z
352374000,37.341875,126.62535,270,141.1,0,2024-06-16T18:20:04.534Z
352374000,37.341816666666666,126.62551833333333,270,325.3,0,2024-06-16T18:11:04.876Z
352374000,37.34206666666667,126.625345,270,355.8,0,2024-06-16T18:08:50.505Z
352374000,37.34200166666667,126.62545666666666,270,140.1,0,2024-06-16T18:08:40.218Z
352374000,37.342016666666666,126.62555,270,157.4,0.4,2024-06-16T18:08:29.978Z
352374000,37.341908333333336,126.62554333333334,270,147.7,0,2024-06-16T18:08:29.953Z
352374000,37.341825,126.6255,270,147.7,0,2024-06-16T18:08:19.423Z
352374000,37.34181,126.62546833333333,270,147.7,0,2024-06-16T18:07:58.949Z
352374000,37.34185,126.62542666666667,270,147.7,0,2024-06-16T18:07:58.921Z
352374000,37.34189833333333,126.625415,270,147.7,0.1,2024-06-16T18:07:38.502Z
352374000,37.34198833333333,126.625365,270,34.1,0.1,2024-06-16T18:07:38.476Z
352374000,37.34181,126.625485,270,20.8,0,2024-06-16T18:07:28.225Z
352374000,37.341793333333335,126.62546833333333,270,2,0.2,2024-06-16T18:07:17.956Z
352374000,37.34175,126.62541833333333,271,356.5,0.2,2024-06-16T18:07:07.662Z
352374000,37.341795,126.62538833333333,270,357.5,0.2,2024-06-16T18:06:56.917Z
352374000,37.34178166666667,126.62538833333333,270,43.4,0.2,2024-06-16T18:06:36.324Z
352374000,37.34186,126.62528666666667,270,75.6,0.3,2024-06-16T18:06:15.683Z
352374000,37.341771666666666,126.62534333333333,271,9.4,0.3,2024-06-16T18:05:34.738Z
352374000,37.34167333333333,126.62532833333333,273,336.1,0.4,2024-06-16T18:05:14.229Z
352374000,37.341656666666665,126.62532,273,307.6,0.5,2024-06-16T18:04:53.554Z
