Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477629400,37.330848333333336,126.35764666666667,265,262.4,11.4,2024-06-22T10:37:33.895Z
477629400,37.33130833333333,126.3622,265,262.3,11.4,2024-06-22T10:36:38.137Z
477629400,37.331745,126.36682,265,263.4,11.4,2024-06-22T10:35:27.408Z
477629400,37.33199666666667,126.36946333333333,264,263.5,11.5,2024-06-22T10:34:52.077Z
477629400,37.33254,126.37554333333334,265,262.8,11.7,2024-06-22T10:33:20.216Z
477629400,37.33285333333333,126.37886166666667,265,263.3,11.8,2024-06-22T10:32:24.772Z
477629400,37.33340333333334,126.38501833333333,265,262.8,11.9,2024-06-22T10:31:06.865Z
477629400,37.33354333333333,126.38646,265,262.2,11.9,2024-06-22T10:30:31.574Z
477629400,37.333605,126.38708,265,261.7,11.9,2024-06-22T10:30:31.545Z
477629400,37.33385166666667,126.38920333333333,264,257.7,11.9,2024-06-22T10:29:56.248Z
477629400,37.33395,126.38981666666666,263,257.1,12,2024-06-22T10:29:56.214Z
477629400,37.334205,126.39124666666666,260,258.2,12,2024-06-22T10:29:20.997Z
477629400,37.334325,126.39201333333334,260,258.1,12,2024-06-22T10:29:20.940Z
477629400,37.335186666666665,126.397445,260,258.4,12.1,2024-06-22T10:27:49.281Z
477629400,37.33528666666667,126.398065,260,258.5,12.1,2024-06-22T10:27:49.239Z
477629400,37.335825,126.4016,261,260.8,12.3,2024-06-22T10:26:58.608Z
477629400,37.335906666666666,126.402235,261,261.6,12.3,2024-06-22T10:26:43.259Z
477629400,37.33606833333333,126.40372666666667,263,263,12.3,2024-06-22T10:26:17.673Z
477629400,37.336135,126.40451333333333,264,262.2,12.4,2024-06-22T10:26:17.629Z
477629400,37.336506666666665,126.408005,265,261.9,12.4,2024-06-22T10:25:27.143Z
477629400,37.336595,126.40879,265,262.3,12.4,2024-06-22T10:25:27.095Z
477629400,37.33674,126.41014333333334,265,262.3,12.4,2024-06-22T10:24:51.888Z
477629400,37.336805,126.41078666666667,265,262.2,12.4,2024-06-22T10:24:51.855Z
477629400,37.33696166666667,126.41229333333334,265,262.1,12.4,2024-06-22T10:24:16.480Z
477629400,37.337041666666664,126.41308,265,261.9,12.4,2024-06-22T10:24:06.222Z
477629400,37.33711,126.413725,265,261.5,12.4,2024-06-22T10:24:06.182Z
477629400,37.3372,126.41451166666667,265,261.3,12.4,2024-06-22T10:23:56.005Z
477629400,37.337286666666664,126.415225,265,261.4,12.4,2024-06-22T10:23:55.959Z
477629400,37.33743666666667,126.41658166666667,265,261.7,12.4,2024-06-22T10:23:20.779Z
477629400,37.337525,126.41736666666667,265,261.8,12.4,2024-06-22T10:23:20.738Z
477629400,37.33775166666667,126.419505,265,262,12.3,2024-06-22T10:22:45.392Z
477629400,37.337975,126.42163,265,261.8,12.2,2024-06-22T10:22:09.407Z
477629400,37.338118333333334,126.42297166666667,265,261.2,12.2,2024-06-22T10:21:59.134Z
477629400,37.338208333333334,126.42374666666667,265,261,12.2,2024-06-22T10:21:48.918Z
477629400,37.33844833333333,126.42571166666667,264,261.4,12.1,2024-06-22T10:21:16.534Z
477629400,37.338615,126.42718,265,261.1,12.1,2024-06-22T10:21:06.287Z
477629400,37.338785,126.428575,264,260.7,12,2024-06-22T10:20:31.019Z
477629400,37.33887,126.42926833333334,264,261.4,12,2024-06-22T10:20:20.703Z
477629400,37.338946666666665,126.42989333333334,264,261.9,12,2024-06-22T10:20:20.657Z
477629400,37.339108333333336,126.43141666666666,264,262.3,12,2024-06-22T10:19:54.089Z
477629400,37.33917833333334,126.43210666666667,265,262.4,11.9,2024-06-22T10:19:54.042Z
477629400,37.33925333333333,126.432795,265,262.9,11.9,2024-06-22T10:19:28.871Z
477629400,37.339315,126.433415,264,263.9,11.9,2024-06-22T10:19:18.603Z
477629400,37.33936166666667,126.434035,265,263.6,11.9,2024-06-22T10:19:18.566Z
477629400,37.33947,126.43541,265,263.6,11.8,2024-06-22T10:19:03.340Z
477629400,37.339545,126.43622666666667,265,263.4,11.7,2024-06-22T10:18:38.229Z
477629400,37.339605,126.436905,265,264.1,11.7,2024-06-22T10:18:38.193Z
477629400,37.339655,126.437585,265,264.4,11.6,2024-06-22T10:18:38.158Z
477629400,37.33978833333333,126.43947,266,265.3,11.4,2024-06-22T10:18:02.843Z
477629400,37.33989,126.441595,267,268.7,11.3,2024-06-22T10:17:27.594Z
477629400,37.339908333333334,126.44212166666667,267,270.2,11.2,2024-06-22T10:17:27.547Z
477629400,37.339733333333335,126.445255,275,284.6,11.2,2024-06-22T10:16:17.061Z
477629400,37.33969166666667,126.44551166666666,276,286.1,11.2,2024-06-22T10:16:17.043Z
477629400,37.339666666666666,126.44563833333333,276,286.8,11.2,2024-06-22T10:16:17.028Z
477629400,37.339615,126.44589166666667,277,288.2,11.2,2024-06-22T10:16:06.827Z
477629400,37.339465,126.44652,281,292,11.2,2024-06-22T10:16:06.781Z
477629400,37.33941333333333,126.446705,282,293.1,11.2,2024-06-22T10:16:06.767Z
477629400,37.33915666666667,126.447495,287,298.2,11.3,2024-06-22T10:15:41.464Z
477629400,37.339065,126.44773166666667,288,299.6,11.3,2024-06-22T10:15:41.451Z
477629400,37.338968333333334,126.447965,290,301,11.3,2024-06-22T10:15:41.434Z
477629400,37.33891833333333,126.44808166666667,291,301.7,11.3,2024-06-22T10:15:31.168Z
477629400,37.337801666666664,126.45008833333333,305,311.4,11.3,2024-06-22T10:15:04.784Z
477629400,37.33748833333333,126.45053666666666,309,312.4,11.3,2024-06-22T10:15:04.665Z
477629400,37.33710166666667,126.45108,311,314.2,11.3,2024-06-22T10:14:34.140Z
477629400,37.33674,126.45155833333334,314,316,11.3,2024-06-22T10:14:34.100Z
477629400,37.336365,126.45202166666667,316,317.7,11.3,2024-06-22T10:14:23.755Z
477629400,37.33557833333333,126.45290333333334,320,320.2,11.3,2024-06-22T10:13:58.157Z
477629400,37.335215,126.45328666666667,322,321,11.3,2024-06-22T10:13:58.115Z
477629400,37.33476,126.45374166666667,324,320.6,11.3,2024-06-22T10:13:47.859Z
477629400,37.333165,126.45547333333333,325,316.2,11.3,2024-06-22T10:13:12.640Z
477629400,37.3324,126.45638666666666,325,315,11.3,2024-06-22T10:12:37.239Z
477629400,37.33201,126.45683333333334,325,311.2,11.5,2024-06-22T10:12:26.880Z
477629400,37.331005,126.45841666666666,319,304.1,11.7,2024-06-22T10:12:01.335Z
477629400,37.33007,126.46008666666667,314,304.8,11.6,2024-06-22T10:11:45.912Z
477629400,37.329451666666664,126.46119333333333,313,301.2,11.6,2024-06-22T10:11:10.563Z
477629400,37.32917166666667,126.46177166666666,311,300.8,11.5,2024-06-22T10:11:10.524Z
477629400,37.32888666666667,126.462345,310,299.7,11.5,2024-06-22T10:10:55.333Z
477629400,37.326771666666666,126.46693,305,295.2,11.5,2024-06-22T10:09:33.370Z
477629400,37.32572,126.470795,292,277.3,12.1,2024-06-22T10:08:42.761Z
477629400,37.32552166666667,126.47291,284,271.6,12.4,2024-06-22T10:08:07.368Z
477629400,37.325493333333334,126.4737,281,269.9,12.4,2024-06-22T10:08:07.318Z
477629400,37.32555,126.47721,272,266.5,12.2,2024-06-22T10:06:56.643Z
477629400,37.32566833333333,126.48004166666666,269,265.6,12,2024-06-22T10:06:21.107Z
477629400,37.325891666666664,126.48287,266,263.7,11.5,2024-06-22T10:05:45.604Z
477629400,37.325995,126.48413166666667,266,264.1,11.1,2024-06-22T10:05:30.354Z
477629400,37.32617666666667,126.48671,267,264.5,10.3,2024-06-22T10:04:39.746Z
477629400,37.32626166666667,126.48783833333333,267,263.4,9.9,2024-06-22T10:04:24.389Z
477629400,37.32673666666667,126.493355,266,263,8.9,2024-06-22T10:02:38.717Z
477629400,37.32678,126.493875,266,262.1,8.8,2024-06-22T10:02:38.679Z
477629400,37.326825,126.49433666666667,266,261.5,8.8,2024-06-22T10:02:28.556Z
477629400,37.32689666666667,126.49489166666666,265,263,8.7,2024-06-22T10:02:28.411Z
477629400,37.32706833333334,126.49686833333334,266,263.1,8.1,2024-06-22T10:01:37.717Z
477629400,37.32725333333333,126.49920166666666,266,263.7,7.8,2024-06-22T10:00:40.702Z
477629400,37.32747666666667,126.501955,266,263.4,8.4,2024-06-22T09:59:50.068Z
477629400,37.32759166666666,126.50341833333333,266,263.3,8.8,2024-06-22T09:59:14.637Z
477629400,37.32763166666667,126.50387,266,263.8,8.9,2024-06-22T09:59:04.401Z
477629400,37.327756666666666,126.505475,266,263.5,9.3,2024-06-22T09:58:29.139Z
477629400,37.327795,126.50595333333334,266,263.3,9.4,2024-06-22T09:58:29.110Z
477629400,37.328095,126.509585,266,264.2,10.3,2024-06-22T09:57:33.799Z
477629400,37.32812,126.50993666666666,266,264.1,10.4,2024-06-22T09:57:33.782Z
