Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
563158400,37.34105,126.63215,270,341.9,0,2024-06-14T00:02:46.747Z
563158400,37.34171666666666,126.63113333333334,270,341.9,0,2024-06-13T23:50:47.096Z
563158400,37.34171666666666,126.63113333333334,270,341.9,0,2024-06-13T23:44:46.676Z
563158400,37.34171666666666,126.63111666666667,270,341.9,0,2024-06-13T23:32:45.287Z
563158400,37.3417,126.63113333333334,270,341.9,0,2024-06-13T23:20:55.315Z
563158400,37.3417,126.63115,270,341.9,0,2024-06-13T23:11:48.747Z
563158400,37.3417,126.63115,270,341.9,0,2024-06-13T23:08:54.020Z
563158400,37.341683333333336,126.63116666666667,270,341.9,0,2024-06-13T23:02:42.393Z
563158400,37.3417,126.63115,270,341.9,0,2024-06-13T22:50:42.863Z
563158400,37.34166666666667,126.63105,270,347.2,0,2024-06-13T21:31:24.685Z
563158400,37.34165,126.63105,270,347.2,0.2,2024-06-13T21:30:43.211Z
563158400,37.341633333333334,126.63105,270,343,0.3,2024-06-13T21:29:10.893Z
563158400,37.34161666666667,126.63106666666667,271,337.1,0.2,2024-06-13T21:29:00.605Z
563158400,37.34161666666667,126.63106666666667,271,337.1,0.1,2024-06-13T21:28:50.376Z
563158400,37.34161666666667,126.63106666666667,271,337.1,0.2,2024-06-13T21:28:40.200Z
563158400,37.341566666666665,126.63111666666667,270,329,0.4,2024-06-13T21:28:19.563Z
563158400,37.341483333333336,126.63123333333333,266,331.6,0.6,2024-06-13T21:27:07.497Z
563158400,37.34145,126.63125,264,336,1.1,2024-06-13T21:26:57.175Z
563158400,37.3414,126.63128333333333,265,339.2,1.3,2024-06-13T21:26:46.900Z
563158400,37.341116666666665,126.63143333333333,264,326.2,1.6,2024-06-13T21:25:55.499Z
563158400,37.34086666666666,126.63163333333334,265,317.9,1.9,2024-06-13T21:25:14.567Z
563158400,37.3408,126.63171666666666,266,316.6,1.9,2024-06-13T21:25:04.307Z
563158400,37.34073333333333,126.63178333333333,266,312.6,2,2024-06-13T21:24:52.937Z
563158400,37.340666666666664,126.63188333333333,266,315.9,2.2,2024-06-13T21:24:42.467Z
563158400,37.34056666666667,126.63201666666667,267,318.2,2.3,2024-06-13T21:24:32.187Z
563158400,37.34035,126.63225,268,339.2,2,2024-06-13T21:24:01.424Z
563158400,37.34025,126.63228333333333,267,343,2,2024-06-13T21:23:51.257Z
563158400,37.34008333333333,126.63235,267,349.7,1.9,2024-06-13T21:23:40.878Z
563158400,37.33965,126.63236666666667,267,0.3,2.6,2024-06-13T21:22:49.626Z
563158400,37.33963333333333,126.63236666666667,267,1.7,2.7,2024-06-13T21:22:49.605Z
563158400,37.33946666666667,126.63236666666667,270,3.4,2.6,2024-06-13T21:22:39.339Z
563158400,37.339416666666665,126.63236666666667,272,6.1,2.6,2024-06-13T21:22:29.156Z
563158400,37.339333333333336,126.63235,273,8.2,2.7,2024-06-13T21:22:29.105Z
563158400,37.339283333333334,126.63233333333334,274,7.6,2.7,2024-06-13T21:22:18.737Z
563158400,37.33918333333333,126.63231666666667,277,10.1,2.8,2024-06-13T21:22:08.405Z
563158400,37.33905,126.63226666666667,281,14.1,2.9,2024-06-13T21:21:58.141Z
563158400,37.33891666666667,126.63223333333333,285,18.2,3,2024-06-13T21:21:58.099Z
563158400,37.33883333333333,126.63221666666666,288,22,3,2024-06-13T21:21:47.809Z
563158400,37.33866666666667,126.63211666666666,296,34.1,2.8,2024-06-13T21:21:37.507Z
563158400,37.33846666666667,126.63193333333334,306,45.5,2.7,2024-06-13T21:21:17.033Z
563158400,37.33841666666667,126.63186666666667,310,49.4,2.7,2024-06-13T21:21:06.821Z
563158400,37.338316666666664,126.63173333333333,318,50.8,2.8,2024-06-13T21:20:56.604Z
563158400,37.33813333333333,126.63145,338,60.3,2.9,2024-06-13T21:20:36.109Z
563158400,37.338116666666664,126.63141666666667,340,63.2,2.9,2024-06-13T21:20:36.104Z
563158400,37.33795,126.63088333333333,10,77.1,3,2024-06-13T21:20:05.263Z
563158400,37.33795,126.63083333333333,13,82.5,2.8,2024-06-13T21:20:05.242Z
563158400,37.33793333333333,126.63061666666667,23,76.7,2.7,2024-06-13T21:19:44.770Z
563158400,37.337916666666665,126.63058333333333,25,75.9,2.6,2024-06-13T21:19:44.755Z
563158400,37.337916666666665,126.63051666666667,27,73.8,2.6,2024-06-13T21:19:44.745Z
563158400,37.3379,126.63045,29,71.5,2.6,2024-06-13T21:19:34.532Z
563158400,37.3379,126.63041666666666,29,71,2.5,2024-06-13T21:19:34.523Z
563158400,37.33788333333333,126.63035,31,67.4,2.4,2024-06-13T21:19:34.497Z
563158400,37.33785,126.63025,31,65,2.4,2024-06-13T21:19:24.310Z
