Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33573,126.60747666666667,350,316,0.4,2024-06-14T00:06:02.366Z
440009170,37.335543333333334,126.60764666666667,339,327.8,0.5,2024-06-14T00:04:29.547Z
440009170,37.335498333333334,126.607675,335,324.3,0.5,2024-06-14T00:04:09.047Z
440009170,37.33547166666666,126.60770333333333,331,319.9,0.5,2024-06-14T00:03:48.481Z
440009170,37.33545,126.60772833333333,328,321.6,0.5,2024-06-14T00:03:38.209Z
440009170,37.335315,126.60795166666666,310,299.3,0.4,2024-06-14T00:01:55.381Z
440009170,37.335305,126.607975,309,300.1,0.4,2024-06-14T00:01:45.249Z
440009170,37.335298333333334,126.60799333333334,308,293.7,0.3,2024-06-14T00:01:34.935Z
440009170,37.33526833333333,126.60809833333333,307,295.6,0.3,2024-06-14T00:00:43.108Z
440009170,37.335251666666665,126.60814,307,295.6,0.4,2024-06-14T00:00:22.271Z
440009170,37.335231666666665,126.60820333333334,307,295.6,0.3,2024-06-13T23:59:51.658Z
440009170,37.33511166666667,126.608615,303,288.4,0.3,2024-06-13T23:56:26.307Z
440009170,37.33503666666667,126.60894,298,254.7,0.4,2024-06-13T23:54:01.709Z
440009170,37.335033333333335,126.60905,295,230.8,0.3,2024-06-13T23:53:10.558Z
440009170,37.335035,126.60933833333333,282,179.6,0.1,2024-06-13T23:50:05.948Z
440009170,37.33504333333333,126.60936333333333,281,179.6,0.3,2024-06-13T23:49:45.281Z
440009170,37.33508833333333,126.609455,278,179.6,0.2,2024-06-13T23:48:32.691Z
440009170,37.3351,126.60950166666667,277,179.6,0.2,2024-06-13T23:48:01.975Z
440009170,37.33512833333333,126.60958333333333,277,179.6,0.2,2024-06-13T23:47:10.547Z
440009170,37.33514666666667,126.60961666666667,276,179.6,0.1,2024-06-13T23:46:39.863Z
440009170,37.33515666666667,126.609645,276,179.6,0.1,2024-06-13T23:46:19.343Z
440009170,37.33517333333333,126.609695,277,179.6,0.2,2024-06-13T23:45:38.273Z
440009170,37.33520166666667,126.60979166666667,276,179.6,0.2,2024-06-13T23:44:26.112Z
440009170,37.335215,126.60981333333334,276,179.6,0.2,2024-06-13T23:44:05.629Z
440009170,37.33522333333333,126.60985333333333,277,179.6,0.2,2024-06-13T23:43:24.563Z
440009170,37.335226666666664,126.60986666666666,278,179.6,0.2,2024-06-13T23:43:14.335Z
440009170,37.33526666666667,126.60997833333333,280,179.6,0.2,2024-06-13T23:41:51.159Z
440009170,37.335523333333335,126.610215,282,179.6,0.3,2024-06-13T23:37:45.056Z
440009170,37.33553666666667,126.61021833333334,282,179.6,0.2,2024-06-13T23:37:34.743Z
440009170,37.335663333333336,126.61030666666667,280,179.6,0.3,2024-06-13T23:36:00.651Z
440009170,37.336215,126.61036833333333,282,194.8,0.5,2024-06-13T23:30:52.005Z
440009170,37.336605,126.61060666666667,302,223.8,0.8,2024-06-13T23:28:28.290Z
440009170,37.33678333333334,126.61088,311,236.1,1.3,2024-06-13T23:27:26.432Z
440009170,37.33717166666667,126.612095,319,254.8,2.9,2024-06-13T23:25:22.168Z
440009170,37.33736,126.61704666666667,328,271.7,7.5,2024-06-13T23:23:08.775Z
440009170,37.33739333333333,126.61916833333333,327,269,7.5,2024-06-13T23:22:17.504Z
440009170,37.33738833333334,126.62051666666666,328,273,7.4,2024-06-13T23:21:46.748Z
440009170,37.337355,126.62107,330,274.7,7.3,2024-06-13T23:21:36.442Z
440009170,37.337313333333334,126.62166,330,274.6,7.1,2024-06-13T23:21:15.919Z
440009170,37.33730666666667,126.62174333333333,330,274.4,7.1,2024-06-13T23:21:15.905Z
440009170,37.33741333333333,126.62309333333333,321,255.4,5.8,2024-06-13T23:20:45.039Z
440009170,37.337446666666665,126.623245,320,253.1,5.1,2024-06-13T23:20:34.901Z
440009170,37.33753,126.62349,311,230.2,3.3,2024-06-13T23:20:24.563Z
440009170,37.33755166666667,126.62352833333334,305,220.8,2.6,2024-06-13T23:20:24.544Z
440009170,37.33759666666667,126.62356166666666,291,191.3,1.6,2024-06-13T23:20:14.311Z
440009170,37.33764166666667,126.62356,277,165.1,0.6,2024-06-13T23:20:14.275Z
440009170,37.33765,126.62355666666667,270,223,0,2024-06-13T23:19:52.446Z
440009170,37.33765,126.62356166666666,270,223,0.1,2024-06-13T23:19:31.953Z
440009170,37.33764,126.62355,270,223,0,2024-06-13T23:19:21.650Z
440009170,37.33762,126.62353333333333,269,223,0.1,2024-06-13T23:18:40.450Z
440009170,37.33761333333333,126.62351166666667,268,223,0,2024-06-13T23:18:09.646Z
440009170,37.33759166666667,126.62325,269,223,0.1,2024-06-13T23:13:10.746Z
440009170,37.33774,126.62299666666667,280,223,0.2,2024-06-13T23:08:23.337Z
440009170,37.337785,126.62302666666666,287,223,0.4,2024-06-13T23:07:52.258Z
440009170,37.33779833333333,126.62304666666667,289,223,0.4,2024-06-13T23:07:42.017Z
