Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538010006,37.34169,126.63258833333333,90,345.2,0,2024-06-10T17:56:22.519Z
538010006,37.34166833333333,126.63262833333333,90,345.2,0,2024-06-10T17:53:17.820Z
538010006,37.341681666666666,126.63262333333333,90,345.2,0,2024-06-10T17:50:22.275Z
538010006,37.341656666666665,126.63259666666667,90,345.2,0,2024-06-10T17:47:17.508Z
538010006,37.34168833333333,126.63262666666667,90,345.2,0,2024-06-10T17:44:22.870Z
538010006,37.341655,126.63262,90,345.2,0,2024-06-10T17:38:21.291Z
538010006,37.34162833333333,126.63254166666667,89,26.2,0.3,2024-06-10T17:06:13.809Z
538010006,37.34161666666667,126.63253666666667,89,25.7,0.3,2024-06-10T17:06:03.575Z
538010006,37.34160333333333,126.63253166666667,89,26.1,0.3,2024-06-10T17:05:53.280Z
538010006,37.341588333333334,126.63252666666666,90,25.7,0.3,2024-06-10T17:05:43.044Z
538010006,37.341573333333336,126.63251833333334,90,26,0.3,2024-06-10T17:05:32.875Z
538010006,37.34151,126.63248666666667,91,12.1,0.5,2024-06-10T17:04:51.785Z
538010006,37.34144333333333,126.63245666666667,89,29.8,0.7,2024-06-10T17:04:20.982Z
538010006,37.34139166666667,126.63240666666667,86,40.4,0.9,2024-06-10T17:04:00.462Z
538010006,37.341361666666664,126.63237333333333,84,45.8,1,2024-06-10T17:03:50.213Z
538010006,37.3412,126.63215666666666,81,48.8,1.3,2024-06-10T17:02:58.647Z
538010006,37.34115833333333,126.63209833333333,81,46.1,1.4,2024-06-10T17:02:48.460Z
538010006,37.341121666666666,126.63205,80,43.5,1.4,2024-06-10T17:02:38.246Z
538010006,37.341075,126.631995,78,42.7,1.5,2024-06-10T17:02:28.063Z
538010006,37.341006666666665,126.63192166666667,75,44.9,1.6,2024-06-10T17:02:17.763Z
538010006,37.340965,126.631875,74,48.7,1.7,2024-06-10T17:02:07.489Z
538010006,37.34091333333333,126.63180833333334,72,52,1.7,2024-06-10T17:01:57.192Z
538010006,37.34086666666666,126.63173,70,52.9,1.7,2024-06-10T17:01:46.767Z
538010006,37.34078,126.631565,68,54.2,1.7,2024-06-10T17:01:24.870Z
538010006,37.34064333333333,126.63131333333334,66,55.7,1.7,2024-06-10T17:00:54.128Z
538010006,37.34050833333333,126.63107833333333,63,58,1.7,2024-06-10T17:00:23.468Z
538010006,37.3403,126.63068333333334,58,61.2,1.4,2024-06-10T16:59:32.341Z
538010006,37.340273333333336,126.63060666666667,58,65,1.3,2024-06-10T16:59:22.114Z
538010006,37.34025166666667,126.630525,58,67.7,1.2,2024-06-10T16:59:11.877Z
538010006,37.340235,126.63046,58,66.5,1.2,2024-06-10T16:59:01.638Z
538010006,37.340195,126.63034166666667,58,63.8,1.2,2024-06-10T16:58:51.308Z
538010006,37.34014,126.63021833333333,58,62.5,1.6,2024-06-10T16:58:30.746Z
538010006,37.34009833333333,126.63013333333333,58,62.6,1.9,2024-06-10T16:58:20.429Z
538010006,37.33997333333333,126.62985,59,62.8,2.6,2024-06-10T16:57:49.770Z
538010006,37.339913333333335,126.62971,59,62.5,3,2024-06-10T16:57:39.484Z
538010006,37.33978333333334,126.62939833333333,59,62.7,3.5,2024-06-10T16:57:18.961Z
538010006,37.33962833333333,126.62902666666666,59,64.5,4,2024-06-10T16:56:58.402Z
538010006,37.339378333333336,126.62837,61,66.7,4.2,2024-06-10T16:56:27.710Z
538010006,37.33909666666667,126.62748333333333,65,70.2,4.5,2024-06-10T16:55:46.861Z
538010006,37.339016666666666,126.62719,67,70.6,4.5,2024-06-10T16:55:36.620Z
538010006,37.33888,126.62670166666666,69,71,4.6,2024-06-10T16:55:15.517Z
538010006,37.338678333333334,126.62597166666667,72,71.1,4.8,2024-06-10T16:54:44.615Z
538010006,37.33853833333333,126.62541333333333,73,68.2,4.8,2024-06-10T16:54:24.105Z
538010006,37.33819166666667,126.62441666666666,71,62.4,4.9,2024-06-10T16:53:42.899Z
538010006,37.338065,126.62414666666666,70,61.5,5,2024-06-10T16:53:32.626Z
538010006,37.33795,126.62389666666667,69,61,5.1,2024-06-10T16:53:22.333Z
538010006,37.337835,126.62363833333333,68,60.4,5.1,2024-06-10T16:53:12.085Z
538010006,37.33772666666667,126.62340166666667,67,60,5.2,2024-06-10T16:53:01.849Z
538010006,37.33749,126.62288166666667,66,59,5.3,2024-06-10T16:52:51.572Z
538010006,37.33737166666667,126.62261666666667,65,58.6,5.4,2024-06-10T16:52:41.286Z
538010006,37.33710166666667,126.622075,64,57.6,5.5,2024-06-10T16:52:20.696Z
538010006,37.33694333333333,126.621785,63,57.2,5.6,2024-06-10T16:52:10.459Z
538010006,37.33667833333333,126.62127166666667,62,56.7,5.7,2024-06-10T16:51:50.032Z
538010006,37.33623333333333,126.62038333333334,61,58,5.9,2024-06-10T16:51:19.206Z
538010006,37.3361,126.62009,61,57.8,5.9,2024-06-10T16:51:08.921Z
538010006,37.33584166666667,126.619575,61,57,5.9,2024-06-10T16:50:48.353Z
538010006,37.335681666666666,126.61926166666667,60,57.2,5.9,2024-06-10T16:50:38.111Z
538010006,37.33552,126.61894833333334,60,58.2,5.9,2024-06-10T16:50:27.797Z
538010006,37.335393333333336,126.61868666666666,60,58.2,5.9,2024-06-10T16:50:17.529Z
538010006,37.335233333333335,126.61837,60,58.2,5.9,2024-06-10T16:50:07.215Z
538010006,37.335098333333335,126.61810166666666,60,58.2,5.9,2024-06-10T16:49:56.981Z
538010006,37.33494,126.61777666666667,60,58.3,5.9,2024-06-10T16:49:46.728Z
538010006,37.3348,126.61748833333333,60,58.4,5.9,2024-06-10T16:49:36.428Z
538010006,37.33467666666667,126.617235,60,58.7,5.9,2024-06-10T16:49:25.894Z
538010006,37.33453333333333,126.61694833333334,60,59.1,5.9,2024-06-10T16:49:15.615Z
538010006,37.33425166666667,126.61636166666666,60,59.1,5.9,2024-06-10T16:48:54.930Z
538010006,37.33409833333333,126.61604,60,59.3,5.9,2024-06-10T16:48:44.621Z
538010006,37.333958333333335,126.615745,60,59.7,5.9,2024-06-10T16:48:34.461Z
538010006,37.33383,126.615485,60,60.1,5.9,2024-06-10T16:48:24.164Z
538010006,37.333693333333336,126.61519333333334,60,60.2,5.9,2024-06-10T16:48:13.904Z
538010006,37.33355,126.61487,60,60.9,5.9,2024-06-10T16:48:03.604Z
538010006,37.33343,126.614605,61,62,5.9,2024-06-10T16:47:53.339Z
