Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477885900,37.33828833333333,126.63215333333333,342,28,2.8,2024-06-16T07:34:56.215Z
477885900,37.337718333333335,126.63168,4,42.7,3.5,2024-06-16T07:34:15.038Z
477885900,37.337621666666664,126.63157166666667,8,45.7,3.7,2024-06-16T07:34:04.805Z
477885900,37.33756,126.63149666666666,11,47.7,3.8,2024-06-16T07:34:04.782Z
477885900,37.33749666666667,126.63141666666667,13,49.7,3.9,2024-06-16T07:33:54.504Z
477885900,37.337435,126.631335,16,52,4,2024-06-16T07:33:54.479Z
477885900,37.337318333333336,126.63115,22,56.4,4.1,2024-06-16T07:33:44.217Z
477885900,37.33726333333333,126.63105,24,58.5,4.2,2024-06-16T07:33:33.883Z
477885900,37.33719,126.63090666666666,28,61.4,4.2,2024-06-16T07:33:33.855Z
477885900,37.337048333333335,126.63057333333333,36,66.5,4.3,2024-06-16T07:33:13.298Z
477885900,37.33698,126.630385,41,67.9,4.3,2024-06-16T07:33:03.016Z
477885900,37.33695,126.63029,43,68.2,4.3,2024-06-16T07:33:03.003Z
477885900,37.33694166666667,126.63026666666667,44,68.2,4.2,2024-06-16T07:33:02.996Z
477885900,37.33690333333333,126.63015166666666,46,68.2,4.2,2024-06-16T07:32:52.876Z
477885900,37.336888333333334,126.63010666666666,47,68.2,4.2,2024-06-16T07:32:52.863Z
477885900,37.336866666666666,126.63003833333333,48,68.4,4.2,2024-06-16T07:32:52.832Z
477885900,37.33674,126.62962666666667,53,70.2,4.3,2024-06-16T07:32:31.205Z
477885900,37.336693333333336,126.62946166666667,55,70.8,4.3,2024-06-16T07:32:20.955Z
477885900,37.33668,126.62941333333333,56,70.9,4.4,2024-06-16T07:32:20.946Z
477885900,37.336645,126.62929333333334,57,71.4,4.4,2024-06-16T07:32:20.925Z
477885900,37.33661333333333,126.62917,58,71.6,4.4,2024-06-16T07:32:10.743Z
477885900,37.33655,126.62892166666667,61,71.9,4.5,2024-06-16T07:32:00.448Z
477885900,37.336531666666666,126.62884666666666,61,71.9,4.5,2024-06-16T07:32:00.437Z
477885900,37.336525,126.62882166666667,61,71.9,4.5,2024-06-16T07:32:00.436Z
477885900,37.33636833333333,126.62821333333333,65,71.3,4.6,2024-06-16T07:31:39.974Z
477885900,37.33589833333333,126.62670666666666,65,64.5,4.8,2024-06-16T07:30:38.347Z
477885900,37.335341666666665,126.625155,64,69.5,4.9,2024-06-16T07:29:36.788Z
477885900,37.33524833333333,126.62483166666667,65,69.4,5,2024-06-16T07:29:26.540Z
477885900,37.3351,126.62433666666666,66,69.1,5.1,2024-06-16T07:29:06.063Z
477885900,37.334543333333336,126.62258833333334,66,69.2,5.4,2024-06-16T07:28:04.479Z
477885900,37.334451666666666,126.622295,66,70.2,5.4,2024-06-16T07:27:54.238Z
477885900,37.33429833333334,126.62172166666667,67,72.3,5.4,2024-06-16T07:27:33.702Z
477885900,37.334073333333336,126.62083,69,71.4,5.3,2024-06-16T07:27:02.860Z
477885900,37.33398833333333,126.62050833333333,69,71.3,5.3,2024-06-16T07:26:52.641Z
477885900,37.33356666666667,126.61899166666667,69,70.1,5.7,2024-06-16T07:26:10.979Z
477885900,37.332726666666666,126.61603666666667,69,70.7,6.4,2024-06-16T07:24:38.771Z
477885900,37.33181666666667,126.61223333333334,74,77,6.9,2024-06-16T07:22:56.237Z
477885900,37.331678333333336,126.61148333333334,75,76.1,7,2024-06-16T07:22:35.717Z
477885900,37.33126166666667,126.60940166666667,75,75.7,7.1,2024-06-16T07:21:44.367Z
477885900,37.33117166666667,126.60900666666667,75,75.6,7.1,2024-06-16T07:21:34.111Z
477885900,37.33078833333333,126.60699,76,79.4,7.3,2024-06-16T07:20:42.746Z
477885900,37.330663333333334,126.606155,77,81.5,7.3,2024-06-16T07:20:21.444Z
477885900,37.33054333333333,126.60486833333333,81,86.6,7.5,2024-06-16T07:20:00.879Z
477885900,37.33052333333333,126.60442833333333,83,86.6,7.6,2024-06-16T07:19:40.470Z
477885900,37.33047833333333,126.603545,85,85,7.6,2024-06-16T07:19:30.137Z
477885900,37.33011833333333,126.59857,84,85,8.1,2024-06-16T07:17:36.839Z
477885900,37.329925,126.59570166666667,85,86.7,8.5,2024-06-16T07:16:35.350Z
477885900,37.329876666666664,126.59420666666666,87,90.5,8.8,2024-06-16T07:16:04.594Z
477885900,37.32978833333333,126.58224333333334,89,89.2,11.2,2024-06-16T07:12:38.899Z
477885900,37.32978333333333,126.58159333333333,90,89.3,11.2,2024-06-16T07:12:28.639Z
477885900,37.329773333333335,126.58029,90,89.3,11.3,2024-06-16T07:12:08.165Z
477885900,37.32973833333333,126.57756666666667,90,89.4,11.4,2024-06-16T07:11:27.074Z
477885900,37.329721666666664,126.57629833333333,90,88.3,11.4,2024-06-16T07:11:06.550Z
477885900,37.329703333333335,126.57557333333334,89,88.3,11.5,2024-06-16T07:10:56.317Z
477885900,37.32964833333333,126.57229166666667,90,89,11.7,2024-06-16T07:10:05.010Z
477885900,37.329633333333334,126.57162166666667,90,89.1,11.8,2024-06-16T07:09:54.700Z
477885900,37.329585,126.569365,89,88.6,12,2024-06-16T07:09:23.719Z
477885900,37.32957,126.56852166666667,90,87.1,12,2024-06-16T07:09:13.418Z
477885900,37.32953166666667,126.56768333333333,89,86.4,12.1,2024-06-16T07:09:03.170Z
477885900,37.329503333333335,126.56726333333333,88,86.6,12.2,2024-06-16T07:08:52.968Z
477885900,37.32940833333333,126.56509333333334,88,87.5,12.4,2024-06-16T07:08:21.200Z
477885900,37.32938,126.564305,88,87,12.5,2024-06-16T07:08:10.961Z
477885900,37.329346666666666,126.56343666666666,88,86.9,12.6,2024-06-16T07:08:00.624Z
477885900,37.329328333333336,126.56292333333333,87,86.9,12.6,2024-06-16T07:07:50.393Z
477885900,37.329278333333335,126.56166333333333,88,87.3,12.8,2024-06-16T07:07:40.101Z
477885900,37.32926,126.56121833333333,88,87.1,12.9,2024-06-16T07:07:29.868Z
477885900,37.32923666666667,126.560695,88,87.1,12.9,2024-06-16T07:07:19.613Z
477885900,37.32922333333333,126.56031666666667,88,87.1,13,2024-06-16T07:07:19.595Z
477885900,37.329205,126.55978666666667,88,87,13,2024-06-16T07:07:09.293Z
477885900,37.32919166666667,126.55940833333334,87,87,13.1,2024-06-16T07:07:09.266Z
477885900,37.32917,126.55887833333334,87,87.3,13.2,2024-06-16T07:06:59.020Z
477885900,37.32915333333333,126.558425,87,87.3,13.3,2024-06-16T07:06:48.781Z
477885900,37.32909333333333,126.55712166666666,88,87.4,13.5,2024-06-16T07:06:38.392Z
477885900,37.329053333333334,126.55609,88,87.4,13.7,2024-06-16T07:06:28.187Z
477885900,37.32904,126.55568666666667,88,87.5,13.7,2024-06-16T07:06:17.958Z
477885900,37.329026666666664,126.5552,88,87.6,13.8,2024-06-16T07:06:07.663Z
477885900,37.329015,126.55471166666666,88,87.7,13.9,2024-06-16T07:06:07.637Z
477885900,37.32900333333333,126.554225,88,87.7,14,2024-06-16T07:05:57.391Z
477885900,37.32899,126.55365833333333,88,87.8,14.1,2024-06-16T07:05:57.368Z
477885900,37.32894,126.55226166666667,88,87.5,14.4,2024-06-16T07:05:36.872Z
477885900,37.32892,126.55176333333333,88,87.1,14.5,2024-06-16T07:05:26.658Z
477885900,37.328891666666664,126.55117666666666,88,87.1,14.6,2024-06-16T07:05:26.630Z
477885900,37.328873333333334,126.55075833333333,87,87.5,14.6,2024-06-16T07:05:16.402Z
477885900,37.32884833333333,126.55017,87,87.7,14.6,2024-06-16T07:05:16.375Z
477885900,37.32883,126.54975,87,87.7,14.6,2024-06-16T07:05:06.178Z
477885900,37.32879166666667,126.548655,88,87.8,14.7,2024-06-16T07:04:56.016Z
477885900,37.32874,126.54720333333333,88,87.6,14.8,2024-06-16T07:04:35.327Z
477885900,37.32872166666667,126.54669,88,87.3,14.8,2024-06-16T07:04:25.039Z
477885900,37.328696666666666,126.54609333333333,88,87,14.8,2024-06-16T07:04:25.007Z
477885900,37.32864166666667,126.54463833333334,87,88,14.8,2024-06-16T07:04:04.470Z
477885900,37.328628333333334,126.544115,88,88,14.9,2024-06-16T07:04:04.438Z
477885900,37.32861166666667,126.54350333333333,88,87.7,14.9,2024-06-16T07:03:54.243Z
477885900,37.328565,126.54201666666667,88,87.3,14.9,2024-06-16T07:03:33.675Z
477885900,37.32854833333333,126.54149666666666,87,87.3,15,2024-06-16T07:03:33.649Z
477885900,37.32853,126.54088833333333,87,87.5,15,2024-06-16T07:03:23.321Z
477885900,37.32850166666667,126.539925,87,87.7,15.1,2024-06-16T07:03:13.035Z
477885900,37.328485,126.53939666666666,88,87.8,15.1,2024-06-16T07:03:02.887Z
477885900,37.32846833333333,126.53887,88,87.7,15.1,2024-06-16T07:03:02.828Z
477885900,37.328445,126.53825833333333,88,87.6,15.1,2024-06-16T07:02:52.621Z
