Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477548900,37.34177666666667,126.62824833333333,268,308.8,0,2024-06-12T05:53:55.161Z
477548900,37.341735,126.628255,268,308,0.2,2024-06-12T05:36:04.846Z
477548900,37.341845,126.628165,268,317.7,0.1,2024-06-12T05:33:00.525Z
477548900,37.341998333333336,126.62787,268,318.3,0,2024-06-12T05:30:04.736Z
477548900,37.342103333333334,126.62784166666667,268,315.5,0.1,2024-06-12T05:21:00.056Z
477548900,37.34183,126.628095,268,138.2,0,2024-06-12T05:18:05.209Z
477548900,37.34192,126.62810666666667,268,148.8,0,2024-06-12T05:15:00.396Z
477548900,37.34189166666667,126.62823666666667,268,154.8,0.1,2024-06-12T05:08:59.967Z
477548900,37.341775,126.62826166666666,268,131.7,0.3,2024-06-12T05:02:59.253Z
477548900,37.34192,126.62816666666667,268,153,0,2024-06-12T05:00:02.959Z
477548900,37.34184666666667,126.62800666666666,268,283.3,0.2,2024-06-12T04:54:02.257Z
477548900,37.342045,126.62787666666667,269,160,0,2024-06-12T04:50:57.093Z
477548900,37.341771666666666,126.62825166666667,269,218.4,0.1,2024-06-12T04:45:04.680Z
477548900,37.341755,126.62824666666667,269,236.9,0,2024-06-12T04:33:01.020Z
477548900,37.341765,126.6282,269,236.9,0,2024-06-12T04:30:05.283Z
477548900,37.34173166666667,126.62828333333333,269,246,0.1,2024-06-12T04:21:39.762Z
477548900,37.34173,126.62827166666666,269,102.3,0.1,2024-06-12T04:20:58.434Z
477548900,37.34173166666667,126.62826166666666,269,102.2,0.1,2024-06-12T04:20:48.221Z
477548900,37.34173666666667,126.62825166666667,269,293.8,0,2024-06-12T04:20:37.963Z
477548900,37.34173,126.62824666666667,269,305.2,0.4,2024-06-12T04:20:17.246Z
477548900,37.341703333333335,126.62827666666666,270,298.6,0.4,2024-06-12T04:19:56.528Z
477548900,37.341683333333336,126.62835666666666,266,306.8,0.3,2024-06-12T04:19:14.599Z
477548900,37.34166666666667,126.628375,266,358.2,0.4,2024-06-12T04:18:54.016Z
477548900,37.34164666666667,126.628375,267,355.6,0.5,2024-06-12T04:18:43.721Z
477548900,37.34160166666667,126.62837666666667,267,352,0.6,2024-06-12T04:18:23.145Z
477548900,37.34157833333333,126.62837833333333,267,351.2,0.7,2024-06-12T04:18:12.849Z
477548900,37.34148666666667,126.62839166666667,265,346.2,0.9,2024-06-12T04:17:41.773Z
477548900,37.34135166666667,126.628425,267,339.5,0.9,2024-06-12T04:17:10.943Z
477548900,37.34132,126.62843833333334,267,337.8,0.8,2024-06-12T04:17:00.634Z
477548900,37.34124666666666,126.62847166666667,266,335.5,0.9,2024-06-12T04:16:39.974Z
477548900,37.3412,126.62849333333334,266,334.7,1,2024-06-12T04:16:29.671Z
477548900,37.341161666666665,126.62851333333333,265,333.9,1.1,2024-06-12T04:16:19.360Z
477548900,37.341118333333334,126.62853666666666,264,332.5,1.1,2024-06-12T04:16:09.101Z
477548900,37.341076666666666,126.62856,264,331.7,1.2,2024-06-12T04:16:09.062Z
477548900,37.340968333333336,126.62862333333334,265,327.3,1.2,2024-06-12T04:15:38.001Z
477548900,37.34091333333333,126.62866,265,325,1.2,2024-06-12T04:15:27.720Z
477548900,37.340871666666665,126.62869333333333,265,323.3,1.2,2024-06-12T04:15:27.652Z
477548900,37.340826666666665,126.62873166666667,265,319.8,1.1,2024-06-12T04:15:17.311Z
477548900,37.34074833333333,126.62880833333334,265,311.4,0.8,2024-06-12T04:14:56.591Z
477548900,37.34072333333334,126.62884166666667,263,313.1,0.8,2024-06-12T04:14:46.356Z
477548900,37.340136666666666,126.62912666666666,267,334,1.5,2024-06-12T04:12:42.199Z
477548900,37.33965166666667,126.62933666666666,275,351.3,1.2,2024-06-12T04:11:19.902Z
477548900,37.33936333333333,126.62934,279,13.6,1.3,2024-06-12T04:10:28.226Z
477548900,37.33925,126.629305,281,26.6,1.3,2024-06-12T04:10:07.706Z
477548900,37.33900166666667,126.62906666666667,293,41.3,1.4,2024-06-12T04:09:25.160Z
477548900,37.338935,126.628995,297,40.8,1.5,2024-06-12T04:09:14.910Z
477548900,37.33889833333333,126.62895166666667,300,41.2,1.5,2024-06-12T04:09:04.537Z
477548900,37.338883333333335,126.628935,301,41.4,1.5,2024-06-12T04:09:04.523Z
477548900,37.338865,126.62891333333333,304,41.8,1.5,2024-06-12T04:09:04.501Z
477548900,37.33884833333333,126.628895,306,42.4,1.6,2024-06-12T04:08:54.177Z
477548900,37.33881,126.62885333333334,310,44.1,1.6,2024-06-12T04:08:54.147Z
477548900,37.338793333333335,126.628835,312,45.1,1.6,2024-06-12T04:08:43.888Z
477548900,37.33876166666667,126.628795,317,47.2,1.7,2024-06-12T04:08:43.870Z
477548900,37.338705,126.62872666666667,324,51.4,1.7,2024-06-12T04:08:33.632Z
477548900,37.33867,126.62867333333334,328,54.1,1.8,2024-06-12T04:08:23.380Z
477548900,37.338655,126.62865,331,55.3,1.8,2024-06-12T04:08:23.344Z
477548900,37.338618333333336,126.62859,336,57.9,1.9,2024-06-12T04:08:13.073Z
477548900,37.338605,126.62856333333333,338,59,1.9,2024-06-12T04:08:13.062Z
477548900,37.338585,126.62852666666667,341,60.5,2,2024-06-12T04:08:02.892Z
477548900,37.33847,126.62825333333333,0,69.5,2.2,2024-06-12T04:07:42.126Z
477548900,37.338458333333335,126.62821833333334,2,70.6,2.3,2024-06-12T04:07:31.846Z
477548900,37.33844166666667,126.62817,6,71.9,2.3,2024-06-12T04:07:31.826Z
477548900,37.33838166666666,126.62794666666667,17,77.4,2.6,2024-06-12T04:07:11.193Z
477548900,37.33837,126.62789,19,78.6,2.7,2024-06-12T04:07:11.175Z
477548900,37.33835166666667,126.62780333333333,24,80.7,2.8,2024-06-12T04:07:00.879Z
477548900,37.338343333333334,126.62775666666667,26,81.8,2.8,2024-06-12T04:07:00.865Z
477548900,37.33833333333333,126.627695,28,83.2,2.9,2024-06-12T04:07:00.843Z
477548900,37.33832666666667,126.62764833333334,30,84.2,2.9,2024-06-12T04:07:00.828Z
477548900,37.338298333333334,126.627375,42,90.1,3.2,2024-06-12T04:06:40.314Z
477548900,37.33829166666667,126.62718833333334,49,94.3,3.4,2024-06-12T04:06:29.980Z
