Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477887900,37.335278333333335,126.393215,257,255.8,10.5,2024-06-16T03:04:36.687Z
477887900,37.336795,126.40030666666667,256,254.6,10.5,2024-06-16T03:02:33.558Z
477887900,37.33799666666667,126.40811166666667,265,263.7,10.5,2024-06-16T03:00:29.864Z
477887900,37.33844333333333,126.41296666666666,265,263.5,10.5,2024-06-16T02:59:07.908Z
477887900,37.33933,126.42198,264,261.7,10.3,2024-06-16T02:56:33.786Z
477887900,37.339475,126.42322666666666,264,261.9,10.3,2024-06-16T02:56:13.249Z
477887900,37.3396,126.42435333333333,264,262.2,10.3,2024-06-16T02:55:52.720Z
477887900,37.339933333333335,126.42789333333333,265,265.1,10.2,2024-06-16T02:55:01.224Z
477887900,37.340043333333334,126.43082333333334,270,267.1,10,2024-06-16T02:54:09.823Z
477887900,37.340065,126.43140166666667,270,267,10,2024-06-16T02:53:59.621Z
477887900,37.340113333333335,126.43255333333333,269,267,9.9,2024-06-16T02:53:39.172Z
477887900,37.340156666666665,126.4337,269,267.3,9.8,2024-06-16T02:53:18.617Z
477887900,37.340176666666665,126.43427,269,267.4,9.8,2024-06-16T02:53:08.341Z
477887900,37.34023,126.43597,269,267.6,9.7,2024-06-16T02:52:37.591Z
477887900,37.340245,126.43693166666667,269,272,9.7,2024-06-16T02:52:17.002Z
477887900,37.34023833333333,126.43710166666666,269,273.3,9.8,2024-06-16T02:52:16.986Z
477887900,37.340223333333334,126.43738666666667,270,274.1,9.7,2024-06-16T02:52:06.709Z
477887900,37.34012666666667,126.438515,274,280.1,9.8,2024-06-16T02:51:56.280Z
477887900,37.33988,126.439745,282,288.4,9.9,2024-06-16T02:51:25.525Z
477887900,37.339771666666664,126.44013,284,290.2,9.9,2024-06-16T02:51:25.495Z
477887900,37.33973833333334,126.44023833333334,286,290.4,9.9,2024-06-16T02:51:15.334Z
477887900,37.339605,126.44067166666666,288,292.5,9.9,2024-06-16T02:51:15.286Z
477887900,37.339553333333335,126.44083166666667,289,292.9,9.9,2024-06-16T02:51:05.052Z
477887900,37.33913166666667,126.44210166666667,294,290.5,9.9,2024-06-16T02:50:44.564Z
477887900,37.33904,126.44242333333334,294,289.5,9.8,2024-06-16T02:50:44.539Z
477887900,37.338993333333335,126.442585,293,289.8,9.8,2024-06-16T02:50:34.293Z
477887900,37.33893166666667,126.4428,293,290.7,9.9,2024-06-16T02:50:34.275Z
477887900,37.33889833333333,126.44290833333334,293,291.6,9.9,2024-06-16T02:50:34.269Z
477887900,37.33882666666667,126.44312166666667,293,295,10,2024-06-16T02:50:23.938Z
477887900,37.338745,126.44333,293,297.5,10.1,2024-06-16T02:50:23.918Z
477887900,37.338701666666665,126.44343333333333,294,298.4,10.1,2024-06-16T02:50:23.911Z
477887900,37.338613333333335,126.44364,295,299.2,10.1,2024-06-16T02:50:13.589Z
477887900,37.338545,126.44379333333333,296,299.9,10.1,2024-06-16T02:50:13.570Z
