Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.34142666666666,126.62567666666666,23,14.9,0,2024-06-16T01:50:44.329Z
440009170,37.340716666666665,126.62530666666666,358,53.7,0.7,2024-06-16T01:48:50.157Z
440009170,37.340698333333336,126.62528833333333,329,358.3,0.7,2024-06-16T01:48:39.877Z
440009170,37.34063833333333,126.63029833333333,326,266.5,11.8,2024-06-16T01:25:52.894Z
440009170,37.33999166666667,126.63654333333334,45,203.5,0.4,2024-06-16T01:05:18.165Z
440009170,37.340003333333335,126.63654166666667,47,236.6,0.4,2024-06-16T01:05:18.147Z
440009170,37.340023333333335,126.63658,52,278.4,0.7,2024-06-16T01:04:57.552Z
440009170,37.33961166666667,126.63672333333334,44,9.2,2.4,2024-06-16T01:04:06.327Z
440009170,37.339468333333336,126.63666,45,23.4,1.8,2024-06-16T01:03:45.789Z
440009170,37.338855,126.63606833333333,59,48.8,2.8,2024-06-16T01:02:33.968Z
440009170,37.33709666666667,126.63220333333334,61,68.4,5.1,2024-06-16T00:59:08.226Z
440009170,37.33693,126.63165166666667,62,69.6,5.3,2024-06-16T00:58:47.707Z
440009170,37.33604833333333,126.62801666666667,62,75.9,6.4,2024-06-16T00:56:54.556Z
440009170,37.335593333333335,126.62578333333333,61,76.6,6.7,2024-06-16T00:55:52.802Z
440009170,37.335225,126.62391333333333,62,76.4,6.8,2024-06-16T00:55:11.303Z
440009170,37.335145,126.623495,60,75.8,6.8,2024-06-16T00:55:00.845Z
440009170,37.335078333333335,126.62314333333333,62,76.2,6.8,2024-06-16T00:54:50.509Z
440009170,37.33477333333333,126.62158333333333,60,75.6,6.9,2024-06-16T00:54:09.464Z
440009170,37.33468166666667,126.621155,60,75.5,6.9,2024-06-16T00:53:59.209Z
440009170,37.33428166666667,126.61919333333333,60,75.7,7,2024-06-16T00:53:07.782Z
440009170,37.3342,126.61879,59,75.5,6.9,2024-06-16T00:52:57.571Z
440009170,37.33405166666667,126.618055,63,74.4,6.8,2024-06-16T00:52:37.093Z
440009170,37.33344666666667,126.61507666666667,64,75.8,7.7,2024-06-16T00:51:25.299Z
440009170,37.33316833333333,126.61375,61,76.1,8,2024-06-16T00:50:54.549Z
440009170,37.33312166666666,126.613475,56,76.7,8.1,2024-06-16T00:50:54.523Z
440009170,37.33305333333333,126.613,60,82.4,8.4,2024-06-16T00:50:44.230Z
440009170,37.33300333333333,126.61229,56,83.7,8.6,2024-06-16T00:50:23.558Z
440009170,37.333,126.611745,69,107.4,5.7,2024-06-16T00:50:13.340Z
440009170,37.333663333333334,126.61142833333334,282,188.1,9.5,2024-06-16T00:49:52.793Z
