Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
477585400,37.341878333333334,126.63104666666666,,315.6,0,2024-06-12T09:31:03.856Z
477585400,37.34186833333333,126.63091833333333,,191.5,0.1,2024-06-12T09:28:08.852Z
477585400,37.341636666666666,126.630835,,200.1,0,2024-06-12T09:01:09.389Z
477585400,37.341685,126.63081666666666,,323.4,0,2024-06-12T08:31:07.534Z
477585400,37.34186166666667,126.630815,,323.4,0,2024-06-12T08:22:01.639Z
477585400,37.34164666666667,126.63081833333334,,329.5,0,2024-06-12T08:04:09.367Z
477585400,37.34183,126.63091,,155.9,0.1,2024-06-12T07:59:00.827Z
477585400,37.34180833333333,126.630855,,143.1,0,2024-06-12T07:58:40.210Z
477585400,37.341805,126.63081333333334,,131.1,0,2024-06-12T07:58:29.961Z
477585400,37.341721666666665,126.63079833333333,,135.9,0.1,2024-06-12T07:58:09.374Z
477585400,37.341775,126.63081666666666,,356.3,0.2,2024-06-12T07:57:17.800Z
477585400,37.34176,126.63084833333333,,350.8,0.3,2024-06-12T07:56:36.491Z
477585400,37.341595,126.63084833333333,,298.5,0.5,2024-06-12T07:55:24.334Z
477585400,37.341588333333334,126.63087833333333,,298.4,0.5,2024-06-12T07:55:14.089Z
477585400,37.34159833333333,126.63092333333333,,304.4,0.5,2024-06-12T07:54:53.562Z
477585400,37.33997333333333,126.63107666666667,,9.1,2,2024-06-12T07:49:34.783Z
477585400,37.33951666666667,126.63100333333334,,2.1,2.1,2024-06-12T07:48:43.307Z
477585400,37.339435,126.631,,0.9,2.2,2024-06-12T07:48:33.106Z
477585400,37.33898833333333,126.630985,,2.8,2.4,2024-06-12T07:47:52.005Z
477585400,37.33851833333333,126.63094,,7.1,2.7,2024-06-12T07:47:10.959Z
477585400,37.33826666666667,126.63090666666666,,7.5,2.7,2024-06-12T07:46:50.418Z
477585400,37.338161666666664,126.63088666666667,,7.7,2.7,2024-06-12T07:46:40.151Z
477585400,37.338058333333336,126.63086666666666,,8.3,2.8,2024-06-12T07:46:29.922Z
477585400,37.337795,126.63081333333334,,11.2,2.9,2024-06-12T07:46:09.404Z
477585400,37.337648333333334,126.63079166666667,,12.5,2.9,2024-06-12T07:45:59.142Z
477585400,37.33736833333333,126.63072333333334,,15.6,3,2024-06-12T07:45:38.348Z
477585400,37.336525,126.630345,,26.5,3.5,2024-06-12T07:44:46.944Z
477585400,37.33578166666667,126.62980333333333,,41.6,4.1,2024-06-12T07:43:55.087Z
477585400,37.335525,126.62952833333334,,48.5,4.3,2024-06-12T07:43:34.532Z
477585400,37.3341,126.62546166666667,,72.6,5.7,2024-06-12T07:41:00.289Z
477585400,37.334003333333335,126.62514166666666,,72.7,5.8,2024-06-12T07:40:50.017Z
477585400,37.33378833333333,126.62415833333333,,72.8,5.8,2024-06-12T07:40:19.253Z
477585400,37.333713333333336,126.623865,,73.4,5.8,2024-06-12T07:40:08.691Z
477585400,37.33354833333333,126.62319833333333,,75.2,5.9,2024-06-12T07:39:48.280Z
477585400,37.333275,126.62182333333334,,76.2,6,2024-06-12T07:39:07.267Z
477585400,37.33320166666667,126.621445,,76.3,6,2024-06-12T07:38:57.006Z
477585400,37.333015,126.62047166666666,,77.7,6.1,2024-06-12T07:38:36.379Z
477585400,37.33294333333333,126.62011,,77.1,6.1,2024-06-12T07:38:26.060Z
477585400,37.33282833333333,126.61942,,77.6,6.2,2024-06-12T07:38:05.514Z
477585400,37.33265166666666,126.61835166666667,,77.2,6.2,2024-06-12T07:37:34.640Z
477585400,37.332541666666664,126.61770333333334,,77.7,6.3,2024-06-12T07:37:14.240Z
477585400,37.33247,126.61731833333333,,77,6.3,2024-06-12T07:37:04.015Z
477585400,37.33227333333333,126.61629,,76.7,6.5,2024-06-12T07:36:33.232Z
477585400,37.33220333333333,126.61585666666667,,77,6.6,2024-06-12T07:36:22.959Z
477585400,37.33206333333333,126.61517166666667,,77.4,6.7,2024-06-12T07:36:02.470Z
477585400,37.331923333333336,126.61434666666666,,78.9,6.9,2024-06-12T07:35:41.833Z
477585400,37.33186166666667,126.61394,,80.2,7,2024-06-12T07:35:31.547Z
477585400,37.331808333333335,126.61347833333333,,80.7,7.1,2024-06-12T07:35:21.221Z
477585400,37.33176,126.61310166666667,,81.8,7.2,2024-06-12T07:35:10.942Z
477585400,37.33166833333333,126.61226666666667,,81.9,7.4,2024-06-12T07:34:50.405Z
477585400,37.331625,126.61188333333334,,81.4,7.4,2024-06-12T07:34:40.150Z
477585400,37.33157333333333,126.61146,,81.2,7.5,2024-06-12T07:34:29.922Z
477585400,37.33145833333333,126.61054,,80.2,7.6,2024-06-12T07:34:09.352Z
477585400,37.331275,126.60925833333333,,80.7,7.8,2024-06-12T07:33:38.417Z
477585400,37.33121,126.60876166666667,,80.3,7.9,2024-06-12T07:33:28.172Z
477585400,37.331071666666666,126.60788333333333,,80.8,8.1,2024-06-12T07:33:07.534Z
477585400,37.331015,126.60746833333333,,80.8,8.2,2024-06-12T07:33:07.490Z
477585400,37.330695,126.60503666666666,,80.6,8.7,2024-06-12T07:32:15.542Z
