Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.34958833333334,126.66666166666667,345,325.3,0,2024-06-12T08:39:21.271Z
440009170,37.337195,126.63008333333333,34,15.8,3.3,2024-06-12T07:44:25.945Z
440009170,37.33661,126.62982333333333,37,24.2,3.5,2024-06-12T07:43:44.872Z
440009170,37.336328333333334,126.62963166666667,38,30.1,3.8,2024-06-12T07:43:24.319Z
440009170,37.33587333333333,126.62921666666666,40,43.5,4.1,2024-06-12T07:42:53.459Z
440009170,37.33502333333333,126.62771,50,66.6,5.1,2024-06-12T07:41:41.408Z
440009170,37.33492833333333,126.62743333333333,49,69.3,5.2,2024-06-12T07:41:31.049Z
440009170,37.334768333333336,126.62684,50,72,5.6,2024-06-12T07:41:10.511Z
440009170,37.333688333333335,126.62222666666666,55,76.9,5.9,2024-06-12T07:38:56.979Z
440009170,37.333443333333335,126.62088666666666,55,77.4,6.2,2024-06-12T07:38:15.785Z
440009170,37.33331333333334,126.62013833333333,55,77,6.2,2024-06-12T07:37:55.290Z
440009170,37.33306833333334,126.61875166666667,54,76.8,6.3,2024-06-12T07:37:14.257Z
440009170,37.332166666666666,126.61372333333334,52,84.4,7.4,2024-06-12T07:35:00.613Z
440009170,37.332166666666666,126.61304,60,91.5,8.1,2024-06-12T07:34:50.374Z
440009170,37.33217333333333,126.61295,60,98.2,7.5,2024-06-12T07:34:50.351Z
440009170,37.332255,126.61260833333333,77,133.4,4.1,2024-06-12T07:34:40.129Z
440009170,37.334041666666664,126.61254666666666,296,217.8,1.3,2024-06-12T07:31:34.297Z
440009170,37.33422,126.61284166666667,313,251.6,2.4,2024-06-12T07:30:53.365Z
440009170,37.33422,126.61366166666667,333,280.2,6.9,2024-06-12T07:30:22.479Z
440009170,37.33415,126.61474166666666,326,265.7,7.4,2024-06-12T07:30:01.929Z
440009170,37.334215,126.616065,326,265.4,8.3,2024-06-12T07:29:31.223Z
440009170,37.334225,126.61621333333333,323,261.7,8.9,2024-06-12T07:29:20.959Z
440009170,37.33436833333333,126.61682,318,248.6,10.5,2024-06-12T07:29:10.575Z
440009170,37.33452,126.61727833333333,317,248.3,10.5,2024-06-12T07:29:10.534Z
440009170,37.336056666666664,126.62360166666667,321,258.8,10.1,2024-06-12T07:27:17.471Z
440009170,37.336373333333334,126.62839,325,265.5,10.5,2024-06-12T07:25:55.233Z
440009170,37.33757666666666,126.654205,324,262.3,11.5,2024-06-12T07:19:34.524Z
440009170,37.339281666666665,126.66181166666667,316,249.6,11.3,2024-06-12T07:17:31.320Z
440009170,37.34054166666667,126.66582,302,218.6,11.5,2024-06-12T07:16:29.704Z
440009170,37.34759,126.668385,277,168.2,7,2024-06-12T07:13:44.826Z
440009170,37.34771666666666,126.66835,275,165.1,6.9,2024-06-12T07:13:34.511Z
