Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.34961333333333,126.666665,344,327.4,0,2024-06-11T15:58:07.201Z
440009170,37.349628333333335,126.66663833333334,344,327.4,0,2024-06-11T15:44:33.872Z
440009170,37.340498333333336,126.63375666666667,4,134.2,11.6,2024-06-11T13:35:46.465Z
440009170,37.340176666666665,126.63291833333334,46,235.1,1.3,2024-06-11T12:59:34.593Z
440009170,37.339515,126.63377666666666,218,2.1,1.6,2024-06-11T12:57:10.515Z
440009170,37.33925833333333,126.63369333333333,244,36.9,2.4,2024-06-11T12:56:39.725Z
440009170,37.339185,126.63362,222,45,1.6,2024-06-11T12:56:29.497Z
440009170,37.33911333333333,126.633515,233,64.2,1.5,2024-06-11T12:56:09.047Z
440009170,37.33882333333333,126.63281333333333,256,69.4,2.2,2024-06-11T12:55:07.477Z
440009170,37.338773333333336,126.63263666666667,252,67.8,2.2,2024-06-11T12:54:57.114Z
440009170,37.338695,126.632375,248,67.7,2.4,2024-06-11T12:54:36.550Z
440009170,37.337395,126.62786833333334,213,70,3.5,2024-06-11T12:49:58.245Z
440009170,37.33727833333333,126.62743666666667,226,71.3,3.3,2024-06-11T12:49:37.751Z
440009170,37.33696333333334,126.62628666666667,224,71.6,3.3,2024-06-11T12:48:36.237Z
440009170,37.33669166666667,126.62525333333333,231,71,3.2,2024-06-11T12:47:43.359Z
440009170,37.336641666666665,126.62507166666667,227,70.3,3.2,2024-06-11T12:47:33.014Z
440009170,37.336438333333334,126.62440666666667,223,69,3.4,2024-06-11T12:46:51.920Z
440009170,37.336191666666664,126.62356,217,72.2,3,2024-06-11T12:46:10.880Z
440009170,37.33618333333333,126.623525,216,72.5,3,2024-06-11T12:45:59.621Z
440009170,37.33595666666667,126.62262333333334,236,71,3.8,2024-06-11T12:45:17.754Z
440009170,37.33575333333334,126.62195833333334,230,69.1,4.2,2024-06-11T12:44:46.932Z
440009170,37.33548,126.62109666666667,131,70.1,4.5,2024-06-11T12:44:05.581Z
440009170,37.335245,126.62021166666666,135,73.1,4.8,2024-06-11T12:43:34.810Z
440009170,37.3351,126.61965833333333,89,74.3,5.4,2024-06-11T12:43:14.318Z
440009170,37.33503,126.61933166666667,86,74.5,5.2,2024-06-11T12:43:03.982Z
440009170,37.33472666666667,126.617825,87,75.7,5.6,2024-06-11T12:42:12.644Z
440009170,37.33465666666667,126.617475,86,75.6,5.8,2024-06-11T12:42:02.392Z
440009170,37.33346,126.61183333333334,84,74.2,6,2024-06-11T12:39:17.485Z
440009170,37.333281666666664,126.61103833333334,79,75.1,6.7,2024-06-11T12:38:56.902Z
440009170,37.333061666666666,126.60985833333334,68,80.2,6.5,2024-06-11T12:38:24.913Z
440009170,37.33305,126.60974166666666,68,87.3,6.9,2024-06-11T12:38:14.662Z
440009170,37.333063333333335,126.60916333333333,64,98.1,6.2,2024-06-11T12:38:04.360Z
440009170,37.33311833333333,126.60886,74,116.3,4.1,2024-06-11T12:37:54.172Z
440009170,37.333216666666665,126.60872333333333,115,158.4,3.4,2024-06-11T12:37:43.798Z
440009170,37.33363666666666,126.608725,283,183.3,4.9,2024-06-11T12:37:23.315Z
440009170,37.333913333333335,126.60876166666667,274,213.7,0.8,2024-06-11T12:37:02.749Z
440009170,37.333933333333334,126.60877833333333,277,213.1,0.9,2024-06-11T12:36:52.537Z
440009170,37.334,126.60882833333334,280,213.2,1,2024-06-11T12:36:31.900Z
440009170,37.33402,126.60884333333334,282,210.8,1,2024-06-11T12:36:31.883Z
440009170,37.334048333333335,126.60886833333333,284,213.3,1.2,2024-06-11T12:36:21.555Z
440009170,37.33407,126.60888833333334,286,212.3,1.3,2024-06-11T12:36:21.539Z
440009170,37.33411,126.60892166666666,287,215.7,1.5,2024-06-11T12:36:11.138Z
440009170,37.334176666666664,126.60898166666666,293,217.3,2,2024-06-11T12:36:00.634Z
440009170,37.334286666666664,126.60910666666666,294,221.4,1.5,2024-06-11T12:35:50.120Z
440009170,37.33439166666667,126.60921333333333,292,216.8,1.7,2024-06-11T12:35:29.466Z
440009170,37.33441333333333,126.60923333333334,292,218.8,1.9,2024-06-11T12:35:29.445Z
