Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440009170,37.33591666666667,126.62468333333334,38,70,8.2,2024-06-15T13:45:00.687Z
440009170,37.33438,126.61945666666666,39,73.6,9.1,2024-06-15T13:43:18.006Z
440009170,37.333055,126.61404,37,72.7,9.1,2024-06-15T13:41:24.936Z
440009170,37.33288666666667,126.61336166666666,37,72.5,10.1,2024-06-15T13:41:14.660Z
440009170,37.33259833333334,126.61195,42,77.9,11.1,2024-06-15T13:40:54.106Z
440009170,37.332238333333336,126.61031,54,77.1,10.7,2024-06-15T13:40:23.343Z
440009170,37.332208333333334,126.61013,47,77.7,10.3,2024-06-15T13:40:23.330Z
440009170,37.334313333333334,126.60968166666666,284,177.2,4.7,2024-06-15T13:38:50.158Z
440009170,37.33459333333333,126.60955833333334,278,283.3,0.2,2024-06-15T13:36:47.204Z
440009170,37.33461333333333,126.60947666666667,285,283.3,0,2024-06-15T13:35:04.614Z
440009170,37.33462,126.60946666666666,284,283.3,0.1,2024-06-15T13:34:54.304Z
440009170,37.33462,126.609465,285,283.3,0.2,2024-06-15T13:34:44.059Z
440009170,37.33469,126.60943833333333,282,283.3,0.2,2024-06-15T13:33:30.876Z
440009170,37.334693333333334,126.60944,283,283.3,0.2,2024-06-15T13:33:30.858Z
440009170,37.33470333333333,126.60944,286,283.3,0.1,2024-06-15T13:33:10.504Z
440009170,37.334711666666664,126.60944166666667,289,283.3,0.2,2024-06-15T13:33:00.267Z
440009170,37.334735,126.609445,295,283.3,0.2,2024-06-15T13:32:50.030Z
440009170,37.334745,126.60960666666666,317,294.5,0.6,2024-06-15T13:30:57.298Z
440009170,37.334685,126.60973,312,283.8,1.7,2024-06-15T13:30:26.334Z
440009170,37.334678333333336,126.60976,304,297.2,1,2024-06-15T13:30:26.313Z
440009170,37.334665,126.60979666666667,269,269.2,1.2,2024-06-15T13:30:16.081Z
440009170,37.335225,126.61264166666666,318,251.9,10.2,2024-06-15T13:28:43.689Z
440009170,37.33527,126.61281166666667,318,251.6,10,2024-06-15T13:28:33.459Z
440009170,37.33537333333334,126.61318833333333,318,250.7,9.3,2024-06-15T13:28:33.435Z
440009170,37.33555833333333,126.61388666666667,320,252.6,6,2024-06-15T13:28:12.927Z
440009170,37.335638333333335,126.61418833333333,318,250,3.7,2024-06-15T13:28:02.527Z
440009170,37.335675,126.614325,303,271.3,1.1,2024-06-15T13:27:52.261Z
440009170,37.33567166666667,126.61434666666666,297,286.1,1.2,2024-06-15T13:27:52.247Z
440009170,37.33572,126.61443,352,47.7,0.7,2024-06-15T13:27:21.568Z
440009170,37.33568833333333,126.61442333333333,307,322,1,2024-06-15T13:27:11.329Z
440009170,37.33567,126.614465,270,266.6,1.1,2024-06-15T13:27:01.044Z
440009170,37.33569166666667,126.61453,49,217.5,1,2024-06-15T13:26:50.740Z
