Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
373316000,37.33392333333333,126.37965333333334,259,263.9,10,2024-06-16T08:22:25.549Z
373316000,37.333976666666665,126.38029333333333,260,264.2,10,2024-06-16T08:22:15.263Z
373316000,37.33402666666667,126.38086666666666,260,265.7,10,2024-06-16T08:22:05.018Z
373316000,37.33408,126.3826,264,267,10,2024-06-16T08:21:34.230Z
373316000,37.33410333333333,126.38312,264,266.7,10,2024-06-16T08:21:23.919Z
373316000,37.33417,126.38441333333333,264,266.7,10,2024-06-16T08:21:03.165Z
373316000,37.33419333333333,126.38493333333334,264,266.6,10,2024-06-16T08:20:52.919Z
373316000,37.33421666666667,126.38550666666667,264,267.2,10,2024-06-16T08:20:42.605Z
373316000,37.33424,126.38609333333333,264,267.1,10,2024-06-16T08:20:31.383Z
373316000,37.33434666666667,126.3884,264,267,10,2024-06-16T08:19:50.337Z
373316000,37.334513333333334,126.39186666666667,264,266.4,10,2024-06-16T08:18:48.819Z
373316000,37.334696666666666,126.39534666666667,264,266.9,10,2024-06-16T08:17:57.519Z
373316000,37.33472666666667,126.39592,264,266.4,10,2024-06-16T08:17:47.212Z
373316000,37.33475333333333,126.39650666666667,264,267,10,2024-06-16T08:17:36.921Z
373316000,37.33481,126.39765333333334,264,266.4,10,2024-06-16T08:17:16.403Z
373316000,37.334873333333334,126.39882666666666,264,266.5,10,2024-06-16T08:16:55.828Z
373316000,37.334936666666664,126.4,264,266.7,10.1,2024-06-16T08:16:35.253Z
373316000,37.33499333333334,126.40122666666667,264,266.9,10.1,2024-06-16T08:16:14.722Z
373316000,37.33504333333333,126.40293333333334,264,272,10.2,2024-06-16T08:15:43.930Z
373316000,37.335026666666664,126.40346666666667,266,271.7,10.2,2024-06-16T08:15:33.691Z
373316000,37.335006666666665,126.40477333333334,267,270.2,10.2,2024-06-16T08:15:13.157Z
373316000,37.335006666666665,126.40536,267,270,10.2,2024-06-16T08:15:02.840Z
373316000,37.335006666666665,126.40646666666666,266,270.2,10.2,2024-06-16T08:14:42.451Z
373316000,37.33500333333333,126.40698666666667,266,270.6,10.2,2024-06-16T08:14:31.326Z
373316000,37.335,126.40764,266,270.7,10.2,2024-06-16T08:14:21.070Z
373316000,37.33499333333334,126.40829333333333,267,270.7,10.2,2024-06-16T08:14:10.737Z
373316000,37.33497,126.41118666666667,267,270.5,10.2,2024-06-16T08:13:19.417Z
373316000,37.334966666666666,126.41185333333334,266,270.4,10.2,2024-06-16T08:13:09.209Z
373316000,37.334963333333334,126.41244,266,270.6,10.2,2024-06-16T08:12:58.959Z
373316000,37.33495333333333,126.41356,266,270.2,10.2,2024-06-16T08:12:38.354Z
373316000,37.33495,126.41408,266,271,10.2,2024-06-16T08:12:28.153Z
373316000,37.33494,126.41473333333333,267,270.7,10.2,2024-06-16T08:12:17.935Z
373316000,37.334936666666664,126.41538666666666,267,271.1,10.2,2024-06-16T08:12:07.702Z
373316000,37.33493,126.41598666666667,267,270.9,10.1,2024-06-16T08:11:57.392Z
373316000,37.33489,126.41762666666666,268,274.6,10.2,2024-06-16T08:11:36.858Z
373316000,37.334846666666664,126.41828,269,273.7,10.2,2024-06-16T08:11:26.593Z
373316000,37.33482,126.41886666666667,270,273.7,10.2,2024-06-16T08:11:16.294Z
373316000,37.334786666666666,126.41953333333333,270,273.6,10.2,2024-06-16T08:11:06.053Z
373316000,37.33469,126.42129333333334,270,273.7,10.1,2024-06-16T08:10:35.299Z
373316000,37.33466333333333,126.42182666666666,270,273.7,10.1,2024-06-16T08:10:25.034Z
373316000,37.334633333333336,126.42241333333334,270,273.6,10.2,2024-06-16T08:10:14.809Z
373316000,37.334606666666666,126.42306666666667,270,273.5,10.2,2024-06-16T08:10:04.507Z
373316000,37.33455,126.42424,270,273.2,10.1,2024-06-16T08:09:44.081Z
373316000,37.33452666666667,126.42482666666666,270,273.4,10.1,2024-06-16T08:09:33.788Z
373316000,37.33450666666667,126.42534666666667,270,273.4,10.1,2024-06-16T08:09:23.562Z
373316000,37.33447666666667,126.42594666666666,270,273.2,10.1,2024-06-16T08:09:13.285Z
373316000,37.33445,126.42658666666667,269,273.1,10.2,2024-06-16T08:09:03.037Z
373316000,37.33443,126.42712,269,273.2,10.1,2024-06-16T08:08:52.789Z
373316000,37.334376666666664,126.42836,269,273.2,10.2,2024-06-16T08:08:31.082Z
373316000,37.33434666666667,126.42888,269,273.4,10.2,2024-06-16T08:08:20.855Z
373316000,37.33432,126.42946666666667,269,274.1,10.2,2024-06-16T08:08:10.603Z
373316000,37.33428333333333,126.43012,270,275.5,10.2,2024-06-16T08:08:00.355Z
