Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
413453650,37.341748333333335,126.632705,90,56.9,0,2024-06-09T13:35:54.440Z
413453650,37.341765,126.63267333333333,90,133.9,0,2024-06-09T13:32:49.688Z
413453650,37.34178,126.63268,90,214.4,0.1,2024-06-09T13:29:54.836Z
413453650,37.341721666666665,126.63263,90,11.1,0.1,2024-06-09T13:26:49.630Z
413453650,37.341768333333334,126.63270333333334,90,173.6,0,2024-06-09T13:23:54.992Z
413453650,37.34180333333333,126.632695,90,61.8,0,2024-06-09T13:20:49.595Z
413453650,37.34182666666667,126.63270666666666,90,211.1,0,2024-06-09T13:17:55.060Z
413453650,37.34184,126.63271833333333,90,2.3,0,2024-06-09T13:14:49.438Z
413453650,37.34174333333333,126.63271,90,71.9,0,2024-06-09T13:11:54.699Z
413453650,37.341785,126.63263666666667,90,171.3,0,2024-06-09T12:59:54.867Z
413453650,37.34179,126.63268166666667,90,285.9,0,2024-06-09T12:53:54.792Z
413453650,37.341773333333336,126.63262833333333,90,346.8,0,2024-06-09T12:50:49.252Z
413453650,37.3418,126.632705,90,79.5,0,2024-06-09T12:44:49.514Z
413453650,37.34177,126.63265333333334,90,25.7,0.3,2024-06-09T12:41:44.619Z
413453650,37.341745,126.63266666666667,90,322.3,0.2,2024-06-09T12:40:43.081Z
413453650,37.34175666666667,126.63270333333334,90,69.9,0.1,2024-06-09T12:39:51.758Z
413453650,37.34175833333333,126.63270166666666,89,36.8,0.2,2024-06-09T12:39:41.483Z
413453650,37.341765,126.6327,89,144.5,0.1,2024-06-09T12:39:20.971Z
413453650,37.341741666666664,126.63254333333333,90,86.9,0.4,2024-06-09T12:37:27.197Z
413453650,37.34173166666667,126.63251833333334,91,94.8,0.4,2024-06-09T12:37:16.804Z
413453650,37.341701666666665,126.63245333333333,91,54.6,0.5,2024-06-09T12:36:56.275Z
413453650,37.341683333333336,126.63241,90,62.8,0.7,2024-06-09T12:36:46.028Z
413453650,37.341545,126.63202666666666,88,71,0.8,2024-06-09T12:35:13.745Z
413453650,37.34150666666667,126.631925,87,60.7,0.9,2024-06-09T12:34:53.170Z
413453650,37.341476666666665,126.63182333333333,87,61.2,0.9,2024-06-09T12:34:32.659Z
413453650,37.34140166666667,126.631645,87,59.4,0.9,2024-06-09T12:33:51.665Z
413453650,37.341385,126.63161666666667,86,60,0.9,2024-06-09T12:33:41.333Z
413453650,37.341323333333335,126.63150833333333,84,55.9,1,2024-06-09T12:33:10.634Z
413453650,37.34128666666667,126.63144,83,50.2,1,2024-06-09T12:32:59.457Z
413453650,37.341231666666665,126.631335,82,52.6,1,2024-06-09T12:32:49.127Z
413453650,37.341208333333334,126.63128833333333,81,53.5,1,2024-06-09T12:32:38.860Z
413453650,37.341098333333335,126.63105833333333,80,56.6,1.3,2024-06-09T12:31:57.851Z
413453650,37.341,126.630815,79,61,1.6,2024-06-09T12:31:16.840Z
413453650,37.34097666666667,126.630735,79,63.1,1.6,2024-06-09T12:31:06.573Z
413453650,37.340941666666666,126.63065,78,57.5,1.7,2024-06-09T12:30:56.310Z
413453650,37.340738333333334,126.63023333333334,73,56.2,1.9,2024-06-09T12:30:15.183Z
413453650,37.340711666666664,126.63019,72,58.2,1.9,2024-06-09T12:30:04.849Z
413453650,37.340625,126.63002,72,60.1,2,2024-06-09T12:29:44.266Z
413453650,37.340561666666666,126.62988833333333,72,59.8,1.9,2024-06-09T12:29:34.040Z
413453650,37.34049666666667,126.62975666666667,72,60.4,2,2024-06-09T12:29:23.767Z
413453650,37.340453333333336,126.62966333333334,72,60.1,2,2024-06-09T12:29:13.488Z
413453650,37.34043,126.62962,72,58.3,2,2024-06-09T12:29:03.248Z
413453650,37.340378333333334,126.629545,71,57.1,2.1,2024-06-09T12:28:52.978Z
413453650,37.34027,126.62932333333333,70,56.6,2.2,2024-06-09T12:28:32.393Z
413453650,37.340221666666665,126.62921333333334,70,55.1,2.1,2024-06-09T12:28:22.162Z
413453650,37.340175,126.62909333333333,69,54.8,2.2,2024-06-09T12:28:11.885Z
413453650,37.33978333333334,126.62846333333333,68,54.9,2.2,2024-06-09T12:27:10.421Z
413453650,37.339553333333335,126.628025,68,54.2,2.4,2024-06-09T12:26:28.518Z
413453650,37.33949833333333,126.62793,67,52.6,2.4,2024-06-09T12:26:28.483Z
413453650,37.33943166666667,126.62780166666667,66,52.8,2.5,2024-06-09T12:26:18.227Z
413453650,37.33936166666667,126.62769166666666,66,51.4,2.5,2024-06-09T12:26:07.976Z
413453650,37.33929,126.62757666666667,66,55.7,2.5,2024-06-09T12:25:57.579Z
413453650,37.33915,126.62733333333334,66,57.5,2.6,2024-06-09T12:25:37.106Z
413453650,37.338768333333334,126.62661833333334,65,57,3.5,2024-06-09T12:24:45.978Z
413453650,37.338676666666665,126.62645333333333,64,54.9,3.7,2024-06-09T12:24:35.755Z
413453650,37.33836,126.62589,62,55.9,4.3,2024-06-09T12:24:05.042Z
413453650,37.338235,126.62568,62,57,4.5,2024-06-09T12:23:54.751Z
413453650,37.337905,126.62493666666667,65,63.9,5,2024-06-09T12:23:23.974Z
413453650,37.33781333333334,126.62469666666667,66,64.7,5.1,2024-06-09T12:23:13.647Z
413453650,37.33770833333333,126.62442833333333,67,64,5.2,2024-06-09T12:23:03.380Z
413453650,37.3376,126.62415666666666,68,61.1,5.3,2024-06-09T12:22:53.087Z
413453650,37.33732166666667,126.62356666666666,66,57.8,5.4,2024-06-09T12:22:32.505Z
413453650,37.336933333333334,126.62282666666667,65,58.9,5.7,2024-06-09T12:22:01.821Z
413453650,37.33680833333333,126.622565,65,59.9,5.8,2024-06-09T12:21:51.518Z
413453650,37.336625,126.62218333333334,65,59.4,6,2024-06-09T12:21:41.277Z
413453650,37.336038333333335,126.62101333333334,63,58.9,6.1,2024-06-09T12:20:59.596Z
