Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
412204480,37.340983333333334,126.63493333333334,85,65.8,2.1,2024-06-23T09:39:02.193Z
412204480,37.34095,126.63483333333333,84,65.2,2.2,2024-06-23T09:38:51.929Z
412204480,37.33943333333333,126.63175,62,54.2,4.2,2024-06-23T09:35:35.228Z
412204480,37.3359,126.62485,66,68.6,4.1,2024-06-23T09:30:06.558Z
412204480,37.33558333333333,126.62366666666667,75,73.2,4.4,2024-06-23T09:29:15.274Z
412204480,37.33396666666667,126.61663333333334,75,75.8,6.3,2024-06-23T09:25:18.559Z
412204480,37.33356666666667,126.61483333333334,74,74.3,6.5,2024-06-23T09:24:27.399Z
412204480,37.331066666666665,126.60343333333333,75,77.4,8.8,2024-06-23T09:19:59.673Z
412204480,37.32926666666667,126.58596666666666,84,85.8,9.9,2024-06-23T09:14:41.071Z
412204480,37.32901666666667,126.58195,85,85.9,9.8,2024-06-23T09:13:27.601Z
412204480,37.3289,126.58025,85,85.2,9.8,2024-06-23T09:12:56.841Z
412204480,37.32868333333333,126.57683333333334,84,84.7,9.8,2024-06-23T09:11:55.113Z
412204480,37.32845,126.57343333333333,84,85.2,9.8,2024-06-23T09:10:53.425Z
412204480,37.32841666666667,126.57291666666667,84,85.4,9.8,2024-06-23T09:10:53.394Z
412204480,37.3284,126.5723,84,85.9,9.8,2024-06-23T09:10:32.932Z
412204480,37.328266666666664,126.57001666666666,85,86,9.8,2024-06-23T09:10:02.047Z
412204480,37.32816666666667,126.5683,85,85.7,9.8,2024-06-23T09:09:31.172Z
412204480,37.32801666666667,126.56605,84,85.7,9.8,2024-06-23T09:08:49.246Z
412204480,37.3279,126.56433333333334,85,85.6,9.8,2024-06-23T09:08:18.366Z
412204480,37.32783333333333,126.5632,85,85.6,9.8,2024-06-23T09:07:57.809Z
412204480,37.3278,126.56261666666667,85,85.1,9.8,2024-06-23T09:07:47.550Z
412204480,37.32776666666667,126.56205,85,85.2,9.8,2024-06-23T09:07:37.392Z
412204480,37.32756666666667,126.55921666666667,85,85,9.8,2024-06-23T09:06:46.117Z
412204480,37.32751666666667,126.55865,85,85.2,9.8,2024-06-23T09:06:35.961Z
412204480,37.32738333333333,126.55636666666666,84,86.1,9.8,2024-06-23T09:05:54.870Z
412204480,37.32731666666667,126.55523333333333,85,86,9.7,2024-06-23T09:05:34.413Z
412204480,37.3272,126.553,84,86.7,9.6,2024-06-23T09:04:53.617Z
412204480,37.32716666666666,126.55243333333334,84,86.7,9.6,2024-06-23T09:04:43.341Z
412204480,37.32715,126.55186666666667,84,87.5,9.6,2024-06-23T09:04:32.991Z
412204480,37.32711666666667,126.55073333333333,85,89.5,9.6,2024-06-23T09:04:12.443Z
412204480,37.3271,126.54906666666666,86,90,9.5,2024-06-23T09:03:51.780Z
412204480,37.3271,126.5479,87,90,9.5,2024-06-23T09:03:31.115Z
412204480,37.3271,126.5457,86,90,9.4,2024-06-23T09:02:48.912Z
412204480,37.3271,126.5446,87,89.6,9.4,2024-06-23T09:02:28.474Z
412204480,37.3271,126.5435,86,89.3,9.3,2024-06-23T09:02:07.997Z
412204480,37.3271,126.5429,86,89.8,9.3,2024-06-23T09:01:57.653Z
412204480,37.327083333333334,126.5424,86,89.6,9.3,2024-06-23T09:01:47.382Z
412204480,37.32706666666667,126.54021666666667,86,89.6,9.3,2024-06-23T09:01:06.306Z
412204480,37.32706666666667,126.53911666666667,86,90,9.3,2024-06-23T09:00:45.833Z
412204480,37.32705,126.53695,86,89.3,9.3,2024-06-23T09:00:04.773Z
412204480,37.327016666666665,126.53048333333334,87,89.7,9.3,2024-06-23T08:58:11.765Z
412204480,37.327016666666665,126.52993333333333,87,89.7,9.3,2024-06-23T08:58:01.433Z
412204480,37.327,126.52933333333333,87,89.6,9.3,2024-06-23T08:57:51.196Z
412204480,37.327,126.52878333333334,88,88.6,9.3,2024-06-23T08:57:40.977Z
412204480,37.32698333333333,126.52825,87,88.1,9.3,2024-06-23T08:57:30.688Z
412204480,37.32698333333333,126.52775,87,87.8,9.3,2024-06-23T08:57:20.365Z
412204480,37.326933333333336,126.52558333333333,87,85.4,9.3,2024-06-23T08:56:39.333Z
412204480,37.32683333333333,126.52395,85,84.7,9.3,2024-06-23T08:56:08.451Z
412204480,37.32678333333333,126.52336666666666,85,84.5,9.3,2024-06-23T08:55:58.177Z
412204480,37.32673333333334,126.52283333333334,84,85.1,9.3,2024-06-23T08:55:47.904Z
412204480,37.3267,126.52233333333334,84,85.5,9.3,2024-06-23T08:55:37.600Z
412204480,37.32655,126.52016666666667,84,85.1,9.3,2024-06-23T08:54:56.538Z
412204480,37.32646666666667,126.51903333333334,85,84.9,9.3,2024-06-23T08:54:36.027Z
412204480,37.32631666666666,126.51686666666667,85,84.7,9.4,2024-06-23T08:53:54.961Z
412204480,37.326283333333336,126.51633333333334,85,84.1,9.4,2024-06-23T08:53:44.575Z
412204480,37.32615,126.51475,84,81.2,9.4,2024-06-23T08:53:13.802Z
412204480,37.32606666666667,126.5142,82,81.3,9.4,2024-06-23T08:53:03.515Z
412204480,37.326,126.51365,82,81.8,9.4,2024-06-23T08:52:53.295Z
412204480,37.32586666666667,126.51251666666667,81,81.3,9.3,2024-06-23T08:52:32.786Z
412204480,37.32575,126.5115,81,81.9,9.3,2024-06-23T08:52:22.487Z
412204480,37.325633333333336,126.51043333333334,81,82.6,9.3,2024-06-23T08:52:02.002Z
412204480,37.325516666666665,126.5093,82,82.6,9.2,2024-06-23T08:51:31.325Z
412204480,37.3254,126.50828333333334,81,82.8,9.2,2024-06-23T08:51:21.004Z
412204480,37.3253,126.50716666666666,81,83,9.1,2024-06-23T08:50:59.736Z
412204480,37.32515,126.50558333333333,82,83.6,9,2024-06-23T08:50:28.824Z
412204480,37.325116666666666,126.50511666666667,82,82.6,9,2024-06-23T08:50:18.528Z
412204480,37.324933333333334,126.5035,80,81.4,9,2024-06-23T08:49:47.644Z
412204480,37.324866666666665,126.50298333333333,80,81.4,8.9,2024-06-23T08:49:37.345Z
412204480,37.3248,126.50246666666666,80,81.4,8.9,2024-06-23T08:49:27.093Z
412204480,37.32475,126.502,80,81.5,8.8,2024-06-23T08:49:16.778Z
412204480,37.32455,126.50041666666667,80,81.3,8.7,2024-06-23T08:48:45.872Z
412204480,37.32448333333333,126.49991666666666,79,81.4,8.6,2024-06-23T08:48:35.673Z
412204480,37.32443333333333,126.49943333333333,79,81.7,8.6,2024-06-23T08:48:25.452Z
412204480,37.324133333333336,126.49696666666667,80,80.9,8.3,2024-06-23T08:47:44.017Z
412204480,37.324083333333334,126.49648333333333,79,81.1,8.2,2024-06-23T08:47:28.762Z
412204480,37.32403333333333,126.49605,79,81.4,8.2,2024-06-23T08:47:18.463Z
412204480,37.323966666666664,126.49558333333333,80,81.3,8,2024-06-23T08:47:08.248Z
412204480,37.3238,126.4942,79,81.2,7.8,2024-06-23T08:46:37.410Z
412204480,37.32375,126.4937,79,81.9,7.7,2024-06-23T08:46:27.221Z
412204480,37.32365,126.49286666666667,80,82.7,7.6,2024-06-23T08:46:06.784Z
412204480,37.3236,126.49243333333334,80,83,7.5,2024-06-23T08:45:56.379Z
412204480,37.32333333333333,126.48983333333334,79,83,7.5,2024-06-23T08:44:54.683Z
412204480,37.323283333333336,126.48935,79,82.6,7.6,2024-06-23T08:44:44.355Z
412204480,37.32325,126.48896666666667,79,82.6,7.6,2024-06-23T08:44:34.168Z
412204480,37.323116666666664,126.48761666666667,79,83.3,7.8,2024-06-23T08:44:13.520Z
412204480,37.32306666666667,126.48711666666667,80,83.1,7.9,2024-06-23T08:43:53.067Z
412204480,37.322833333333335,126.48483333333333,79,82.7,8.3,2024-06-23T08:43:11.969Z
412204480,37.322783333333334,126.48431666666667,79,83,8.4,2024-06-23T08:43:01.711Z
412204480,37.32273333333333,126.48383333333334,79,84.3,8.5,2024-06-23T08:42:51.448Z
412204480,37.3227,126.48335,80,86.4,8.7,2024-06-23T08:42:41.215Z
412204480,37.32268333333333,126.48283333333333,82,85.5,8.9,2024-06-23T08:42:30.972Z
412204480,37.32256666666667,126.48126666666667,82,87,9.1,2024-06-23T08:41:59.821Z
412204480,37.32255,126.48073333333333,83,87.3,9.1,2024-06-23T08:41:49.489Z
412204480,37.3225,126.47966666666666,83,85.1,9.1,2024-06-23T08:41:28.958Z
412204480,37.3224,126.47808333333333,82,86.1,9.1,2024-06-23T08:40:58.345Z
412204480,37.32236666666667,126.47755,82,86.2,9.1,2024-06-23T08:40:48.053Z
412204480,37.32235,126.47708333333334,83,85.9,9,2024-06-23T08:40:37.836Z
412204480,37.322316666666666,126.47651666666667,83,85.6,9,2024-06-23T08:40:27.528Z
412204480,37.32225,126.47545,82,86,9,2024-06-23T08:40:07.076Z
412204480,37.32208333333333,126.47295,82,83.6,9,2024-06-23T08:39:15.691Z
412204480,37.32203333333333,126.47233333333334,81,82.7,8.9,2024-06-23T08:39:05.390Z
412204480,37.321983333333336,126.47181666666667,80,82.2,8.9,2024-06-23T08:38:55.151Z
412204480,37.32188333333333,126.47083333333333,80,83.5,8.9,2024-06-23T08:38:34.512Z
412204480,37.32175,126.46923333333334,81,82,8.9,2024-06-23T08:38:03.753Z
412204480,37.3217,126.46873333333333,80,81.3,8.8,2024-06-23T08:37:53.504Z
412204480,37.32163333333333,126.46821666666666,80,81.7,8.8,2024-06-23T08:37:43.184Z
412204480,37.321333333333335,126.46568333333333,80,81.4,8.7,2024-06-23T08:36:51.806Z
412204480,37.32096666666666,126.46271666666667,80,80.8,8.6,2024-06-23T08:36:00.261Z
412204480,37.32085,126.46173333333333,80,80.5,8.5,2024-06-23T08:35:39.673Z
412204480,37.3208,126.46135,80,80.7,8.5,2024-06-23T08:35:29.325Z
412204480,37.32038333333333,126.45841666666666,79,78.1,8.3,2024-06-23T08:34:27.452Z
412204480,37.320083333333336,126.45691666666667,76,74.4,8.2,2024-06-23T08:33:56.432Z
412204480,37.32001666666667,126.45655,75,74.7,8.2,2024-06-23T08:33:46.185Z
412204480,37.3198,126.45565,75,72.3,8,2024-06-23T08:33:25.635Z
412204480,37.31955,126.4547,73,67.1,8,2024-06-23T08:33:05.071Z
412204480,37.319266666666664,126.45388333333334,69,61.7,8,2024-06-23T08:32:44.571Z
412204480,37.31916666666667,126.45363333333333,68,60.5,7.9,2024-06-23T08:32:44.526Z
412204480,37.319116666666666,126.45356666666666,68,60.3,7.9,2024-06-23T08:32:44.504Z
412204480,37.319066666666664,126.45343333333334,67,59.3,8,2024-06-23T08:32:34.270Z
412204480,37.31881666666666,126.45291666666667,65,52.8,8,2024-06-23T08:32:24.080Z
412204480,37.31865,126.45261666666667,62,49.1,8.1,2024-06-23T08:32:13.695Z
412204480,37.318133333333336,126.45191666666666,55,44.1,8.1,2024-06-23T08:31:53.094Z
412204480,37.31701666666667,126.45073333333333,46,35.4,8,2024-06-23T08:31:22.057Z
412204480,37.316716666666665,126.45045,44,34.6,7.9,2024-06-23T08:31:11.799Z
412204480,37.31581666666667,126.44966666666667,43,34.6,7.7,2024-06-23T08:30:41.008Z
412204480,37.314616666666666,126.44866666666667,42,32.8,7.2,2024-06-23T08:29:58.423Z
412204480,37.3144,126.44848333333333,41,32.5,7.2,2024-06-23T08:29:48.114Z
412204480,37.3138,126.44801666666666,41,32.8,7,2024-06-23T08:29:27.614Z
412204480,37.31216666666667,126.44666666666667,41,32.9,6.9,2024-06-23T08:28:25.804Z
412204480,37.31165,126.44625,40,33,7,2024-06-23T08:28:05.204Z
412204480,37.31135,126.446,40,33.5,7,2024-06-23T08:27:54.895Z
412204480,37.3111,126.4458,40,34.2,7,2024-06-23T08:27:44.545Z
412204480,37.31053333333333,126.44531666666667,41,35.2,7,2024-06-23T08:27:23.961Z
412204480,37.3103,126.44511666666666,42,35.3,7.1,2024-06-23T08:27:13.612Z
412204480,37.31005,126.4449,42,35.2,7.1,2024-06-23T08:27:13.583Z
412204480,37.30721666666667,126.44241666666667,42,33.3,7.8,2024-06-23T08:25:31.118Z
412204480,37.305366666666664,126.44081666666666,42,36.2,8.3,2024-06-23T08:24:29.134Z
412204480,37.3025,126.43826666666666,39,33.1,8.3,2024-06-23T08:22:56.739Z
412204480,37.301883333333336,126.43776666666666,39,34.1,8.3,2024-06-23T08:22:36.170Z
412204480,37.299083333333336,126.43531666666667,40,35.4,8.1,2024-06-23T08:21:03.795Z
