Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441283000,37.34166,126.62991166666667,89,28.7,0,2024-06-29T08:31:14.709Z
441283000,37.34164166666667,126.62989833333333,89,28.7,0,2024-06-29T08:25:08.375Z
441283000,37.34165333333333,126.62990166666667,89,28.7,0,2024-06-29T08:22:12.309Z
441283000,37.34166666666667,126.62987666666666,89,28.7,0,2024-06-29T08:16:07.825Z
441283000,37.34166833333333,126.62989666666667,89,28.7,0,2024-06-29T08:10:09.204Z
441283000,37.33923,126.6245,60,59.9,2.9,2024-06-29T07:01:39.183Z
441283000,37.338955,126.62386666666667,62,65.7,3.1,2024-06-29T07:00:53.326Z
441283000,37.338935,126.62381833333333,62,66.1,3.1,2024-06-29T07:00:53.321Z
441283000,37.33891166666667,126.62375,63,66,3.1,2024-06-29T07:00:43.168Z
441283000,37.33889333333333,126.62369833333334,64,65.9,3.1,2024-06-29T07:00:43.140Z
441283000,37.33887,126.62363,64,65.5,3.1,2024-06-29T07:00:43.107Z
441283000,37.33871,126.62321166666666,67,60.5,2.9,2024-06-29T07:00:32.836Z
441283000,37.338555,126.622905,66,54.3,2.9,2024-06-29T06:59:57.381Z
441283000,37.33831333333333,126.62250833333333,62,54.2,3,2024-06-29T06:59:26.774Z
441283000,37.337273333333336,126.620445,65,61,3,2024-06-29T06:57:15.265Z
441283000,37.336905,126.61971333333334,65,54.2,2.9,2024-06-29T06:56:39.160Z
441283000,37.33664666666667,126.61927166666666,64,53.5,3,2024-06-29T06:56:03.807Z
441283000,37.336398333333335,126.61885666666667,62,52.5,3.1,2024-06-29T06:55:33.199Z
441283000,37.33603166666666,126.61825666666667,60,53.7,3.3,2024-06-29T06:54:57.463Z
441283000,37.33576166666667,126.61778166666667,62,55.7,3.4,2024-06-29T06:54:22.137Z
441283000,37.33538333333333,126.61709,62,53.6,3.6,2024-06-29T06:53:36.285Z
441283000,37.335295,126.61693333333334,61,53,3.6,2024-06-29T06:53:26.119Z
441283000,37.334666666666664,126.615885,59,53.8,4,2024-06-29T06:52:25.108Z
441283000,37.33453166666666,126.61566166666667,59,54.1,4.1,2024-06-29T06:52:09.836Z
441283000,37.33419,126.61507333333333,60,53.9,4.3,2024-06-29T06:51:49.102Z
441283000,37.334073333333336,126.61486833333333,60,53.6,4.4,2024-06-29T06:51:49.066Z
441283000,37.33241,126.611985,55,55.9,5.1,2024-06-29T06:49:30.513Z
441283000,37.332276666666665,126.61174166666666,55,56.6,5.1,2024-06-29T06:49:15.319Z
441283000,37.331875,126.61094666666666,56,59.8,5.3,2024-06-29T06:48:44.769Z
441283000,37.331633333333336,126.61043333333333,57,61.1,5.4,2024-06-29T06:48:34.477Z
441283000,37.33096833333333,126.60886333333333,59,68.2,6,2024-06-29T06:47:33.408Z
441283000,37.330925,126.60873333333333,60,68.9,6.1,2024-06-29T06:47:33.393Z
441283000,37.33086333333333,126.60853333333333,61,70.1,6.1,2024-06-29T06:47:33.370Z
441283000,37.33077333333333,126.60823166666667,63,71.6,6.1,2024-06-29T06:47:18.064Z
441283000,37.330708333333334,126.607995,64,71.7,6.1,2024-06-29T06:47:02.811Z
441283000,37.33068166666666,126.60789333333334,65,72.3,6.2,2024-06-29T06:47:02.799Z
