Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001550,37.315113333333336,126.45966333333334,346,254.6,7.1,2024-06-29T08:30:16.684Z
440001550,37.3153,126.46050666666666,345,254.3,7.1,2024-06-29T08:30:00.674Z
440001550,37.31561166666667,126.46169666666667,344,247.4,7.1,2024-06-29T08:29:25.260Z
440001550,37.31572833333333,126.46204,343,243.8,7.1,2024-06-29T08:29:09.944Z
440001550,37.31587833333333,126.4624,341,240.1,7,2024-06-29T08:28:54.626Z
440001550,37.31605666666667,126.46278333333333,340,239.9,7,2024-06-29T08:28:44.420Z
440001550,37.31681666666667,126.46456,342,244.8,7,2024-06-29T08:27:58.045Z
440001550,37.316966666666666,126.46497,342,246.1,7.1,2024-06-29T08:27:42.356Z
440001550,37.31709,126.465305,342,245.2,7.1,2024-06-29T08:27:42.275Z
440001550,37.317215,126.46564166666667,342,244.9,7.3,2024-06-29T08:27:31.611Z
440001550,37.31737833333333,126.46611333333334,343,247.7,7.7,2024-06-29T08:27:20.840Z
440001550,37.31749333333333,126.46649,343,249,7.8,2024-06-29T08:27:20.801Z
440001550,37.31800166666667,126.46811833333334,343,247.6,7.7,2024-06-29T08:26:29.186Z
440001550,37.318158333333336,126.46858,343,246.4,7.7,2024-06-29T08:26:29.138Z
440001550,37.31866,126.46982833333334,341,243.7,7.8,2024-06-29T08:25:58.014Z
440001550,37.31895,126.47057666666667,342,243.6,8,2024-06-29T08:25:29.354Z
440001550,37.319135,126.47104333333333,342,243.8,8,2024-06-29T08:25:29.307Z
440001550,37.3193,126.47146166666667,342,243.8,7.9,2024-06-29T08:25:08.386Z
440001550,37.31945666666667,126.47187333333333,342,243.8,7.7,2024-06-29T08:25:08.306Z
440001550,37.320146666666666,126.47374833333333,342,244.4,6.9,2024-06-29T08:24:15.353Z
440001550,37.32028833333333,126.47411333333334,343,241.9,6.9,2024-06-29T08:23:59.563Z
440001550,37.320645,126.47483833333334,340,235.6,6.9,2024-06-29T08:23:32.320Z
440001550,37.321011666666664,126.47544166666667,339,230.3,6.9,2024-06-29T08:23:20.995Z
440001550,37.321873333333336,126.47666166666667,338,232.7,6.8,2024-06-29T08:22:34.306Z
440001550,37.32221666666667,126.47727666666667,340,237.2,6.8,2024-06-29T08:22:23.132Z
440001550,37.323168333333335,126.47938166666667,342,243.1,6.8,2024-06-29T08:21:21.017Z
440001550,37.323303333333335,126.47974166666667,343,245.6,6.9,2024-06-29T08:21:05.662Z
440001550,37.323438333333335,126.48010833333333,343,245.3,6.9,2024-06-29T08:20:55.464Z
440001550,37.32358333333333,126.48051333333333,343,246.9,6.9,2024-06-29T08:20:55.356Z
440001550,37.323706666666666,126.48089,344,250.1,6.9,2024-06-29T08:20:45.214Z
440001550,37.323815,126.48126666666667,344,252.1,7,2024-06-29T08:20:29.917Z
440001550,37.3239,126.48161166666667,346,254.8,7,2024-06-29T08:20:29.882Z
440001550,37.324205,126.48324333333333,347,257.2,7,2024-06-29T08:19:39.012Z
