Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
636017768,37.34148833333333,126.6286,270,75.6,0,2024-06-27T16:02:58.934Z
636017768,37.34146,126.62854333333334,270,133.1,0.1,2024-06-27T16:00:02.302Z
636017768,37.34171333333333,126.62827666666666,270,327.6,0,2024-06-27T15:48:02.583Z
636017768,37.34159,126.62864666666667,270,213.3,0.1,2024-06-27T15:45:05.620Z
636017768,37.341773333333336,126.62846666666667,270,153.3,0,2024-06-27T15:41:58.073Z
636017768,37.34171833333333,126.62828333333333,270,162.2,0,2024-06-27T15:35:55.902Z
636017768,37.34164166666667,126.628485,270,163.8,0.1,2024-06-27T15:23:56.740Z
636017768,37.34164333333333,126.628495,270,130.8,0,2024-06-27T15:18:05.355Z
636017768,37.341606666666664,126.62847,270,153.1,0.1,2024-06-27T15:14:58.831Z
636017768,37.34165333333333,126.62848666666666,270,200.3,0,2024-06-27T14:52:38.980Z
636017768,37.341631666666665,126.62848,270,48,0.1,2024-06-27T14:48:52.043Z
636017768,37.34162,126.62848166666667,268,8.4,0.2,2024-06-27T14:48:31.260Z
636017768,37.34160833333333,126.62847666666667,268,7.5,0.3,2024-06-27T14:48:21.108Z
636017768,37.341593333333336,126.62847,269,5,0.3,2024-06-27T14:48:10.278Z
636017768,37.34157833333333,126.62845666666666,269,5.3,0.3,2024-06-27T14:47:59.898Z
636017768,37.34157,126.62844,269,8.7,0.2,2024-06-27T14:47:49.737Z
636017768,37.34153666666667,126.62845333333334,269,260.9,0.3,2024-06-27T14:47:08.885Z
636017768,37.341495,126.62858833333334,267,303.8,0.8,2024-06-27T14:46:27.482Z
636017768,37.341476666666665,126.628625,267,306.2,0.8,2024-06-27T14:46:17.224Z
636017768,37.341451666666664,126.62866833333334,267,312.4,0.7,2024-06-27T14:46:06.906Z
636017768,37.341366666666666,126.628725,264,9.4,0.7,2024-06-27T14:45:36.177Z
636017768,37.34133166666667,126.62871833333334,264,7.8,0.9,2024-06-27T14:45:25.963Z
636017768,37.341225,126.62870333333333,265,3.9,1.3,2024-06-27T14:45:02.855Z
636017768,37.34110666666667,126.62869333333333,266,1.5,1.5,2024-06-27T14:44:37.369Z
636017768,37.341035,126.62869333333333,266,0.7,1.7,2024-06-27T14:44:27.056Z
636017768,37.340783333333334,126.62868166666667,267,2.2,2.1,2024-06-27T14:43:56.064Z
636017768,37.34067666666667,126.62867833333334,267,2.1,2.2,2024-06-27T14:43:45.875Z
636017768,37.34057166666667,126.62867166666666,269,1.7,2.3,2024-06-27T14:43:35.383Z
636017768,37.340375,126.628675,271,1,2.1,2024-06-27T14:43:25.073Z
636017768,37.34027,126.62867833333334,271,1,1.9,2024-06-27T14:43:14.921Z
636017768,37.340005,126.628665,271,8.6,1.9,2024-06-27T14:42:43.661Z
636017768,37.33991833333334,126.62864833333333,272,12,2,2024-06-27T14:42:32.308Z
636017768,37.33983833333333,126.62862666666666,272,15.2,1.9,2024-06-27T14:42:21.941Z
636017768,37.3395,126.62845166666666,272,29.5,2,2024-06-27T14:41:40.053Z
636017768,37.339418333333334,126.62838166666667,273,34.6,2.2,2024-06-27T14:41:29.889Z
636017768,37.33933833333333,126.62831166666666,273,38.4,2.3,2024-06-27T14:41:19.036Z
636017768,37.33925,126.62822666666666,275,38.7,2.3,2024-06-27T14:41:08.763Z
636017768,37.339185,126.62816333333333,276,38.8,2.3,2024-06-27T14:40:58.534Z
636017768,37.33911333333333,126.62809166666666,277,39,2.2,2024-06-27T14:40:58.494Z
636017768,37.339081666666665,126.62806,278,38.5,2.2,2024-06-27T14:40:48.305Z
636017768,37.33900333333333,126.627985,281,37.4,2.2,2024-06-27T14:40:37.909Z
636017768,37.33893,126.62791666666666,284,37.2,2.1,2024-06-27T14:40:27.642Z
636017768,37.33888833333334,126.62788166666667,288,36.7,2,2024-06-27T14:40:27.615Z
636017768,37.33886833333333,126.62786333333334,288,36.7,2,2024-06-27T14:40:17.416Z
636017768,37.33882333333333,126.627825,293,36.4,2,2024-06-27T14:40:17.385Z
636017768,37.33874333333333,126.62775166666667,298,36.4,1.9,2024-06-27T14:40:07.205Z
636017768,37.338726666666666,126.62773833333334,300,36.1,1.9,2024-06-27T14:39:56.872Z
636017768,37.33866833333333,126.62768333333334,304,37,1.9,2024-06-27T14:39:56.792Z
636017768,37.33864666666667,126.62766166666667,307,37.4,1.9,2024-06-27T14:39:46.514Z
636017768,37.338573333333336,126.62759166666666,315,39.8,2,2024-06-27T14:39:36.283Z
636017768,37.338485,126.627495,326,44.2,2,2024-06-27T14:39:25.856Z
636017768,37.33844666666667,126.62744833333333,332,46.6,2.1,2024-06-27T14:39:25.839Z
636017768,37.338363333333334,126.62732666666666,344,52.6,2.1,2024-06-27T14:39:05.386Z
636017768,37.338305,126.62722333333333,353,58.1,2.2,2024-06-27T14:38:55.137Z
636017768,37.33824166666667,126.62707666666667,3,63.9,2.4,2024-06-27T14:38:43.898Z
636017768,37.338208333333334,126.62699,10,68.2,2.4,2024-06-27T14:38:43.870Z
636017768,37.33819666666667,126.62695166666667,13,70,2.5,2024-06-27T14:38:33.681Z
636017768,37.338148333333336,126.62675833333333,26,76.5,2.6,2024-06-27T14:38:22.720Z
636017768,37.33813,126.62665333333334,33,79.3,2.7,2024-06-27T14:38:12.527Z
636017768,37.338121666666666,126.626575,37,79.9,2.7,2024-06-27T14:38:12.508Z
636017768,37.338098333333335,126.62642333333334,45,76.2,2.8,2024-06-27T14:38:02.297Z
636017768,37.33806166666667,126.62625166666666,51,72.1,2.9,2024-06-27T14:37:52.014Z
636017768,37.33785666666667,126.625585,60,69,3.5,2024-06-27T14:37:09.442Z
636017768,37.33744166666666,126.624215,67,69.1,3.7,2024-06-27T14:35:57.308Z
636017768,37.337318333333336,126.623795,68,67.9,3.8,2024-06-27T14:35:36.831Z
636017768,37.33725666666667,126.62359333333333,68,67.7,3.8,2024-06-27T14:35:26.551Z
636017768,37.3372,126.62341,68,66.6,3.9,2024-06-27T14:35:26.513Z
