Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
441791000,37.44824833333333,126.59062666666667,180,222.6,0,2024-06-20T16:16:26.920Z
441791000,37.448236666666666,126.590595,180,208.7,0.1,2024-06-20T16:13:32.431Z
441791000,37.44824,126.59060666666667,180,221.1,0.1,2024-06-20T16:10:27.081Z
441791000,37.448258333333335,126.590625,180,205.9,0.1,2024-06-20T16:07:32.509Z
441791000,37.44824666666667,126.59061,180,217.8,0.1,2024-06-20T16:04:27.413Z
441791000,37.44828,126.59061833333334,180,222.2,0.1,2024-06-20T15:58:26.807Z
441791000,37.44826,126.59060833333334,180,174.9,0.1,2024-06-20T15:52:26.921Z
441791000,37.44828666666667,126.590645,180,225.7,0,2024-06-20T15:49:32.403Z
441791000,37.44826166666667,126.5906,180,151.5,0,2024-06-20T15:46:27.517Z
441791000,37.44824,126.59061833333334,180,16.3,0,2024-06-20T15:40:27.159Z
441791000,37.448258333333335,126.59061166666666,180,16.3,0,2024-06-20T15:37:32.622Z
441791000,37.448276666666665,126.59062,180,16.3,0,2024-06-20T15:34:26.947Z
441791000,37.448225,126.59058,180,16.3,0,2024-06-20T15:31:32.600Z
441791000,37.44824,126.59060333333333,180,24.9,0,2024-06-20T15:22:27.110Z
441791000,37.44826333333334,126.59061833333334,180,24.9,0,2024-06-20T15:19:32.581Z
441791000,37.44826166666667,126.59057833333334,180,34.8,0,2024-06-20T15:07:31.854Z
441791000,37.44824166666667,126.59058666666667,180,47.9,0,2024-06-20T15:04:26.976Z
441791000,37.448295,126.59059166666667,180,34.6,0,2024-06-20T15:01:32.147Z
441791000,37.448276666666665,126.59062666666667,180,35.6,0.1,2024-06-20T14:55:24.876Z
441791000,37.448258333333335,126.59062666666667,180,105.8,0,2024-06-20T14:50:15.561Z
441791000,37.448251666666664,126.590625,180,105.8,0,2024-06-20T14:50:05.275Z
441791000,37.448245,126.59062,180,42.8,0.1,2024-06-20T14:49:44.707Z
441791000,37.44824333333333,126.590615,180,37.8,0.1,2024-06-20T14:49:33.672Z
441791000,37.44824,126.59060833333334,180,48.3,0.1,2024-06-20T14:49:23.322Z
441791000,37.44824,126.59060166666667,180,47.9,0.1,2024-06-20T14:49:12.931Z
441791000,37.44825,126.59058333333333,179,57,0.1,2024-06-20T14:48:41.935Z
441791000,37.448251666666664,126.59058,179,42.2,0.1,2024-06-20T14:48:31.535Z
441791000,37.448258333333335,126.59058166666667,179,274.8,0.1,2024-06-20T14:48:10.701Z
441791000,37.44826,126.59058666666667,180,78.1,0,2024-06-20T14:48:00.261Z
441791000,37.44826666666667,126.59058333333333,181,87.1,0.1,2024-06-20T14:47:39.521Z
441791000,37.44826666666667,126.59057833333334,181,82.1,0.2,2024-06-20T14:47:29.175Z
441791000,37.448265,126.59056833333334,181,93.8,0.2,2024-06-20T14:47:18.915Z
441791000,37.44826166666667,126.59055833333333,181,84.7,0.2,2024-06-20T14:47:08.562Z
441791000,37.448258333333335,126.59055,181,94.2,0.1,2024-06-20T14:46:58.214Z
441791000,37.448251666666664,126.59053333333334,181,101.5,0.1,2024-06-20T14:46:37.261Z
441791000,37.44824166666667,126.590525,181,102.5,0.2,2024-06-20T14:46:37.215Z
