Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001550,37.460031666666666,126.58346666666667,8,14.4,9.5,2024-06-14T09:17:19.161Z
440001550,37.459555,126.583315,9,13.1,9.6,2024-06-14T09:17:08.925Z
440001550,37.458735,126.58303333333333,7,16.5,9.6,2024-06-14T09:16:48.451Z
440001550,37.45780666666667,126.582735,9,13.9,9.7,2024-06-14T09:16:27.878Z
440001550,37.45691333333333,126.58247833333333,9,11.8,10,2024-06-14T09:16:07.471Z
440001550,37.45646166666667,126.58235166666667,8,14,10,2024-06-14T09:15:57.225Z
440001550,37.45509833333333,126.58190666666667,9,8.1,10.2,2024-06-14T09:15:26.363Z
440001550,37.454161666666664,126.581715,10,9.4,10.2,2024-06-14T09:15:05.831Z
440001550,37.453695,126.5816,9,12.5,10.4,2024-06-14T09:14:55.578Z
440001550,37.452265,126.58117666666666,9,12.6,10.5,2024-06-14T09:14:24.853Z
440001550,37.45130833333333,126.58089666666666,9,12.8,10.7,2024-06-14T09:14:04.394Z
440001550,37.4498,126.58047166666667,8,13.7,10.8,2024-06-14T09:13:32.940Z
440001550,37.44936,126.58033833333333,8,13.1,10.9,2024-06-14T09:13:22.662Z
440001550,37.448915,126.58021166666667,10,12.3,10.9,2024-06-14T09:13:12.402Z
440001550,37.44837666666667,126.580055,9,13.1,10.9,2024-06-14T09:13:02.184Z
440001550,37.44686,126.579565,8,14.7,10.9,2024-06-14T09:12:31.417Z
440001550,37.446418333333334,126.579425,9,12.2,10.9,2024-06-14T09:12:21.183Z
440001550,37.44488666666667,126.579025,9,11.1,10.8,2024-06-14T09:11:50.415Z
440001550,37.44390666666666,126.57871833333333,7,16.8,10.9,2024-06-14T09:11:29.864Z
440001550,37.44347333333333,126.57854,6,19.2,10.8,2024-06-14T09:11:19.563Z
440001550,37.44195166666667,126.57805833333333,10,9.2,11,2024-06-14T09:10:48.854Z
440001550,37.441498333333335,126.57796333333333,10,8.8,11,2024-06-14T09:10:48.801Z
440001550,37.44047833333333,126.57783666666667,11,2.7,11.1,2024-06-14T09:10:28.367Z
440001550,37.43991666666667,126.57778833333333,11,7,10.9,2024-06-14T09:10:18.110Z
440001550,37.439416666666666,126.57769666666667,11,10.8,10.9,2024-06-14T09:10:07.833Z
440001550,37.43846833333333,126.57746,10,13.2,11,2024-06-14T09:09:47.327Z
440001550,37.43792166666667,126.57731,10,11,10.9,2024-06-14T09:09:37.097Z
440001550,37.436933333333336,126.577055,10,15.9,10.8,2024-06-14T09:09:16.515Z
440001550,37.435988333333334,126.57659333333334,7,20.8,10.7,2024-06-14T09:08:56.054Z
440001550,37.435561666666665,126.57642166666666,9,15.1,10.7,2024-06-14T09:08:45.754Z
440001550,37.43270666666667,126.575465,11,11.2,10.5,2024-06-14T09:07:43.896Z
440001550,37.432233333333336,126.57534333333334,10,12.1,10.3,2024-06-14T09:07:33.605Z
440001550,37.43177,126.57519166666667,9,16.7,10.2,2024-06-14T09:07:23.348Z
440001550,37.430863333333335,126.574845,9,16,10.1,2024-06-14T09:07:02.800Z
440001550,37.430365,126.574685,10,12.2,10.1,2024-06-14T09:06:52.536Z
440001550,37.42948833333333,126.574485,11,10,10,2024-06-14T09:06:32.010Z
440001550,37.42854833333333,126.57421333333333,10,14.7,9.8,2024-06-14T09:06:11.472Z
440001550,37.428156666666666,126.574075,9,16.7,9.7,2024-06-14T09:06:01.167Z
440001550,37.426845,126.57370166666666,12,9.8,9.5,2024-06-14T09:05:30.440Z
440001550,37.425963333333335,126.57339,9,21.5,9.5,2024-06-14T09:05:09.752Z
440001550,37.424373333333335,126.57275166666666,9,16.8,9.1,2024-06-14T09:04:38.835Z
440001550,37.42276,126.57218333333333,12,14.3,8.6,2024-06-14T09:03:57.663Z
440001550,37.421655,126.57180666666666,11,15.3,8.5,2024-06-14T09:03:26.906Z
440001550,37.42124166666667,126.57167333333334,13,13.7,8.2,2024-06-14T09:03:16.595Z
440001550,37.420518333333334,126.57139166666667,11,19.7,8,2024-06-14T09:02:56.009Z
440001550,37.42020333333333,126.57124333333333,10,21.2,8,2024-06-14T09:02:45.767Z
440001550,37.41952166666667,126.57086,9,25.3,7.9,2024-06-14T09:02:25.326Z
440001550,37.41887333333333,126.570425,6,28.8,7.9,2024-06-14T09:02:04.803Z
440001550,37.418213333333334,126.57003333333333,9,30.7,7.6,2024-06-14T09:01:43.151Z
440001550,37.41808833333333,126.569945,8,27.7,7.7,2024-06-14T09:01:43.135Z
440001550,37.4179,126.56982166666667,10,27.4,7.7,2024-06-14T09:01:32.907Z
440001550,37.41758,126.56963833333333,9,21.6,7.4,2024-06-14T09:01:22.702Z
440001550,37.41744833333333,126.56957666666666,11,20.3,7.5,2024-06-14T09:01:22.659Z
440001550,37.41735,126.56952666666666,11,23.5,7.9,2024-06-14T09:01:12.379Z
440001550,37.41724833333333,126.56947333333333,9,25,7.7,2024-06-14T09:01:12.361Z
440001550,37.41721666666667,126.56945666666667,9,26.7,7.7,2024-06-14T09:01:12.358Z
440001550,37.41712166666667,126.569395,9,28.6,7.6,2024-06-14T09:01:12.343Z
440001550,37.416736666666665,126.569075,0,35.9,7.7,2024-06-14T09:01:02.052Z
440001550,37.416736666666665,126.569075,0,35.9,7.7,2024-06-14T09:01:02.051Z
440001550,37.41617166666666,126.56854,355,35.7,7.6,2024-06-14T09:00:41.535Z
440001550,37.416088333333335,126.56846166666666,355,36.6,7.5,2024-06-14T09:00:31.372Z
440001550,37.41597333333333,126.56835833333334,356,35.5,7.6,2024-06-14T09:00:31.318Z
440001550,37.41580166666667,126.56820333333333,356,34.2,7.5,2024-06-14T09:00:20.960Z
440001550,37.415598333333335,126.56802833333333,356,34.4,7.6,2024-06-14T09:00:20.890Z
440001550,37.415103333333334,126.56761833333333,358,32.3,7.5,2024-06-14T09:00:00.431Z
440001550,37.415013333333334,126.56755,358,31.6,7.6,2024-06-14T09:00:00.403Z
440001550,37.41489166666667,126.56745833333333,357,30.3,7.5,2024-06-14T08:59:50.143Z
440001550,37.414613333333335,126.567255,2,30.1,7.4,2024-06-14T08:59:39.945Z
440001550,37.41452,126.56718833333333,3,30.2,7.7,2024-06-14T08:59:39.931Z
440001550,37.41430166666667,126.56703666666667,4,28.9,7.8,2024-06-14T08:59:39.906Z
440001550,37.41421,126.56697333333334,2,27.7,7.7,2024-06-14T08:59:29.700Z
440001550,37.41399166666667,126.56683,2,29.5,7.7,2024-06-14T08:59:29.665Z
440001550,37.413866666666664,126.566745,0,29.4,7.5,2024-06-14T08:59:19.434Z
440001550,37.41326,126.56631166666666,5,27.9,7.6,2024-06-14T08:58:58.971Z
440001550,37.41316333333334,126.56624833333333,5,29.2,7.6,2024-06-14T08:58:58.918Z
440001550,37.41307166666667,126.56618666666667,3,28.2,7.8,2024-06-14T08:58:58.857Z
440001550,37.412755,126.56598,5,27,7.7,2024-06-14T08:58:48.534Z
440001550,37.41263,126.56589833333334,6,26.6,7.6,2024-06-14T08:58:38.320Z
440001550,37.412533333333336,126.56584,6,26.4,7.6,2024-06-14T08:58:38.308Z
440001550,37.412438333333334,126.56578,4,25.9,7.7,2024-06-14T08:58:38.297Z
440001550,37.412306666666666,126.56569833333333,8,26,7.6,2024-06-14T08:58:28.078Z
440001550,37.41208,126.56556166666667,6,26.4,7.6,2024-06-14T08:58:28.038Z
440001550,37.411985,126.56550166666666,4,26.4,7.8,2024-06-14T08:58:17.862Z
440001550,37.41188833333333,126.56543833333333,3,28.1,7.7,2024-06-14T08:58:17.807Z
440001550,37.411355,126.56507166666667,3,28.2,7.7,2024-06-14T08:57:57.276Z
440001550,37.411045,126.56484833333333,0,31.2,7.7,2024-06-14T08:57:47.054Z
440001550,37.410738333333335,126.564615,359,31.1,7.6,2024-06-14T08:57:36.838Z
440001550,37.410555,126.56447166666666,356,31.3,7.7,2024-06-14T08:57:36.814Z
440001550,37.41043166666667,126.56437333333334,356,32.5,8,2024-06-14T08:57:26.550Z
440001550,37.410215,126.564205,358,31.7,7.8,2024-06-14T08:57:26.517Z
440001550,37.41012166666667,126.56413333333333,3,30.5,7.4,2024-06-14T08:57:16.271Z
440001550,37.41003166666667,126.56406666666666,0,31.6,7.6,2024-06-14T08:57:16.240Z
440001550,37.40993666666667,126.56399333333333,2,30.6,7.9,2024-06-14T08:57:16.228Z
440001550,37.40955,126.56372,1,28.6,7.8,2024-06-14T08:57:05.935Z
440001550,37.40942166666667,126.56363,2,28.4,8.2,2024-06-14T08:56:55.742Z
440001550,37.40932,126.56356333333333,2,30.2,8.3,2024-06-14T08:56:55.733Z
440001550,37.408805,126.56321333333334,0,28.3,7.3,2024-06-14T08:56:35.193Z
440001550,37.408715,126.56315333333333,3,29,7.4,2024-06-14T08:56:35.179Z
440001550,37.408715,126.56315333333333,3,29,7.4,2024-06-14T08:56:35.176Z
440001550,37.408385,126.562935,356,28.2,7.8,2024-06-14T08:56:24.961Z
440001550,37.408323333333335,126.56289,5,28.2,7.7,2024-06-14T08:56:24.945Z
440001550,37.40805666666667,126.56272,4,26.8,7.9,2024-06-14T08:56:14.523Z
440001550,37.407515,126.56238166666667,1,26.2,8.1,2024-06-14T08:55:53.719Z
440001550,37.407313333333335,126.56225666666667,6,26.4,8.1,2024-06-14T08:55:53.654Z
440001550,37.40684,126.56194833333333,1,28.1,8.1,2024-06-14T08:55:33.185Z
440001550,37.40673833333334,126.56187666666666,3,29.1,8.1,2024-06-14T08:55:33.139Z
440001550,37.406505,126.56171166666667,3,29.7,8.2,2024-06-14T08:55:22.901Z
440001550,37.406373333333335,126.561615,2,30.1,8.3,2024-06-14T08:55:22.884Z
440001550,37.40627166666667,126.56154166666667,2,29.8,8.3,2024-06-14T08:55:22.872Z
440001550,37.40617,126.56146833333334,1,29.9,8.2,2024-06-14T08:55:22.858Z
440001550,37.406038333333335,126.56137333333334,0,29.4,8.3,2024-06-14T08:55:12.619Z
440001550,37.405735,126.56115666666666,1,29.1,8.3,2024-06-14T08:55:02.334Z
440001550,37.405633333333334,126.56108666666667,2,30,8.2,2024-06-14T08:55:02.322Z
440001550,37.405498333333334,126.56099,1,29.3,8.3,2024-06-14T08:55:02.303Z
440001550,37.40515666666667,126.56074833333334,2,30.1,8.4,2024-06-14T08:54:52.111Z
440001550,37.40492,126.56057666666666,1,29.2,8.4,2024-06-14T08:54:41.900Z
440001550,37.40482,126.56050666666667,3,29.1,8.4,2024-06-14T08:54:41.863Z
440001550,37.404718333333335,126.56043333333334,1,29.4,8.5,2024-06-14T08:54:31.653Z
440001550,37.40461333333333,126.56036,0,30.4,8.4,2024-06-14T08:54:31.636Z
440001550,37.40434166666667,126.56016,1,31.3,8.6,2024-06-14T08:54:21.431Z
440001550,37.40424,126.560085,359,30.8,8.6,2024-06-14T08:54:21.418Z
440001550,37.404,126.559905,2,31.1,8.5,2024-06-14T08:54:11.123Z
440001550,37.40369166666667,126.55967,2,30.7,8.6,2024-06-14T08:54:00.923Z
440001550,37.40355666666667,126.55956833333333,3,30.3,8.6,2024-06-14T08:54:00.899Z
440001550,37.403348333333334,126.55942,0,29.9,8.6,2024-06-14T08:53:50.618Z
440001550,37.402645,126.55889833333333,0,31,8.8,2024-06-14T08:53:30.130Z
440001550,37.40250666666667,126.558795,0,31.9,8.8,2024-06-14T08:53:30.115Z
440001550,37.40206166666667,126.55843166666666,359,33.2,8.9,2024-06-14T08:53:19.804Z
440001550,37.401923333333336,126.55832,357,33.5,8.9,2024-06-14T08:53:09.629Z
440001550,37.401718333333335,126.55814833333334,358,33.3,8.9,2024-06-14T08:53:09.614Z
440001550,37.401615,126.558065,358,33.3,8.9,2024-06-14T08:53:09.599Z
440001550,37.40137166666667,126.55787166666667,0,31,9.1,2024-06-14T08:52:59.341Z
440001550,37.40092833333333,126.55756833333334,359,27,9.2,2024-06-14T08:52:49.079Z
440001550,37.40089,126.55754333333333,1,27.2,9.2,2024-06-14T08:52:49.073Z
440001550,37.40073666666667,126.55745,0,25.4,9.3,2024-06-14T08:52:38.876Z
440001550,37.40062,126.55737666666667,4,25.3,9.3,2024-06-14T08:52:38.829Z
440001550,37.4005,126.55731,5,24.8,9.3,2024-06-14T08:52:38.790Z
440001550,37.4005,126.55731,5,24.8,9.3,2024-06-14T08:52:38.785Z
440001550,37.400345,126.55721666666666,4,24.9,9.3,2024-06-14T08:52:28.405Z
440001550,37.399838333333335,126.55691166666666,3,25.2,9.3,2024-06-14T08:52:17.911Z
440001550,37.399323333333335,126.55661333333333,4,23.9,9.3,2024-06-14T08:52:07.663Z
440001550,37.39881333333334,126.55630166666667,357,29.1,9.4,2024-06-14T08:51:47.215Z
