Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001550,37.451195,126.59428,321,281.9,0,2024-06-24T08:01:27.795Z
440001550,37.45119833333333,126.59428333333334,322,281.9,0,2024-06-24T08:01:17.429Z
440001550,37.45119833333333,126.59428,321,281.9,0,2024-06-24T08:01:07.114Z
440001550,37.451195,126.59427833333334,321,281.9,0,2024-06-24T08:00:46.515Z
440001550,37.45119,126.59427833333334,321,281.9,0,2024-06-24T08:00:36.293Z
440001550,37.45119,126.59428166666666,321,281.9,0,2024-06-24T08:00:25.986Z
440001550,37.45118166666666,126.59428666666666,321,281.9,0,2024-06-24T08:00:05.547Z
440001550,37.45117833333333,126.59429,321,281.9,0,2024-06-24T07:59:55.218Z
440001550,37.45117333333334,126.59429166666666,321,281.9,0,2024-06-24T07:59:44.805Z
440001550,37.45117166666667,126.59429166666666,321,281.9,0,2024-06-24T07:59:34.504Z
440001550,37.45117333333334,126.59429333333334,322,281.9,0,2024-06-24T07:59:24.187Z
440001550,37.451175,126.5943,322,281.9,0,2024-06-24T07:58:53.374Z
440001550,37.45117166666667,126.59430666666667,322,281.9,0,2024-06-24T07:58:22.543Z
440001550,37.451168333333335,126.5943,322,281.9,0,2024-06-24T07:58:02.034Z
440001550,37.451166666666666,126.5943,322,281.9,0,2024-06-24T07:57:51.643Z
440001550,37.451166666666666,126.59430166666667,322,281.9,0,2024-06-24T07:57:41.339Z
440001550,37.451166666666666,126.59429833333333,322,281.9,0,2024-06-24T07:57:31.082Z
440001550,37.451168333333335,126.594295,322,281.9,0,2024-06-24T07:57:20.772Z
440001550,37.45117,126.594295,322,281.9,0,2024-06-24T07:57:20.732Z
440001550,37.45117,126.59429666666666,322,281.9,0,2024-06-24T07:57:00.318Z
440001550,37.451175,126.59431166666667,322,281.9,0,2024-06-24T07:56:49.899Z
440001550,37.45118,126.59430666666667,322,281.9,0,2024-06-24T07:56:29.383Z
440001550,37.45118,126.59430333333333,322,281.9,0.1,2024-06-24T07:56:19.081Z
440001550,37.451185,126.59430333333333,322,281.9,0.1,2024-06-24T07:56:08.804Z
440001550,37.45118,126.59430166666667,322,281.9,0,2024-06-24T07:55:58.343Z
440001550,37.45117666666667,126.59429666666666,321,281.9,0,2024-06-24T07:55:47.852Z
440001550,37.45117833333333,126.59429666666666,321,281.9,0,2024-06-24T07:55:27.218Z
440001550,37.451185,126.59428,321,281.9,0,2024-06-24T07:55:06.701Z
440001550,37.451195,126.594275,321,281.9,0,2024-06-24T07:54:46.103Z
440001550,37.451193333333336,126.594275,320,281.9,0.1,2024-06-24T07:54:05.022Z
440001550,37.45119,126.594285,321,281.9,0.3,2024-06-24T07:53:54.801Z
440001550,37.451185,126.5943,322,325.1,0.3,2024-06-24T07:53:44.446Z
440001550,37.451165,126.59430833333333,320,272.1,0.1,2024-06-24T07:53:23.833Z
440001550,37.451163333333334,126.59434333333333,318,262.6,0.5,2024-06-24T07:53:03.294Z
440001550,37.451168333333335,126.59436833333334,320,249.9,0.4,2024-06-24T07:52:53.077Z
440001550,37.451175,126.59438833333333,320,250.1,0.3,2024-06-24T07:52:42.846Z
440001550,37.45119833333333,126.59444666666667,320,251,0.5,2024-06-24T07:52:22.224Z
440001550,37.45120166666667,126.59446,318,262.7,0.4,2024-06-24T07:52:11.970Z
440001550,37.45120166666667,126.59447,318,266.5,0.3,2024-06-24T07:52:11.956Z
440001550,37.45120333333333,126.59447833333333,316,268.1,0.7,2024-06-24T07:52:11.943Z
440001550,37.45120333333333,126.59449333333333,316,281.7,0.5,2024-06-24T07:52:01.726Z
440001550,37.45120166666667,126.59451,315,289.3,0.2,2024-06-24T07:52:01.696Z
440001550,37.45119666666667,126.59452166666667,313,250.8,0.4,2024-06-24T07:51:51.401Z
440001550,37.4512,126.59454,310,235.8,0.3,2024-06-24T07:51:41.182Z
440001550,37.45120333333333,126.59454833333334,312,231.6,0.5,2024-06-24T07:51:41.172Z
440001550,37.45124166666667,126.59457333333333,306,169.3,1.1,2024-06-24T07:51:30.866Z
440001550,37.451258333333335,126.59457166666667,309,151.1,0.9,2024-06-24T07:51:30.843Z
440001550,37.45127166666666,126.59455333333334,305,143.2,1.2,2024-06-24T07:51:30.803Z
440001550,37.451285,126.59454333333333,309,133.5,1,2024-06-24T07:51:20.443Z
440001550,37.45131166666667,126.59449833333333,317,117.6,0.8,2024-06-24T07:51:10.204Z
440001550,37.45131666666666,126.59448166666667,326,114,1,2024-06-24T07:51:10.188Z
440001550,37.451325,126.59446,335,114.7,0.9,2024-06-24T07:51:10.173Z
440001550,37.451335,126.59441333333334,344,96.5,0.6,2024-06-24T07:50:59.885Z
440001550,37.45134,126.59436,358,73.2,0.8,2024-06-24T07:50:49.608Z
440001550,37.451323333333335,126.59431166666667,5,63.6,1.2,2024-06-24T07:50:39.300Z
440001550,37.45130666666667,126.594245,6,71.4,0.8,2024-06-24T07:50:28.943Z
440001550,37.45129166666667,126.59420166666666,8,71.9,0.8,2024-06-24T07:50:18.706Z
440001550,37.45128,126.59416166666666,11,68.8,0.5,2024-06-24T07:50:08.472Z
440001550,37.451276666666665,126.59414,11,87.1,0.3,2024-06-24T07:49:58.187Z
440001550,37.451278333333335,126.59411,12,104.1,0.6,2024-06-24T07:49:47.890Z
440001550,37.45128,126.59407666666667,11,232.9,0.1,2024-06-24T07:49:27.304Z
440001550,37.451285,126.59407833333333,10,277.1,0.4,2024-06-24T07:49:17.055Z
440001550,37.451296666666664,126.59410166666666,11,2.7,0.2,2024-06-24T07:48:56.646Z
440001550,37.45129333333333,126.59410333333334,11,2.7,0.1,2024-06-24T07:48:46.307Z
440001550,37.45129,126.594105,11,2.7,0.1,2024-06-24T07:48:15.393Z
440001550,37.45128833333333,126.594115,12,2.7,0.2,2024-06-24T07:48:05.160Z
440001550,37.45128666666667,126.59412666666667,13,2.7,0.1,2024-06-24T07:47:54.859Z
440001550,37.451283333333336,126.594135,12,2.7,0.2,2024-06-24T07:47:44.579Z
440001550,37.45128833333333,126.59414333333334,13,2.7,0.1,2024-06-24T07:47:24.021Z
440001550,37.451283333333336,126.59413833333333,13,2.7,0,2024-06-24T07:47:13.778Z
440001550,37.451278333333335,126.59413833333333,14,2.7,0,2024-06-24T07:47:03.544Z
440001550,37.45128,126.59414333333334,14,2.7,0,2024-06-24T07:46:53.301Z
440001550,37.45128,126.59413833333333,12,2.7,0.1,2024-06-24T07:46:43.003Z
440001550,37.451285,126.59413833333333,12,2.7,0,2024-06-24T07:46:32.756Z
440001550,37.45128,126.59413,12,2.7,0,2024-06-24T07:46:22.485Z
440001550,37.451275,126.59412666666667,14,2.7,0,2024-06-24T07:46:12.156Z
440001550,37.451276666666665,126.59412666666667,13,2.7,0,2024-06-24T07:45:51.640Z
440001550,37.45128,126.59412666666667,13,2.7,0,2024-06-24T07:45:30.992Z
440001550,37.451285,126.59414,13,2.7,0,2024-06-24T07:45:10.492Z
440001550,37.451285,126.59415,13,2.7,0,2024-06-24T07:44:39.608Z
440001550,37.451283333333336,126.59414833333334,13,2.7,0,2024-06-24T07:44:29.314Z
440001550,37.45129166666667,126.59413333333333,13,2.7,0,2024-06-24T07:44:08.787Z
440001550,37.45129,126.59413166666667,13,2.7,0,2024-06-24T07:43:27.391Z
440001550,37.451296666666664,126.59413166666667,13,2.7,0,2024-06-24T07:43:06.869Z
440001550,37.45130666666667,126.59412166666667,13,2.7,0,2024-06-24T07:42:46.265Z
440001550,37.451305,126.59412,13,2.7,0,2024-06-24T07:42:35.908Z
440001550,37.451303333333335,126.59411833333333,13,2.7,0,2024-06-24T07:42:25.594Z
440001550,37.45129166666667,126.59411666666666,13,2.7,0,2024-06-24T07:41:34.252Z
440001550,37.45129,126.59411666666666,13,2.7,0,2024-06-24T07:41:24.150Z
440001550,37.45129333333333,126.594115,13,2.7,0,2024-06-24T07:40:32.803Z
440001550,37.45129166666667,126.59411166666666,13,2.7,0,2024-06-24T07:40:22.391Z
440001550,37.45128833333333,126.59411,13,2.7,0,2024-06-24T07:40:01.835Z
440001550,37.45129,126.59411,13,2.7,0,2024-06-24T07:40:01.805Z
440001550,37.451285,126.59410666666666,13,2.7,0,2024-06-24T07:39:51.579Z
440001550,37.451285,126.59411,13,2.7,0,2024-06-24T07:39:31.050Z
440001550,37.45128666666667,126.59412,13,2.7,0,2024-06-24T07:39:10.490Z
440001550,37.45128666666667,126.59412333333333,13,2.7,0,2024-06-24T07:39:00.153Z
440001550,37.45129,126.59412333333333,13,2.7,0,2024-06-24T07:38:49.916Z
440001550,37.45128666666667,126.59412,13,2.7,0,2024-06-24T07:38:29.473Z
440001550,37.45129,126.59412666666667,15,2.7,0,2024-06-24T07:37:58.650Z
440001550,37.45129,126.594135,14,2.7,0.1,2024-06-24T07:37:47.882Z
440001550,37.451285,126.59413333333333,13,2.7,0,2024-06-24T07:37:27.244Z
440001550,37.451276666666665,126.59412666666667,13,2.7,0,2024-06-24T07:37:16.979Z
440001550,37.45126833333333,126.59412333333333,13,2.7,0,2024-06-24T07:36:56.409Z
440001550,37.45126,126.59412666666667,13,2.7,0,2024-06-24T07:36:35.886Z
440001550,37.45126,126.59413333333333,13,2.7,0,2024-06-24T07:36:25.637Z
440001550,37.45126166666667,126.594135,13,2.7,0,2024-06-24T07:36:15.298Z
440001550,37.45126,126.59413333333333,13,2.7,0,2024-06-24T07:36:05.064Z
440001550,37.45126,126.59413166666667,13,2.7,0,2024-06-24T07:35:44.678Z
440001550,37.451256666666666,126.59412833333333,13,2.7,0,2024-06-24T07:35:24.091Z
440001550,37.451256666666666,126.59412666666667,13,2.7,0,2024-06-24T07:35:13.766Z
440001550,37.451256666666666,126.59412666666667,13,2.7,0,2024-06-24T07:35:03.487Z
440001550,37.451256666666666,126.59412333333333,13,2.7,0,2024-06-24T07:34:53.214Z
440001550,37.451256666666666,126.59412166666667,13,2.7,0,2024-06-24T07:34:42.923Z
440001550,37.451251666666664,126.59412166666667,13,2.7,0,2024-06-24T07:34:12.162Z
440001550,37.45124833333333,126.594115,13,2.7,0,2024-06-24T07:34:01.849Z
440001550,37.451256666666666,126.59411,13,2.7,0,2024-06-24T07:33:31.081Z
440001550,37.45126,126.59411,13,2.7,0,2024-06-24T07:33:31.035Z
440001550,37.45126166666667,126.59411,13,2.7,0,2024-06-24T07:33:20.832Z
440001550,37.45126666666667,126.59411,13,2.7,0,2024-06-24T07:33:10.567Z
440001550,37.451278333333335,126.59411166666666,13,2.7,0,2024-06-24T07:32:49.897Z
440001550,37.45128833333333,126.59411,13,2.7,0,2024-06-24T07:32:29.412Z
440001550,37.45128666666667,126.59411,13,2.7,0,2024-06-24T07:32:08.899Z
440001550,37.451283333333336,126.59410666666666,13,2.7,0,2024-06-24T07:31:58.667Z
440001550,37.451278333333335,126.59411166666666,13,2.7,0,2024-06-24T07:31:37.581Z
440001550,37.45127166666666,126.594115,13,2.7,0,2024-06-24T07:31:27.349Z
440001550,37.45127,126.594115,13,2.7,0,2024-06-24T07:31:06.781Z
440001550,37.451275,126.59411666666666,13,2.7,0,2024-06-24T07:30:56.439Z
440001550,37.45129333333333,126.59412666666667,13,2.7,0,2024-06-24T07:30:15.349Z
440001550,37.451295,126.594135,13,2.7,0,2024-06-24T07:30:05.111Z
440001550,37.4513,126.59414333333334,13,2.7,0,2024-06-24T07:29:54.792Z
440001550,37.451298333333334,126.59414666666666,13,2.7,0,2024-06-24T07:29:34.265Z
440001550,37.45129333333333,126.59413833333333,13,2.7,0,2024-06-24T07:29:03.446Z
