Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
538009797,37.239018333333334,126.42800166666666,359,329.6,0,2024-06-29T11:59:16.283Z
538009797,37.23902,126.42801,359,329.6,0,2024-06-29T11:23:23.878Z
538009797,37.23900166666667,126.42798333333333,359,329.6,0,2024-06-29T11:14:14.471Z
538009797,37.238985,126.428005,359,329.6,0.1,2024-06-29T10:27:15.436Z
538009797,37.23887666666667,126.427995,359,43.4,0.2,2024-06-29T10:23:36.274Z
538009797,37.23885833333333,126.42796833333334,0,24.8,0.2,2024-06-29T10:23:05.776Z
538009797,37.23882,126.42795833333334,0,1.8,0.3,2024-06-29T10:22:39.902Z
538009797,37.23862166666667,126.42783,0,72.7,0.2,2024-06-29T10:19:57.076Z
538009797,37.238616666666665,126.42782,0,77.5,0.2,2024-06-29T10:19:41.617Z
538009797,37.238605,126.42781333333333,1,121.2,0.1,2024-06-29T10:19:31.285Z
538009797,37.238615,126.42775166666667,0,115.4,0.2,2024-06-29T10:18:41.994Z
538009797,37.23836,126.42727,4,61.6,0.4,2024-06-29T10:13:06.068Z
538009797,37.238366666666664,126.42686666666667,8,116.1,0.4,2024-06-29T10:10:28.038Z
538009797,37.23839666666667,126.42662166666666,12,85.9,0.5,2024-06-29T10:08:45.500Z
538009797,37.238393333333335,126.426595,12,84.9,0.6,2024-06-29T10:08:30.295Z
538009797,37.238393333333335,126.42655333333333,13,83.6,0.6,2024-06-29T10:08:14.992Z
538009797,37.238395,126.42651333333333,13,81.9,0.7,2024-06-29T10:07:59.697Z
538009797,37.238393333333335,126.42634833333334,15,78.3,0.9,2024-06-29T10:07:39.017Z
538009797,37.23838833333333,126.426305,16,76.3,0.9,2024-06-29T10:07:23.870Z
538009797,37.238373333333335,126.42624666666667,16,73,0.9,2024-06-29T10:07:23.834Z
538009797,37.238323333333334,126.42609833333333,17,65.3,0.9,2024-06-29T10:06:48.430Z
538009797,37.23826833333333,126.42599,16,59.9,0.9,2024-06-29T10:06:17.787Z
538009797,37.23825,126.42594333333334,16,58.6,1,2024-06-29T10:06:17.752Z
538009797,37.237885,126.42529666666667,14,52.2,1.2,2024-06-29T10:04:09.714Z
538009797,37.23569166666667,126.42264666666667,34,55.9,2.1,2024-06-29T09:56:59.172Z
538009797,37.22293666666667,126.41763333333333,22,24.9,6.2,2024-06-29T09:41:05.274Z
538009797,37.219746666666666,126.41534333333334,34,37.1,7,2024-06-29T09:38:58.415Z
538009797,37.219431666666665,126.415045,35,38.1,7.1,2024-06-29T09:38:43.135Z
538009797,37.218675,126.4143,38,38.6,7.2,2024-06-29T09:38:22.288Z
538009797,37.21844,126.414065,39,38.5,7.3,2024-06-29T09:38:22.261Z
538009797,37.21593333333333,126.41160833333333,41,38.3,7.8,2024-06-29T09:36:40.441Z
538009797,37.21509833333333,126.41077833333334,42,38.5,8,2024-06-29T09:36:04.761Z
538009797,37.214196666666666,126.40988,41,38.8,8.1,2024-06-29T09:35:33.531Z
538009797,37.212091666666666,126.407755,42,38.4,8.5,2024-06-29T09:34:21.444Z
538009797,37.21178,126.40744666666667,42,38.3,8.5,2024-06-29T09:34:10.910Z
538009797,37.21149666666667,126.40716666666667,42,38.4,8.6,2024-06-29T09:34:10.881Z
538009797,37.20954666666667,126.40524833333333,41,38.8,8.9,2024-06-29T09:33:10.200Z
538009797,37.20886,126.404555,41,39.5,9,2024-06-29T09:32:54.869Z
538009797,37.207906666666666,126.40357166666666,41,39.8,9.2,2024-06-29T09:32:13.975Z
538009797,37.206275,126.40185833333334,42,39.8,9.5,2024-06-29T09:31:28.045Z
538009797,37.20590333333333,126.401465,42,39.6,9.6,2024-06-29T09:31:12.828Z
538009797,37.20556,126.40111,42,39.5,9.7,2024-06-29T09:31:12.794Z
538009797,37.204831666666664,126.40035166666667,41,39.9,9.8,2024-06-29T09:30:42.159Z
538009797,37.20455166666667,126.40006,41,40.2,9.8,2024-06-29T09:30:31.916Z
538009797,37.2042,126.39969166666667,41,40.6,9.9,2024-06-29T09:30:21.349Z
538009797,37.203813333333336,126.39928,42,40.5,10,2024-06-29T09:30:21.317Z
538009797,37.203455,126.39890333333334,42,40.3,10,2024-06-29T09:30:21.288Z
538009797,37.202695,126.39810333333334,42,39.7,10.1,2024-06-29T09:29:45.882Z
538009797,37.202038333333334,126.39742333333334,41,39.6,10.2,2024-06-29T09:29:19.304Z
538009797,37.20126166666667,126.39661833333334,41,39.9,10.3,2024-06-29T09:29:08.886Z
538009797,37.20018833333334,126.39548833333333,42,40,10.5,2024-06-29T09:28:33.538Z
538009797,37.19981666666666,126.39509833333334,42,39.6,10.5,2024-06-29T09:28:33.508Z
538009797,37.19864666666667,126.3939,42,39.3,10.6,2024-06-29T09:27:52.023Z
538009797,37.198265,126.39351166666667,42,39.2,10.7,2024-06-29T09:27:51.970Z
538009797,37.197921666666666,126.39315833333333,42,39,10.7,2024-06-29T09:27:41.630Z
538009797,37.19753,126.39276166666667,42,38.7,10.7,2024-06-29T09:27:41.588Z
538009797,37.19549,126.39077666666667,41,37.5,10.7,2024-06-29T09:26:35.746Z
538009797,37.19435,126.38967,41,38.8,10.8,2024-06-29T09:26:09.979Z
538009797,37.193958333333335,126.38927333333334,42,38.7,10.8,2024-06-29T09:25:59.741Z
538009797,37.19318,126.38849833333333,41,38.3,10.8,2024-06-29T09:25:44.341Z
538009797,37.19195833333333,126.387275,42,39.8,10.8,2024-06-29T09:25:08.840Z
538009797,37.19161,126.38691166666666,42,39.4,10.8,2024-06-29T09:24:53.581Z
538009797,37.191221666666664,126.386515,42,39,10.8,2024-06-29T09:24:53.549Z
538009797,37.19083,126.38611833333333,42,39.2,10.9,2024-06-29T09:24:38.283Z
538009797,37.190045,126.38531333333333,42,39.4,10.9,2024-06-29T09:24:12.788Z
538009797,37.18961,126.38486666666667,42,38.9,10.9,2024-06-29T09:24:02.508Z
538009797,37.18921,126.384465,42,38.4,11,2024-06-29T09:24:02.476Z
538009797,37.185651666666665,126.38097833333333,41,39.7,11,2024-06-29T09:22:35.487Z
538009797,37.18478,126.38008,42,39.9,11,2024-06-29T09:22:20.109Z
