Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
440001550,37.33725166666667,126.648035,311,86.2,12.2,2024-06-26T09:20:51.662Z
440001550,37.33707,126.64518166666667,311,85.6,12.3,2024-06-26T09:20:09.098Z
440001550,37.329625,126.59906833333334,2,302.9,8.9,2024-06-26T08:31:25.414Z
440001550,37.329625,126.59906833333334,2,302.9,8.9,2024-06-26T08:31:25.410Z
440001550,37.32814,126.59927666666667,317,74.7,4.2,2024-06-26T08:28:47.262Z
440001550,37.328085,126.599025,316,74.8,3.9,2024-06-26T08:28:35.446Z
440001550,37.327995,126.59866333333333,320,69.6,2.5,2024-06-26T08:28:12.915Z
440001550,37.327933333333334,126.59849,325,64.9,1.3,2024-06-26T08:28:02.604Z
440001550,37.327913333333335,126.59843166666667,327,60.8,0.3,2024-06-26T08:27:52.310Z
440001550,37.327911666666665,126.59842333333333,326,58.8,0.3,2024-06-26T08:27:52.289Z
440001550,37.327873333333336,126.59811833333333,314,84.2,1.1,2024-06-26T08:26:12.067Z
440001550,37.32903,126.58961833333333,307,95.2,7.8,2024-06-26T08:22:23.782Z
440001550,37.330835,126.58188166666666,308,114.6,7.6,2024-06-26T08:19:33.072Z
440001550,37.330985,126.58144666666666,308,110.7,7.2,2024-06-26T08:19:12.100Z
440001550,37.33105333333334,126.58121666666666,308,109.4,6.8,2024-06-26T08:19:12.074Z
440001550,37.33116666666667,126.58076,313,94.9,6,2024-06-26T08:19:01.724Z
440001550,37.331095,126.58031666666666,334,55,5.1,2024-06-26T08:18:50.723Z
440001550,37.33083333333333,126.58009166666666,17,33.8,0.6,2024-06-26T08:18:25.182Z
440001550,37.33082,126.580215,9,101.9,0.1,2024-06-26T08:15:48.033Z
440001550,37.330801666666666,126.580325,359,101.9,0,2024-06-26T08:11:29.317Z
440001550,37.33072666666666,126.579835,311,101.9,0.4,2024-06-26T08:00:51.100Z
440001550,37.330725,126.57980666666667,310,101.9,0.4,2024-06-26T08:00:40.623Z
440001550,37.33075,126.57959666666666,310,103.4,0.5,2024-06-26T07:59:25.751Z
440001550,37.330755,126.57956833333333,309,101.1,0.6,2024-06-26T07:59:15.216Z
440001550,37.33085333333333,126.57895166666667,309,98.3,1.1,2024-06-26T07:57:03.122Z
440001550,37.330866666666665,126.57882833333333,309,97,1.2,2024-06-26T07:56:52.765Z
440001550,37.330925,126.577945,310,90.8,2.2,2024-06-26T07:55:15.039Z
440001550,37.330905,126.57685333333333,310,88.3,4.3,2024-06-26T07:54:23.322Z
440001550,37.33121333333333,126.57182333333333,306,109,9.7,2024-06-26T07:52:28.111Z
440001550,37.33398,126.56718833333333,309,138.3,11.2,2024-06-26T07:50:47.575Z
440001550,37.33971666666667,126.56096333333333,310,136.6,11.6,2024-06-26T07:48:24.607Z
440001550,37.34128666666667,126.55899333333333,310,133.5,12.8,2024-06-26T07:47:42.669Z
440001550,37.3458,126.55392666666667,310,146.7,12.7,2024-06-26T07:46:09.290Z
440001550,37.3462,126.55361666666667,309,151.9,12.6,2024-06-26T07:45:59.022Z
440001550,37.37898166666667,126.55449,327,197.2,12.5,2024-06-26T07:36:26.766Z
440001550,37.38558666666667,126.55743833333334,326,195.2,12.6,2024-06-26T07:34:30.780Z
440001550,37.39107166666667,126.55967333333334,329,202.7,12.5,2024-06-26T07:32:52.940Z
440001550,37.394848333333336,126.56162166666667,330,205.9,12.4,2024-06-26T07:31:47.823Z
440001550,37.397575,126.562685,323,187.6,12.4,2024-06-26T07:30:46.449Z
440001550,37.39814666666667,126.56279166666667,324,190,12.4,2024-06-26T07:30:46.412Z
440001550,37.3986,126.562905,325,192.2,12.4,2024-06-26T07:30:46.378Z
440001550,37.39976166666667,126.56329833333334,326,200.1,12.2,2024-06-26T07:30:33.267Z
440001550,37.40165,126.564545,332,215.7,10.3,2024-06-26T07:29:29.353Z
440001550,37.40203666666667,126.56489833333333,333,216.2,10.2,2024-06-26T07:29:18.214Z
440001550,37.403103333333334,126.56588166666667,332,213.7,9.1,2024-06-26T07:28:46.087Z
440001550,37.40382,126.56649,332,213.4,9.8,2024-06-26T07:28:23.422Z
440001550,37.404215,126.56679666666666,331,210.7,10.1,2024-06-26T07:28:13.124Z
