Mmsi,Latitude(위도),Longitude(경도),Heading(선수방위),Cog(진로),Sog(속도),CreatedAt
356005000,37.458465,126.62286833333333,119,111.8,0.9,2024-06-20T23:31:35.299Z
356005000,37.45848,126.622825,119,107.3,1,2024-06-20T23:31:25.091Z
356005000,37.458495,126.62276833333334,119,105.9,1.1,2024-06-20T23:31:14.786Z
356005000,37.458513333333336,126.62269833333333,119,107.7,1.2,2024-06-20T23:31:04.485Z
356005000,37.45853,126.62262666666666,119,109.6,1.3,2024-06-20T23:30:54.253Z
356005000,37.458553333333334,126.62255,119,108.4,1.5,2024-06-20T23:30:43.982Z
356005000,37.458576666666666,126.62246833333333,119,109.6,1.6,2024-06-20T23:30:33.733Z
356005000,37.458605,126.62237666666667,119,112.2,1.6,2024-06-20T23:30:23.458Z
356005000,37.45863333333333,126.62229333333333,119,117.1,1.7,2024-06-20T23:30:13.218Z
356005000,37.45867166666667,126.62219666666667,119,119.7,1.7,2024-06-20T23:30:02.970Z
356005000,37.458758333333336,126.62200833333333,118,120.7,1.8,2024-06-20T23:29:42.425Z
356005000,37.458803333333336,126.62191666666666,118,121.6,1.9,2024-06-20T23:29:32.205Z
356005000,37.458841666666665,126.62183333333333,118,120.8,1.9,2024-06-20T23:29:21.267Z
356005000,37.45889,126.62173666666666,118,122.5,1.9,2024-06-20T23:29:11.049Z
356005000,37.45894166666667,126.621635,118,123.4,1.8,2024-06-20T23:29:00.690Z
356005000,37.458981666666666,126.62155333333334,118,123.8,1.8,2024-06-20T23:28:50.365Z
356005000,37.459035,126.62145833333334,118,125.9,1.7,2024-06-20T23:28:40.096Z
356005000,37.459125,126.62131,118,127.1,1.5,2024-06-20T23:28:19.540Z
356005000,37.45917166666667,126.621235,119,130.1,1.4,2024-06-20T23:28:09.122Z
356005000,37.45921666666667,126.62116333333333,119,130.4,1.5,2024-06-20T23:27:58.889Z
356005000,37.45925833333333,126.62110166666666,120,132,1.5,2024-06-20T23:27:48.793Z
356005000,37.459311666666665,126.62102833333333,120,134.4,1.6,2024-06-20T23:27:38.442Z
356005000,37.45936666666667,126.62096166666667,120,133.2,1.6,2024-06-20T23:27:28.279Z
356005000,37.45941666666667,126.62089333333333,120,127.1,1.7,2024-06-20T23:27:18.054Z
356005000,37.45946333333333,126.62081333333333,121,127.1,1.7,2024-06-20T23:27:07.725Z
356005000,37.459511666666664,126.62073333333333,122,129.3,1.8,2024-06-20T23:26:57.586Z
356005000,37.45962333333333,126.62057,123,130.7,1.9,2024-06-20T23:26:47.298Z
356005000,37.45967666666667,126.62049666666667,123,130.8,1.9,2024-06-20T23:26:37.043Z
356005000,37.459741666666666,126.62040333333333,123,129.7,1.9,2024-06-20T23:26:26.784Z
356005000,37.45979833333333,126.62031333333333,123,129.8,2,2024-06-20T23:26:16.496Z
356005000,37.45986,126.62022333333333,124,129.5,2.1,2024-06-20T23:26:06.262Z
356005000,37.45999,126.620025,126,130.5,2.3,2024-06-20T23:25:45.727Z
356005000,37.460051666666665,126.61993333333334,126,129.9,2.4,2024-06-20T23:25:35.487Z
356005000,37.46013166666667,126.619815,127,130.6,2.5,2024-06-20T23:25:25.182Z
356005000,37.460206666666664,126.619705,128,131.7,2.6,2024-06-20T23:25:14.895Z
356005000,37.460455,126.61936333333334,130,132.6,2.6,2024-06-20T23:24:44.119Z
356005000,37.46053,126.61926,130,131.5,2.7,2024-06-20T23:24:33.809Z
356005000,37.46062666666667,126.61913,129,131.1,2.9,2024-06-20T23:24:23.522Z
356005000,37.46071333333333,126.61900166666666,129,130.8,3.2,2024-06-20T23:24:13.293Z
356005000,37.4608,126.618875,128,129,3.4,2024-06-20T23:24:03.018Z
356005000,37.46102166666667,126.618535,128,127.5,4,2024-06-20T23:23:42.544Z
356005000,37.461125,126.61837,128,127.2,4.2,2024-06-20T23:23:32.289Z
356005000,37.461255,126.61815333333334,128,126.4,4.3,2024-06-20T23:23:21.057Z
356005000,37.461365,126.61797,128,126.1,4.5,2024-06-20T23:23:10.822Z
356005000,37.46149333333334,126.61775666666666,129,126.8,4.6,2024-06-20T23:23:00.577Z
356005000,37.46177,126.61729666666666,129,127,4.8,2024-06-20T23:22:39.990Z
356005000,37.46189,126.617095,129,127,4.9,2024-06-20T23:22:29.779Z
356005000,37.462041666666664,126.61684666666666,128,125.7,4.9,2024-06-20T23:22:19.482Z
356005000,37.46218,126.61661166666667,126,124.1,4.9,2024-06-20T23:22:09.242Z
356005000,37.46229833333334,126.61639333333333,125,123.1,4.9,2024-06-20T23:21:58.923Z
356005000,37.462426666666666,126.616155,123,121.5,5,2024-06-20T23:21:48.713Z
356005000,37.462556666666664,126.615885,122,120.2,4.9,2024-06-20T23:21:38.508Z
356005000,37.46266,126.61566,122,119.6,4.9,2024-06-20T23:21:38.480Z
356005000,37.462785,126.61538333333333,121,118.5,4.9,2024-06-20T23:21:18.078Z
356005000,37.462885,126.615155,120,117.8,4.9,2024-06-20T23:21:18.043Z
356005000,37.46292833333333,126.615055,120,117.2,4.9,2024-06-20T23:21:07.832Z
356005000,37.46295833333333,126.61498,120,117.1,4.9,2024-06-20T23:21:07.817Z
356005000,37.46299,126.61490333333333,119,117.1,4.9,2024-06-20T23:21:07.806Z
356005000,37.463033333333335,126.61480166666666,119,116.6,4.9,2024-06-20T23:20:57.580Z
356005000,37.463075,126.6147,119,115.9,4.9,2024-06-20T23:20:57.561Z
356005000,37.463096666666665,126.61464833333334,118,115.7,4.9,2024-06-20T23:20:57.547Z
356005000,37.463135,126.614545,118,115.6,4.9,2024-06-20T23:20:47.314Z
356005000,37.463165,126.61446833333333,118,115.4,4.9,2024-06-20T23:20:47.296Z
356005000,37.463235,126.61428666666667,117,114.1,4.9,2024-06-20T23:20:36.950Z
356005000,37.46329,126.61413166666667,116,113.6,4.9,2024-06-20T23:20:36.934Z
356005000,37.46333,126.61402666666666,115,112.9,4.9,2024-06-20T23:20:26.698Z
356005000,37.46335666666667,126.61394666666666,115,112.2,4.9,2024-06-20T23:20:26.684Z
356005000,37.463393333333336,126.61384166666667,114,111.4,4.9,2024-06-20T23:20:26.667Z
